taxonomic_path	common_name	JDFB_01_062425	JDFB_02_062425	JDFB_03_062525	JDFB_04_062525	JDFB_05_062525	JDFB_06_062525	JDFB_07_062525	JDFB_08_062525	JDFB_09_062525	JDFB_10_062525	JDFB_11_062525	JDFB_12_062525	JDFB_13_062525	JDFB_14_062525	JDFB_15_062625	JDFB_16_062625	JDFB_17_062625	JDFB_18_062625	JDFB_19_062625	JDFB_20_062625	JDFB_21_062625	JDFB_22_062625	JDFB_23_062625	JDFB_24_062625	JDFB_25_062625	JDFB_26_062625	JDFB_27_062625	JDFB_28_062625	JDFB_29_062625	JDFB_30_072425	JDFB_31_072425	JDFB_32_073025	JDFB_33_073025	JDFB_34_073025	JDFB_35_073025	JDFB_36_073025	JDFB_37_073025	JDFB_38_082625	JDFB_39_082625	JDFB_40_082625	JDFB_41_082625	JDFB_42_082625	JDFB_43_082625	JDFB_44_082625	JDFB_45_082725	JDFB_46_082725	JDFB_47_082725	JDFB_48_082725	JDFB_49_082725	JDFB_50_082725	JDFB_51_082725	JDFB_52_082725	JDFB_53_082725	JDFB_54_082725	JDFB_55_082725	JDFB_56_082735	JDFB_57_082825	JDFB_58_082825	JDFB_59_082825	JDFB_60_082825	JDFB_61_082825	JDFB_62_082825	JDFB_63_082825	JDFB_64_082825	JDFB_65_082825	JDFB_66_082825	JDFB_67_082825	JDFB_68_082825	JDFB_69_082825	JDFB_70_082825	JDFB_71_092325	JDFB_72_092325	JDFB_73_092425	JDFB_74_092425	JDFB_75_092425	JDFB_76_092425	JDFB_77_092425	JDFB_78_092425	JDFB_79_092525	JDFB_80_092525	JDFB_81_092525	JDFB_82_092525	JDFB_83_092525	JDFB_84_092525	JDFB_85_092525	JDFB_86_092525	JDFB_87_092525	JDFB_88_092525	JDFB_89_092525	JDFB_90_092525	OAK_01_072825	OAK_02_072825	OAK_03_072825	OAK_04_072825	OAK_05_072825	OAK_06_072825	OAK_07_072825	OAK_08_072825	PBN_TOW_BTM_15m_092425	PBN_TOW_BTM_3m_092425	PBN_TOW_PORT_15m_092425	PBN_TOW_PORT_3m_092425	PBN_TOW_STBD_15m_092425	PBN_TOW_STBD_3m_092425	PTBAY_TOW_BTM_8m_092225	PTBAY_TOW_PORT_8m_092225	PTBAY_TOW_STBD_8m_092225	SJI_01_072125	SJI_02_072125	SJI_03_072125	SJI_04_072125	SJI_05_072125	SJI_06_072125	SJI_07_072125	SJI_08_072125	SQU_01_072925	SQU_02_072925	SQU_03_072925	SQU_04_072925	SQU_05_072925	SQU_06_072925	SQU_07_072925	SQU_08_072925
Animalia;Chordata	Chordates	0.04375888852423148	0.0	0.03568697425439714	0.07486430844095078	0.029277813923227067	0.081927846992683	0.022893772893772892	3.3774469258340227	0.06066383568766791	0.09203054630898766	0.1585457742057014	0.07934632136948373	0.046871716959480204	0.04171243447671751	0.07753093782615178	0.03295689238476073	1.8052891203069337	0.12119533224834657	0.20963454431501377	0.012759713331773814	0.05217088864413657	0.05301971369354605	0.04749352900667284	0.008607148236610506	0.03381969272393468	0.06314460113660282	0.03246226261970459	0.03893954635428498	0.017399247482546377	0.06905724077957953	7.72348750877897	0.12459055925084903	0.2861952861952862	0.09573264483188768	0.027861458895641424	0.8407466970665473	0.14383141019425322	0.05468602677729588	0.01915341888527102	0.027831895352073477	0.025108279455150335	0.10863207153004094	93.6208580659704	0.09142558610331092	0.15411604610365126	13.200968523002421	0.04780249135337289	0.03972983710766786	0.09399736147757255	0.0	0.034204739799657956	0.0	0.020799686781187293	0.07404328284534047	0.037766133220034935	0.03260211447999627	0.04085801838610827	0.05119908251244138	0.03212966103207611	0.11384036078637419	0.34578936208387023	6.141896743032438	0.007091569896285789	0.039863638862924065	0.011985275233284822	0.026659557451346308	0.037754548243233675	0.06405465997651329	0.02445585717779408	0.05062531640822756	0.025507246376811593	0.028392225692383144	0.055370985603543754	0.01969833408374606	0.05590283071606444	0.11142220444546025	0.01184039152227967	0.026901131263362073	0.024243011951804894	0.037454742186524614	0.060072086503804564	0.0225886604924328	15.829597487593796	0.05387931034482758	0.05810695830825741	0.015482672309240575	53.496264836373285	0.017463327013272127	0.017737572613187886	0.17571819704956887	0.098955845219409	0.09931506849315068	0.1900062390108332	0.0	0.26441680438375226	0.43857438120683573	0.2579218865143699	0.054857859367959096	1.6244940664665877	0.015524575402862733	0.26004169263501753	0.0	0.48157185052009766	7.342852140139758	0.04396708749450412	0.3511814437459354	0.4103491445263597	0.16942205219292253	0.023353962667022537	0.005445239045994119	0.02182050120012757	0.009297136481963555	0.03239157818967068	0.0	0.039943658418651586	0.008245835852894288	0.008254639107178234	0.0	0.03143665513989312	0.11691136487221317	1.6396191611857431	0.0	0.019194594802103726
Animalia;Chordata;Actinopteri	Chordates	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24696635083469878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007510326699211416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16037671466593872	0.4828767123287671	0.2694118314332709	0.09252324095695467	0.3705314429851265	0.9779704592428291	0.0	0.0	1.4840716980093065	0.8631663923991679	1.8073972190582623	0.05130836326321191	2.5940670348015926	0.20374703532145869	1.132675920691749	2.354216345111641	2.0795660036166366	1.3540101106708569	0.5304685805795119	0.7441826696191963	0.3306645181865485	0.0	0.6694259492531941	0.0	0.0	0.07283821670056621	0.17830020471504984	0.007141964397307479	1.0043184036797432	0.8102229472539423	1.2036295205977159	0.0	0.0
Animalia;Chordata;Actinopteri;Centrarchiformes;Percichthyidae	Temperate basses	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016622735152335495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010082169682915764	0.0	0.0	0.008260139321016548	0.0	0.010745524489050312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Animalia;Chordata;Actinopteri;Clupeiformes;Clupeidae	Hering	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003232532204102083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012788377922144356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.02374940285267	67.77397260273972	80.0521808178776	77.20403577565317	59.03105157867269	43.118919191409994	0.0	0.0	3.0259643712657285	4.9616542987549295	0.0	13.677954506584575	16.855014768203418	6.636104611368447	12.37150095262023	15.495339258616953	0.0	33.74641344445963	15.620464743857074	61.391440084219695	67.87686523322759	66.67906284864262	38.45420190750404	0.0	0.0	84.82353911274807	73.07006537674172	73.71400003570982	54.38375883121825	26.84203371397499	26.859942985970083	0.0	51.37049406887021
Animalia;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea harengus	Atlantic herring	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013649082099228828	0.010273972602739725	0.0	0.0	0.0034791684787335822	0.03528759389020517	0.0	0.0	0.0	0.0	0.0	0.0	0.01284191601386927	0.03501902169587571	0.006281012499214874	0.013006720138738348	0.0	0.012296761852712121	0.006672560762006439	0.009075398409990198	0.0	0.009297136481963555	0.0053985963649451135	0.0	0.0	0.005497223901929526	0.021462061678663408	0.0035709821986537396	0.0165456079683648	0.010875475802066341	0.020495239514821784	0.0	0.0
Animalia;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii	Pacific herring	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03753497577287928	0.023972602739726026	0.025523226135783564	0.02643521170198705	0.017395842393667912	0.020164339365831528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008671146759158898	0.0	0.02322721683290067	0.026690243048025756	0.030856354593966677	0.0335700018463501	0.027891409445890664	0.007198128486593485	0.0	0.0	0.02748611950964763	0.38796803803737695	0.04463727748317174	0.034745776733566075	0.01631321370309951	0.013042425145795683	0.0	0.019194594802103726
Animalia;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sprattus;Sprattus sprattus	Brisling	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.098955845219409	0.06506849315068493	0.07089785037717657	0.05727629202097194	0.07306253805340523	0.057972475676765646	0.0	0.0	0.005506759547344365	0.0	0.0	0.0	0.038525748041607806	0.004775321140346688	0.018843037497644623	0.03251680034684587	0.0	0.07787949173384343	0.04170350476254024	0.019965876501978435	0.048676502677207655	0.032539977686872446	0.02879251394637394	0.0	0.0	0.057720850970260015	0.05117876246450505	0.049993750781152355	0.06949155346713215	0.025829255029907558	0.039127275437387046	0.0	0.021114054282314103
Animalia;Chordata;Actinopteri;Clupeiformes;Engraulidae	Anchovies	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20799347471451876	0.0	0.0	0.0
Animalia;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis	Anchovies	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06525285481239804	0.0	0.0	0.0
Animalia;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax	Anchovy	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.812126155519305	0.0	0.0	0.0
