taxonomy,number_of_samples_observed,total_reads_observed_across_dataset
Plantae;Rhodophyta;Florideophyceae;Ceramiales;Ceramiaceae;Spongoclonium;Spongoclonium conspicuum,2,2
Plantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Monotropa,1,1
Chromista;NA;Dinophyceae;Peridiniales;Peridiniaceae;Scrippsiella;Scrippsiella hangoei,8,8
Fungi;Ascomycota;Leotiomycetes;Erysiphales;Erysiphaceae;Erysiphe;Erysiphe corylacearum,6,8
Animalia;Mollusca;Gastropoda;Littorinimorpha,1,1
Protozoa;Euglenozoa;Euglenida;Euglenales;Euglenaceae;Trachelomonas;Trachelomonas intermedia,4,14
Animalia;Arthropoda;Hexanauplia;Calanoida;Eucalanidae;Subeucalanus;Subeucalanus pileatus,3,3
Fungi;Mucoromycota;Glomeromycetes,74,990
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Hygrophoraceae;Hygrophorus,1,1
Chromista;Ciliophora;Spirotrichea;Sporadotrichida;Gonostomatidae;Gonostomum;Gonostomum sinicum,1,1
Chromista;Ciliophora;Oligohymenophorea;Philasterida;Uronematidae;Homalogastra;Homalogastra setosa,18,18
Animalia;Arthropoda;Malacostraca;Mysida;Mysidae,3,3
Fungi;Mucoromycota;Glomeromycetes;Glomerales;Glomeraceae;Glomus,24,184
Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetaceae,1,1
Fungi;Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Sphaerosporella;Sphaerosporella sp. RT-2012,1,1
Animalia;Arthropoda;Malacostraca;Decapoda;Crangonidae;Crangon,1,1
Animalia;Arthropoda;Hexanauplia;Harpacticoida;Ameiridae;Nitokra;Nitokra hibernica,1,1
Chromista;NA;Eustigmatophyceae;Eustigmatales;Monodopsidaceae,8,8
Protozoa;Discosea;Flabellinia;Dactylopodida;Paramoebidae;Korotnevella;Korotnevella stella,2,2
Fungi;Mucoromycota;Glomeromycetes;Glomerales;Glomeraceae;Sclerocarpum;Sclerocarpum amazonicum,2,3
Chromista;Ciliophora;Spirotrichea;Urostylida;Pseudokeronopsidae;Apoholosticha;Apoholosticha cf. sinica,1,1
Protozoa;Euglenozoa;Kinetoplastea;NA;NA;NA;Kinetoplastida sp. FV18-8TS,7,20
Chromista;NA;Bigyra;NA;Pseudophyllomitidae;Pseudophyllomitus;Pseudophyllomitus vesiculosus,2,2
Chromista;Apicomplexa;Aconoidasida;Piroplasmida,3,3
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus penicillioides,13,131
Chromista;Apicomplexa;Aconoidasida;Nephromycida;NA;Cardiosporidium;Cardiosporidium cionae,3,3
Animalia;Arthropoda;Thecostraca;NA;Lernaeodiscidae;Lernaeodiscus;Lernaeodiscus porcellanae,2,2
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Monascus,1,1
Plantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Marmaroxylon;Marmaroxylon magdalenae,11,11
Bacteria;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Thiothrix;Thiothrix sp. ectosymbiont of Niphargus ictus,4,16
Plantae;Rhodophyta;Florideophyceae;Ceramiales;Callithamniaceae,2,2
Fungi;Mucoromycota;Glomeromycetes;Glomerales;Glomeraceae;Glomus;Glomus sp. 6 ZHNL-2013d,1,1
Animalia;Platyhelminthes;Monogenea;Dactylogyridea;Dactylogyridae,1,1
Chromista;Apicomplexa;Conoidasida;Eucoccidiorida;Sarcocystidae;Hammondia;Hammondia triffittae,2,2
Chromista;Ciliophora;Spirotrichea;Tintinnida,9,9
Plantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Galinsoga;Galinsoga parviflora,1,1
Protozoa;Evosea;Variosea;Protosteliida;Protosteliaceae;Protostelium,2,2
Plantae;Streptophyta;Magnoliopsida;Apiales;Apiaceae;Anethum;Anethum graveolens,1,1
Chromista;Ciliophora;Karyorelictea;Protostomatida;Kentrophoridae;Kentrophoros;Kentrophoros gracilis,8,11
Chromista;Bacillariophyta;Fragilariophyceae;Fragilariales,6,9
Plantae;Streptophyta;Magnoliopsida;Santalales;Balanophoraceae;Balanophora;Balanophora harlandii,7,7
Chromista;NA;Dinophyceae;Dinophysiales;Dinophysiaceae;Dinophysis;Dinophysis acuta,1,1
Chromista;Oomycota;NA;Peronosporales;Peronosporaceae;Protobremia;Protobremia sphaerosperma,8,8
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Cucurbitariaceae;Fenestella,1,1
Animalia;Arthropoda;Hexanauplia;Poecilostomatoida,13,13
Plantae;Streptophyta;Magnoliopsida;Magnoliales;Magnoliaceae;Magnolia;Magnolia macrophylla,2,3
Animalia;Rotifera;Eurotatoria;Ploima,9,9
Animalia;Rotifera;Eurotatoria;Ploima;Gastropidae;Ascomorpha;Ascomorpha ovalis,8,8
Fungi;Ascomycota;Lecanoromycetes;Lecanorales,1,1
Plantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Mychonastaceae;Mychonastes,3,35
Chromista;NA;Bigyra;Thraustochytrida;Thraustochytriaceae,13,13
Animalia;Ctenophora;Nuda;Beroida;Beroidae;Beroe;Beroe ovata,2,2
Chromista;Oomycota;NA;Pythiales;Pythiaceae;Globisporangium;Globisporangium nunn,5,54
Plantae;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae,30,30
Plantae;Streptophyta;Magnoliopsida;Asparagales;Hyacinthaceae,1,1
Animalia;Porifera;Calcarea;Clathrinida;Leucettidae;Leucetta;Leucetta microraphis,1,1
Chromista;NA;Dinophyceae;NA;NA;Pellucidodinium;Pellucidodinium psammophilum,1,1
Animalia;Arthropoda;Hexanauplia;Calanoida;Ridgewayiidae;Exumella;Exumella mediterranea,3,3
Animalia;Platyhelminthes,14,18
Plantae;Rhodophyta;Florideophyceae;Ceramiales;Dasyaceae;Dasya;Dasya villosa,1,1
Chromista;Haptophyta;NA;Prymnesiales;Chrysochromulinaceae;Chrysochromulina,6,6
Bacteria;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Rickettsiaceae,1,1
Chromista;Bacillariophyta;Bacillariophyceae;Cocconeidales;Cocconeidaceae;Cocconeis,5,13
Protozoa;Discosea;Flabellinia;Dactylopodida,2,2
Bacteria;Pseudomonadota;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae,1,1
Animalia;Arthropoda;Hexanauplia;Harpacticoida;Cletodidae;NA;Cletodidae sp. DZMB535,1,1
Protozoa;NA;NA;Ancyromonadida;Planomonadidae;Planomonas;Planomonas micra,1,1
Animalia;Arthropoda;Hexanauplia;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops bisetosus,4,4
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Histophilus;Histophilus somni,1,1
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae,36,3665
Animalia;Arthropoda;Hexanauplia;Calanoida;Centropagidae;Sinocalanus,10,10
Fungi;Ascomycota;Pezizomycetes;Pezizales;Sarcoscyphaceae,1,1
Chromista;NA;Synurophyceae;Synurales;Mallomonadaceae;Synura;Synura sp. CNU52,1,1
Chromista;Apicomplexa;Conoidasida;Eucoccidiorida;Sarcocystidae;Cystoisospora;Cystoisospora belli,2,2
Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Pseudotomentella,4,11
Plantae;Rhodophyta;Florideophyceae;Rhodymeniales;Faucheaceae;Gloiocladia;Gloiocladia fruticulosa,1,1
Animalia;Rotifera;Eurotatoria;Ploima;Notommatidae;Pleurotrocha;Pleurotrocha sigmoidea,2,2
Chromista;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae;Pelagostrobilidium;Pelagostrobilidium neptuni,9,9
Protozoa;Endomyxa;NA;Vampyrellida;Vampyrellidae;NA;Vampyrellidae sp.,7,7
Chromista;NA;Chrysophyceae;Chromulinales;Chromulinaceae;Ochromonas;Ochromonas sp. AC514,5,5
Plantae;Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Myrmecia;Myrmecia sp. PA-3-3-2,1,1
Animalia;Ctenophora;Tentaculata;Cydippida;Pleurobrachiidae,41,7901
Animalia;Arthropoda;Hexanauplia;Cyclopoida;Cyclopidae;Acanthocyclops;Acanthocyclops americanus,4,4
Chromista;Ciliophora;Oligohymenophorea;Peniculida;Frontoniidae;Frontonia;Frontonia leucas,4,11
Fungi;Basidiomycota;Agaricomycetes,86,9053
Animalia;Platyhelminthes;Catenulida;NA;Stenostomidae;Rhynchoscolex;Rhynchoscolex simplex,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;Mesorhizobium sp.,6,6
Animalia;Annelida;Polychaeta;Sabellida;Sabellidae;Bispira;Bispira serrata,1,1
Animalia;Cnidaria;Hydrozoa;Leptothecata;Sertulariidae,3,3
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae,32,1194
Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Phacotaceae;Pteromonas;Pteromonas protracta,1,1
Animalia;Arthropoda;Insecta;Hemiptera;Aphididae;Melanaphis;Melanaphis sacchari,3,148
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium laeve,1,1
Animalia;Porifera;Demospongiae;Clionaida;Placospongiidae;Placospongia;Placospongia sp. UCMPWC902,1,1
Animalia;Chordata;Ascidiacea;Stolidobranchia,6,6
Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Semivermilia;Semivermilia elliptica,1,1
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Suhomyces;Suhomyces pyralidae,1,1
Chromista;Bacillariophyta;Fragilariophyceae;Rhabdonematales;Grammatophoraceae;Grammatophora,16,16
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bos,1,1
Fungi;Zoopagomycota;Basidiobolomycetes;Basidiobolales;Basidiobolaceae;Basidiobolus;Basidiobolus sp.,5,130
Chromista;NA;Bigyra;Thraustochytrida;Thraustochytriaceae;Aplanochytrium;Aplanochytrium blankum,1,1
Chromista;Ciliophora;Heterotrichea;Heterotrichida;Peritromidae;Peritromus;Peritromus kahli,1,1
Chromista;Ciliophora;Litostomatea;Haptorida;Pseudoholophryidae;Paraenchelys;Paraenchelys terricola,4,64
Chromista;NA;Dinophyceae;Phytodiniales;Phytodiniaceae;Spiniferodinium,2,2
Animalia;Mollusca;Gastropoda;NA;Peltospiridae;Depressigyra;Depressigyra globulus,1,1
Chromista;NA;Dinophyceae;Gymnodiniales;Kareniaceae;Karenia;Karenia sp. (in: dinoflagellates),21,21
Animalia;Orthonectida,1,1
Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;NA;Resinicium;Resinicium bicolor,8,281
Chromista;Ciliophora;Litostomatea;Pleurostomatida,32,1209
Animalia;Annelida;Polychaeta;NA;Capitellidae,1,1
Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlorococcaceae;Characium,9,60
Animalia;Xenacoelomorpha;NA;Nemertodermatida;Nemertodermatidae;Sterreria,1,1
Animalia;Tardigrada;Eutardigrada;Parachela,3,713
Chromista;NA;Dinophyceae;Peridiniales;Amphidiniopsidaceae;Amphidiniopsis;Amphidiniopsis uroensis,22,22
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Starmera;Starmera caribaea,5,39
Protozoa;NA;Choanoflagellata;Acanthoecida;Acanthoecidae;Savillea;Savillea micropora,3,3
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Limimaricola;Limimaricola hongkongensis,1,1
Plantae;Streptophyta;Magnoliopsida;Rosales;Rhamnaceae,1,1
Protozoa;Discosea;Flabellinia;Dactylopodida;Paramoebidae;Paramoeba,7,352
Chromista;NA;Dinophyceae;Peridiniales;Amphidiniopsidaceae;Archaeperidinium;Archaeperidinium minutum,14,14
Bacteria;Pseudomonadota;Deltaproteobacteria;Desulfuromonadales;Syntrophotaleaceae;Syntrophotalea,1,1
Chromista;NA;Cryptophyceae;Cryptomonadales;Cryptomonadaceae;Cryptomonas;Cryptomonas obovoidea,5,8
Chromista;Ciliophora;Oligohymenophorea;Philasterida;Uronematidae;Uronemella;Uronemella parafilificum,7,7
Plantae;Streptophyta;Magnoliopsida;Cucurbitales;Begoniaceae;Begonia;Begonia longifolia,1,1
Plantae;Streptophyta;Magnoliopsida;Myrtales;Myrtaceae;Myrtus;Myrtus communis,1,1
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Prosthecobacter;Prosthecobacter debontii,1,1
Animalia;Arthropoda;Hexanauplia;Poecilostomatoida;Corycaeidae;Agetus;Agetus flaccus,17,17
Chromista;Ciliophora;Heterotrichea;Licnophorida;Licnophoridae;Licnophora;Licnophora cf. lyngbycola,1,1
Fungi;Ascomycota;Dothideomycetes;Cladosporiales;Cladosporiaceae;Cladosporium;Cladosporium halotolerans,6,8
Chromista;Ciliophora;Spirotrichea;Tintinnida;Codonellidae;Codonella;Codonella sp. HCB-2005,2,2
Plantae;Chlorophyta;Ulvophyceae;Ulvales;NA;Halofilum,1,1
Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Apatococcus;Apatococcus lobatus,11,459
Chromista;Bacillariophyta;Bacillariophyceae;Cymbellales;Cymbellaceae;Cymbella;Cymbella cistuliformis,4,4
Chromista;Apicomplexa;Conoidasida;Eugregarinorida;Lecudinidae;Polyrhabdina;Polyrhabdina sp.,1,1
Chromista;NA;Bolidophyceae;Parmales;Triparmaceae;Triparma;Triparma pacifica,5,5
Chromista;Apicomplexa;Conoidasida;Archigregarinorida;Selenidiidae;Platyproteum;Platyproteum vivax,1,1
Chromista;Bacillariophyta;Fragilariophyceae;Licmophorales;Ulnariaceae;Catacombas;Catacombas gaillonii,2,2
Plantae;Streptophyta;Magnoliopsida;Chloranthales;Chloranthaceae;Hedyosmum;Hedyosmum arborescens,1,1
Protozoa;Tubulinea;Elardia;Euamoebida;Hartmannellidae;Saccamoeba;Saccamoeba limax,1,1
Plantae;Chlorophyta;Mamiellophyceae,1,1
Chromista;NA;Cryptophyceae;Pyrenomonadales;Geminigeraceae;Teleaulax,10,10
Animalia;Mollusca;Bivalvia;Ostreida;Ostreidae;Saccostrea;Saccostrea commercialis,1,1
Chromista;Ciliophora;Spirotrichea;Urostylida;Urostylidae;Uroleptus;Uroleptus sp. WJC-2003,4,8
Bacteria;Pseudomonadota;Gammaproteobacteria;Legionellales;Coxiellaceae;NA;endosymbiont of Folsomia candida,1,1
Animalia;Dicyemida;NA;NA;Dicyemidae;Dicyemennea;Dicyemennea eledones,1,1
Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Sporobolomyces,8,120
Plantae;Streptophyta;Magnoliopsida;Apiales;Apiaceae;Chamaesium,1,1
Bacteria;Lentisphaerae;Lentisphaeria;Lentisphaerales;Lentisphaeraceae;Lentisphaera;Lentisphaera araneosa,3,3
Protozoa;Discosea;Flabellinia;NA;Vannellidae;Platyamoeba;Platyamoeba sp. strain SUM1S/I,5,1607
Animalia;Rotifera;Eurotatoria;Ploima;Gastropodidae;Gastropus;Gastropus stylifer,4,8
Animalia;Ctenophora;Tentaculata;Cydippida,13,170
Chromista;NA;Eustigmatophyceae;Eustigmatales;Monodopsidaceae;Monodopsis;Monodopsis subterranea,1,1
Protozoa;Cercozoa;Imbricatea;Euglyphida;Cyphoderiidae;Cyphoderia;Cyphoderia littoralis,2,2
Chromista;Ciliophora;Spirotrichea;Tintinnida;Tintinnidae;Eutintinnus;Eutintinnus pectinis,1,1
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;NA;NA;Chaetothyriales sp. M-Mo8,1,1
Plantae;Streptophyta;Pinopsida;Pinales;Pinaceae;Abies;Abies balsamea,3,16
Chromista;Bacillariophyta;Mediophyceae;Eupodiscales;Odontellaceae;Pseudictyota;Pseudictyota dubia,1,1
Plantae;Rhodophyta;Florideophyceae;Ceramiales;Delesseriaceae;Platysiphonia;Platysiphonia victoriae,1,1
Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytriomycetaceae;Rhizoclosmatium;Rhizoclosmatium pessaminum,2,27
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae,6,21
Protozoa;Evosea;Variosea;NA;Flamellidae;Telaepolella;Telaepolella tubasferens,4,1357
Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Mycosphaerellaceae;Ramularia;Ramularia endophylla,4,18
Fungi;Ascomycota;Leotiomycetes;Erysiphales;Erysiphaceae;Neoerysiphe;Neoerysiphe galeopsidis,6,7
Fungi;Mucoromycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;Mortierella sp.,3,6
Fungi;Ascomycota;Dothideomycetes;Stigmatodiscales;Stigmatodiscaceae,1,1
Animalia;Chordata;Appendicularia;Copelata;Oikopleuridae,15,15
Chromista;Endomyxa;Phytomyxea;Plasmodiophorida;Plasmodiophoridae;Spongospora;Spongospora subterranea,2,2
Protozoa;Discosea;Flabellinia,8,117
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Brucella;Brucella cytisi,4,8
Fungi;Mucoromycota;Glomeromycetes;Glomerales;Glomeraceae;Glomus;Glomus sp. 23 ZHNL-2013,3,3
Fungi;Basidiomycota;Agaricomycetes;Agaricales;NA;NA;Agaricales sp.,8,1092
Chromista;NA;Chrysophyceae;Hydrurales;Hydruraceae;Hydrurus;Hydrurus sp.,1,1
Plantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae,17,2269
Bacteria;Pseudomonadota;Gammaproteobacteria;NA;NA;NA;Anodontia fragilis gill symbiont,4,4
Protozoa;NA;Ichthyosporea;Ichthyophonida;NA;Creolimax;Creolimax fragrantissima,4,4
Protozoa;NA;NA;Apusomonadida;Apusomonadidae;Podomonas;Podomonas kaiyoae,5,5
Chromista;NA;Dinophyceae;Gonyaulacales;Pyrocystaceae;Alexandrium;Alexandrium sp.,9,9
Plantae;Rhodophyta;Florideophyceae;Ceramiales;Rhodomelaceae,5,5
Chromista;NA;Synurophyceae;Ochromonadales;NA;Acrispumella;Acrispumella msimbaziensis,56,6709
Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Vishniacozyma;Vishniacozyma tephrensis,4,7
Bacteria;Pseudomonadota;Alphaproteobacteria;Holosporales;Candidatus Paracaedibacteraceae;Candidatus Paracaedibacter;Candidatus Paracaedibacter acanthamoebae,3,3
Fungi;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;Hyalorbilia;Hyalorbilia rotifera,1,1
Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Novipirellula;Novipirellula artificiosorum,1,1
Chromista;NA;Phaeophyceae;Ectocarpales;Chordariaceae;Halothrix;Halothrix ambigua,6,6
Protozoa;Cercozoa;Thecofilosea;NA;Ebriacea;Ebria;Ebria tripartita,2,2
Plantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Chrysophthalmum;Chrysophthalmum montanum,1,1
Plantae;Streptophyta;Magnoliopsida;Cucurbitales;Cucurbitaceae;Luffa;Luffa acutangula,4,8
Chromista;Ciliophora;Litostomatea;Haptorida;Trachelophyllidae;Acaryophrya;Acaryophrya sp. PV-2014,12,455
Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella sorokiniana,2,6
Animalia;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas platyrhynchos,1,1
Fungi;Ascomycota;Leotiomycetes;Helotiales;Bryoglossaceae;Neocudoniella;Neocudoniella radicella,1,1
Chromista;Cercozoa;Imbricatea;Thaumatomonadida;Thaumatomastigidae;Protaspis;Protaspis sp. CC-2009a,9,9
Bacteria;Cyanobacteria;NA;Oscillatoriales,1,1
Chromista;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Cylindrotheca;Cylindrotheca closterium,7,7
Bacteria;Pseudomonadota;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;NA;alpha proteobacterium HIMB5,14,14
Plantae;Streptophyta;Magnoliopsida;Sapindales;Rutaceae;Citrus,21,21
Animalia;Echinodermata;Holothuroidea,4,4
Chromista;NA;Chrysophyceae;NA;NA;Segregatospumella;Segregatospumella dracosaxi,11,11
Plantae;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Galanthus;Galanthus ikariae,2,2
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium sp.,1,1
Animalia;Xenacoelomorpha;NA;Nemertodermatida;Nemertodermatidae;Meara,1,1
Animalia;Chordata;Aves;Passeriformes,1,1
Chromista;Ciliophora;Oligohymenophorea;Pleuronematida;Cyclidiidae;Protocyclidium;Protocyclidium sinica,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Phaeobacter;Phaeobacter sp. CAU 1190,1,1
Plantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae,29,29
Chromista;NA;Cryptophyceae;Cryptomonadales;Cryptomonadaceae;Cryptomonas;Cryptomonas curvata,13,40
Bacteria;Acidobacteria;Blastocatellia;Blastocatellales;Blastocatellaceae;Stenotrophobacter,3,12
Chromista;NA;Xanthophyceae;Mischococcales;Pleurochloridaceae;Pleurochloris;Pleurochloris meiringensis,2,2
Chromista;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula;Navicula phyllepta,4,4
Plantae;Streptophyta;Bryopsida;Dicranales;Calymperaceae,6,6
