"sample_id"	"reads"	"percentage of overall results"	"notes"
"JDFB_01_062425"	55341	0.0042669057858937135	""
"JDFB_02_062425"	32403	0.0024983384503408685	""
"JDFB_03_062525"	62163	0.004792896123462007	""
"JDFB_03_062525"	3	2.3130621704850183e-7	"sample did not have any recorded observations for any assignments"
"JDFB_04_062525"	53297	0.004109309150011334	""
"JDFB_04_062525"	4	3.0840828939800245e-7	"sample did not have any recorded observations for any assignments"
"JDFB_05_062525"	71059	0.005478796159083164	""
"JDFB_05_062525"	3	2.3130621704850183e-7	"sample did not have any recorded observations for any assignments"
"JDFB_06_062525"	68708	0.005297529186989488	""
"JDFB_06_062525"	10	7.710207234950061e-7	"sample did not have any recorded observations for any assignments"
"JDFB_07_062525"	72378	0.0055804937925121555	""
"JDFB_08_062525"	30727	0.0023691153770831054	""
"JDFB_09_062525"	105050	0.00809957270031504	""
"JDFB_10_062525"	164625	0.012692928660536538	""
"JDFB_11_062525"	116181	0.008957795867637331	""
"JDFB_11_062525"	2	1.5420414469900122e-7	"sample did not have any recorded observations for any assignments"
"JDFB_12_062525"	116639	0.008993108616773401	""
"JDFB_12_062525"	6	4.6261243409700367e-7	"sample did not have any recorded observations for any assignments"
"JDFB_13_062525"	124938	0.009632978715201907	""
"JDFB_13_062525"	2	1.5420414469900122e-7	"sample did not have any recorded observations for any assignments"
"JDFB_14_062525"	115240	0.008885242817556451	""
"JDFB_14_062525"	8	6.168165787960049e-7	"sample did not have any recorded observations for any assignments"
"JDFB_15_062625"	51917	0.004002908290169023	""
"JDFB_15_062625"	4	3.0840828939800245e-7	"sample did not have any recorded observations for any assignments"
"JDFB_16_062625"	35525	0.002739051120216009	""
"JDFB_16_062625"	7	5.397145064465043e-7	"sample did not have any recorded observations for any assignments"
"JDFB_17_062625"	52613	0.004056571332524276	""
"JDFB_17_062625"	4	3.0840828939800245e-7	"sample did not have any recorded observations for any assignments"
"JDFB_18_062625"	49889	0.003846545287444236	""
"JDFB_19_062625"	61580	0.004747945615282248	""
"JDFB_20_062625"	69569	0.005363914071282408	""
"JDFB_20_062625"	8	6.168165787960049e-7	"sample did not have any recorded observations for any assignments"
"JDFB_21_062625"	28328	0.0021841475055166533	""
"JDFB_22_062625"	24423	0.0018830639129918535	""
"JDFB_22_062625"	2	1.5420414469900122e-7	"sample did not have any recorded observations for any assignments"
"JDFB_23_062625"	53340	0.004112624539122363	""
"JDFB_23_062625"	4	3.0840828939800245e-7	"sample did not have any recorded observations for any assignments"
"JDFB_24_062625"	66662	0.0051397783469624096	""
"JDFB_25_062625"	28285	0.002180832116405625	""
"JDFB_25_062625"	3	2.3130621704850183e-7	"sample did not have any recorded observations for any assignments"
"JDFB_26_062625"	46355	0.003574066563761101	""
"JDFB_26_062625"	4	3.0840828939800245e-7	"sample did not have any recorded observations for any assignments"
"JDFB_27_062625"	45269	0.003490333713189543	""
