taxonomic_path	common_name	% samples positive in project
Chromista;Bacillariophyta;Coscinodiscophyceae;Coscinodiscales;Hemidiscaceae;Actinocyclus;Actinocyclus curvatulus	Diatoms	35.77
Chromista;Ciliophora;Oligohymenophorea	Ciliates	74.8
Chromista;NA;Dinophyceae;Syndiniales;Amoebophryaceae;Amoebophrya;Amoebophrya sp. ex Gymnodinium instriatum	Dinoflagellates	60.16
Chromista;NA;Dinophyceae;Syndiniales;Ellobiopsidae;Thalassomyces;Thalassomyces sp. JDS-2003	Dinoflagellates	14.63
Chromista;NA;Dinophyceae;Suessiales;Suessiaceae;Pelagodinium;Pelagodinium beii	Dinoflagellates	45.53
Protozoa;NA;Ichthyosporea;Ichthyophonida;NA;Sphaeroforma	Protozoans	89.43
Plantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Gilbertiodendron;Gilbertiodendron grandistipulatum	Bean	4.07
Chromista;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium leonis	Dinoflagellates	54.47
Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Nannochloris;Nannochloris sp. NIES-3880	Green algae	40.65
Chromista;Ciliophora;Oligohymenophorea;Philasterida;Orchitophryidae;Mesanophrys;Mesanophrys carcini	Ciliates	7.32
Chromista;Ciliophora;Litostomatea;Haptorida;Didiniidae;Monodinium;Monodinium sp. HCB-2005	""	4.88
Plantae;Rhodophyta;Florideophyceae;Ceramiales;Rhodomelaceae;Symphyocladiella;Symphyocladiella dendroidea	""	1.63
Chromista;Ciliophora;Spirotrichea	Ciliates	96.75
Chromista;Ciliophora;Oligohymenophorea;Thigmotrichida;Hemispeiridae;Boveria;Boveria subcylindrica	""	4.07
Chromista;NA;Chrysophyceae	""	60.16
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira hendeyi	Diatoms	60.16
Plantae;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae	Green algae	24.39
Chromista;NA;Bigyra;Oblongichytrida;NA;Oblongichytrium;Oblongichytrium sp.	Oblongichytrium sp.	65.85
Chromista;Ciliophora;Litostomatea;Cyclotrichida;Mesodiniidae;Mesodinium;Mesodinium rubrum	Ciliates	74.8
Chromista;Bacillariophyta;Mediophyceae;Lithodesmiales;Lithodesmiaceae;Ditylum;Ditylum brightwellii	Diatoms	73.98
Chromista;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Paragymnodinium;Paragymnodinium inerme	Dinoflagellates	65.85
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium glandicola	""	8.13
Chromista;Apicomplexa;Conoidasida;Eugregarinorida	Chromists	88.62
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira	Diatoms	77.24
Chromista;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula	Diatoms	95.93
Chromista;Bacillariophyta;Coscinodiscophyceae;Corethrales;Corethraceae;Corethron;Corethron inerme	""	4.07
Plantae;Streptophyta;Magnoliopsida;Ericales;Sapotaceae	Sapodillas	73.17
