"sample_id"	"reads"	"percentage of overall results"	"notes"
"JDFB_01_062425"	11219	0.003694743511886806	""
"JDFB_02_062425"	22822	0.007515949409776333	""
"JDFB_03_062525"	14870	0.004897124166303307	""
"JDFB_03_062525"	12	3.951949562585049e-6	"sample did not have any recorded observations for any assignments"
"JDFB_04_062525"	18802	0.006192046306310341	""
"JDFB_05_062525"	14527	0.004784164274639418	""
"JDFB_05_062525"	2	6.586582604308415e-7	"sample did not have any recorded observations for any assignments"
"JDFB_06_062525"	13311	0.004383700052297466	""
"JDFB_07_062525"	15692	0.005167832711340383	""
"JDFB_08_062525"	34794	0.01145867775671535	""
"JDFB_08_062525"	6	1.9759747812925246e-6	"sample did not have any recorded observations for any assignments"
"JDFB_09_062525"	21376	0.007039739487484834	""
"JDFB_10_062525"	19740	0.006500957030452406	""
"JDFB_10_062525"	2	6.586582604308415e-7	"sample did not have any recorded observations for any assignments"
"JDFB_11_062525"	24254	0.007987548724244816	""
"JDFB_11_062525"	2	6.586582604308415e-7	"sample did not have any recorded observations for any assignments"
"JDFB_12_062525"	34434	0.011340119269837799	""
"JDFB_12_062525"	2	6.586582604308415e-7	"sample did not have any recorded observations for any assignments"
"JDFB_13_062525"	18427	0.006068547882479559	""
"JDFB_14_062525"	14691	0.004838174251994747	""
"JDFB_14_062525"	2	6.586582604308415e-7	"sample did not have any recorded observations for any assignments"
"JDFB_15_062625"	13818	0.004550669921316685	""
"JDFB_15_062625"	6	1.9759747812925246e-6	"sample did not have any recorded observations for any assignments"
"JDFB_16_062625"	23032	0.007585108527121571	""
"JDFB_16_062625"	3	9.879873906462623e-7	"sample did not have any recorded observations for any assignments"
"JDFB_17_062625"	26540	0.008740395115917267	""
"JDFB_18_062625"	31742	0.010453565251297887	""
"JDFB_18_062625"	5	1.6466456510771039e-6	"sample did not have any recorded observations for any assignments"
"JDFB_19_062625"	16481	0.0054276733950803496	""
"JDFB_20_062625"	19932	0.006564188223453767	""
"JDFB_20_062625"	2	6.586582604308415e-7	"sample did not have any recorded observations for any assignments"
"JDFB_21_062625"	15188	0.005001850829711811	""
"JDFB_21_062625"	3	9.879873906462623e-7	"sample did not have any recorded observations for any assignments"
"JDFB_22_062625"	20204	0.0066537657468723616	""
"JDFB_23_062625"	48358	0.01592569807895732	""
"JDFB_24_062625"	24638	0.008114011110247538	""
"JDFB_25_062625"	24603	0.008102484590689997	""
"JDFB_26_062625"	20232	0.006662986962518393	""
"JDFB_26_062625"	3	9.879873906462623e-7	"sample did not have any recorded observations for any assignments"
"JDFB_27_062625"	19941	0.0065671521856257055	""
"JDFB_28_062625"	24511	0.008072186310710178	""
"JDFB_28_062625"	2	6.586582604308415e-7	"sample did not have any recorded observations for any assignments"
"JDFB_29_062625"	14277	0.004701831992085562	""
"JDFB_30_072425"	22285	0.007339099666850652	""
"JDFB_31_072425"	24628	0.008110717818945384	""
"JDFB_32_073025"	17912	0.005898943380418617	""
"JDFB_32_073025"	2	6.586582604308415e-7	"sample did not have any recorded observations for any assignments"
"JDFB_33_073025"	8014	0.0026392436495463823	""
"JDFB_34_073025"	20206	0.006654424405132792	""
"JDFB_35_073025"	25865	0.008518097953021858	""
"JDFB_35_073025"	5	1.6466456510771039e-6	"sample did not have any recorded observations for any assignments"
"JDFB_36_073025"	16424	0.005408901634658071	""
"JDFB_37_073025"	25119	0.008272418421881155	""
"JDFB_38_082625"	21189	0.00697815494013455	""
"JDFB_38_082625"	7	2.3053039115079454e-6	"sample did not have any recorded observations for any assignments"
"JDFB_39_082625"	30588	0.01007351943502929	""
"JDFB_40_082625"	5696	0.0018758587257070368	""
"JDFB_41_082625"	14870	0.004897124166303307	""
"JDFB_42_082625"	20139	0.006632359353408359	""
"JDFB_43_082625"	23364	0.0076944457983530905	""
"JDFB_44_082625"	22033	0.007256108726036366	""
"JDFB_44_082625"	2	6.586582604308415e-7	"sample did not have any recorded observations for any assignments"
"JDFB_45_082725"	34948	0.011509394442768526	""
"JDFB_45_082725"	10	3.2932913021542077e-6	"sample did not have any recorded observations for any assignments"
"JDFB_46_082725"	20746	0.006832262135449119	""
"JDFB_46_082725"	2	6.586582604308415e-7	"sample did not have any recorded observations for any assignments"
"JDFB_47_082725"	35859	0.011809413280394773	""
"JDFB_48_082725"	22475	0.007401672201591582	""
"JDFB_49_082725"	23361	0.007693457810962445	""
"JDFB_49_082725"	2	6.586582604308415e-7	"sample did not have any recorded observations for any assignments"
"JDFB_50_082725"	36684	0.012081109812822496	""
"JDFB_51_082725"	15356	0.005057178123588002	""
"JDFB_51_082725"	6	1.9759747812925246e-6	"sample did not have any recorded observations for any assignments"
"JDFB_52_082725"	17785	0.005857118580881259	""
"JDFB_53_082725"	54920	0.01808675583143091	""
"JDFB_54_082725"	16441	0.005414500229871733	""
"JDFB_55_082725"	17876	0.005887087531730862	""
"JDFB_56_082735"	23122	0.007614748148840959	""
"JDFB_56_082735"	4	1.317316520861683e-6	"sample did not have any recorded observations for any assignments"
"JDFB_57_082825"	20787	0.006845764629787952	""
"JDFB_58_082825"	29950	0.009863407449951853	""
"JDFB_59_082825"	30320	0.009985259228131559	""
"JDFB_59_082825"	3	9.879873906462623e-7	"sample did not have any recorded observations for any assignments"
"JDFB_60_082825"	17176	0.005656557140580067	""
"JDFB_60_082825"	4	1.317316520861683e-6	"sample did not have any recorded observations for any assignments"
"JDFB_61_082825"	28277	0.009312439815101454	""
"JDFB_62_082825"	28445	0.009367767108977644	""
"JDFB_63_082825"	36931	0.012162454107985705	""
"JDFB_63_082825"	4	1.317316520861683e-6	"sample did not have any recorded observations for any assignments"
"JDFB_64_082825"	17779	0.005855142606099966	""
"JDFB_64_082825"	2	6.586582604308415e-7	"sample did not have any recorded observations for any assignments"
"JDFB_65_082825"	20116	0.006624784783413404	""
"JDFB_66_082825"	33595	0.01106381212958706	""
"JDFB_67_082825"	19903	0.00655463767867752	""
"JDFB_68_082825"	26074	0.008586927741236882	""
"JDFB_69_082825"	17721	0.005836041516547472	""
"JDFB_69_082825"	2	6.586582604308415e-7	"sample did not have any recorded observations for any assignments"
"JDFB_70_082825"	15374	0.005063106047931879	""
"JDFB_71_092325"	19285	0.00635111227620439	""
"JDFB_72_092325"	4759	0.0015672773306951875	""
"JDFB_73_092425"	17095	0.005629881481032618	""
"JDFB_74_092425"	24258	0.007988866040765676	""
"JDFB_75_092425"	26072	0.008586269082976451	""
"JDFB_76_092425"	15353	0.005056190136197355	""
"JDFB_77_092425"	23853	0.007855487743028432	""
"JDFB_78_092425"	21699	0.007146112796544415	""
"JDFB_79_092525"	30645	0.01009229119545157	""
"JDFB_80_092525"	16027	0.005278157969962549	""
"JDFB_81_092525"	27725	0.00913065013522254	""
"JDFB_81_092525"	3	9.879873906462623e-7	"sample did not have any recorded observations for any assignments"
"JDFB_82_092525"	15383	0.005066070010103818	""
"JDFB_82_092525"	6	1.9759747812925246e-6	"sample did not have any recorded observations for any assignments"
"JDFB_83_092525"	17678	0.005821880363948208	""
"JDFB_84_092525"	16674	0.005491233917211926	""
"JDFB_84_092525"	2	6.586582604308415e-7	"sample did not have any recorded observations for any assignments"
"JDFB_85_092525"	16836	0.005544585236306824	""
"JDFB_85_092525"	2	6.586582604308415e-7	"sample did not have any recorded observations for any assignments"
"JDFB_86_092525"	19931	0.0065638588943235515	""
"JDFB_86_092525"	4	1.317316520861683e-6	"sample did not have any recorded observations for any assignments"
"JDFB_87_092525"	35147	0.011574930939681394	""
"JDFB_87_092525"	2	6.586582604308415e-7	"sample did not have any recorded observations for any assignments"
"JDFB_88_092525"	24408	0.008038265410297991	""
"JDFB_89_092525"	22448	0.007392780315075766	""
"JDFB_89_092525"	2	6.586582604308415e-7	"sample did not have any recorded observations for any assignments"
"JDFB_90_092525"	23413	0.0077105829257336465	""
"JDFB_BK1_01_062525"	3546	0.001167801095743882	"Decontaminated read was in sample with fewer than 1 reads"
"JDFB_BK1_03_062625"	2425	0.0007986231407723954	"Decontaminated read was in sample with fewer than 1 reads"
"JDFB_BK1_05_072425"	5	1.6466456510771039e-6	"Decontaminated read was in sample with fewer than 1 reads"
