taxonomic_path	common_name	% samples positive in project
Chromista;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia delicatissima	Diatoms	20.33
Chromista;Bacillariophyta;Coscinodiscophyceae;Coscinodiscales;Coscinodiscaceae;Coscinodiscus;Coscinodiscus wailesii	Diatom	18.7
Animalia;Arthropoda;Insecta;Diptera;Culicidae;Culex;Culex bahamensis	""	1.63
Animalia;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Clytia	Hydralike animals	21.95
Chromista;NA;Dinophyceae;Peridiniales;Pfiesteriaceae;NA;Pfiesteriaceae sp. CCMP1970	Dinoflagellates	39.02
Chromista;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum sp. ES18-118	Dinoflagellates	11.38
Animalia;Nemertea;Anopla;Heteronemertea;Lineidae;Maculaura;Maculaura alaskensis	Proboscis worms	3.25
Animalia;Mollusca;Bivalvia;Veneroida;Veneridae;Compsomyax;Compsomyax subdiaphana	Milky venus	15.45
Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Membraniporidae;Membranipora;Membranipora membranacea	Lacy crust bryozoan	17.89
Animalia;Cnidaria;Hydrozoa;Leptothecata	Hydralike animals	17.89
Animalia;Mollusca;Gastropoda;NA;Scaphandridae;Scaphander	""	0.81
Chromista;Phaeophyceae;NA;Ralfsiales;Mesosporaceae;Mesospora	""	0.81
Animalia;Chordata	Chordates	12.2
Chromista;NA;Dinophyceae;Peridiniales;Pfiesteriaceae	Dinoflagellates	86.18
Chromista;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros	Diatoms	24.39
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter;Polaribacter sp. Hel1_33_78	Bacteria	19.51
Animalia;Echinodermata;Holothuroidea;Dendrochirotida;Cucumariidae;Cucumaria;Cucumaria miniata	Orange sea cucumber	8.94
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium	""	21.95
Plantae;NA;Florideophyceae;Gigartinales;Gigartinaceae;Chondracanthus	Plants	8.94
Chromista;NA;Dinophyceae;Gonyaulacales	Dinoflagellates	78.86
Chromista;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium impudicum	Dinoflagellates	8.13
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Dokdonia;Dokdonia sp. 4H-3-7-5	""	4.07
Animalia;Porifera;Demospongiae;Clionaida;Clionaidae;Cliona;Cliona chilensis	Boring sponges	17.07
Animalia;Arthropoda;Insecta;Blattodea	""	1.63
Chromista;Bacillariophyta	Diatoms	54.47
Chromista;NA;Dinophyceae	Dinoflagellates	99.19
Animalia;Arthropoda;Insecta;Lepidoptera	Butterflies	20.33
Animalia;Arthropoda;Maxillopoda;Calanoida;Acartiidae;Acartia	Calanoid Copepods	7.32
Eukaryota	""	99.19
Animalia;Arthropoda;Maxillopoda;Calanoida;Paracalanidae;Paracalanus;Paracalanus parvus	Calanoid Copepods	15.45
Animalia;Cnidaria;Hydrozoa;Anthoathecata;Bougainvilliidae	Hydralike animals	8.94
Animalia;Arthropoda;Maxillopoda;Calanoida;Clausocalanidae;Pseudocalanus;Pseudocalanus newmani	Calanoid Copepods	32.52
Chromista;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum	Dinoflagellates	43.9
Animalia;Cnidaria;Hydrozoa;Anthoathecata;Bougainvilliidae;Bougainvillia;Bougainvillia muscus	""	1.63
Animalia;Arthropoda;Insecta;Hemiptera;Miridae	""	3.25
Animalia;Arthropoda;Arachnida;Araneae;Nemesiidae;Calisoga	""	3.25
Chromista;NA;Katablepharidophyta;NA;Katablepharidaceae;Leucocryptos;Leucocryptos marina	Chromists	16.26
Animalia;Arthropoda;Insecta	Insect	5.69
Animalia;Annelida;Polychaeta;Phyllodocida;Polynoidae;Arctonoe;Arctonoe pulchra	""	0.81
Animalia;Arthropoda;Maxillopoda;Calanoida;Acartiidae;Acartia;Acartia californiensis	Calanoid Copepods	19.51
Animalia;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens	""	73.17
Fungi;Basidiomycota;Agaricomycetes	Basidio's	3.25
Animalia;Mollusca;Bivalvia;Myoida;Hiatellidae;Panopea;Panopea generosa	Pacific geoduck	7.32
Chromista;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros sp. 19 LG-2014	Diatoms	13.82
