taxonomic_path	common_name	% samples positive in project
Eukaryota	""	80.17
Animalia;Chordata;Actinopteri;Clupeiformes;Clupeidae	Hering	26.45
Animalia;Chordata;Actinopteri	Chordates	56.2
Animalia;Chordata;Actinopteri;Siluriformes	Catfishes	0.83
Animalia;Chordata;Mammalia;Primates;Hominidae	Great Apes	83.47
Animalia;Chordata;Mammalia;Artiodactyla;Phocoenidae	Porpoises	4.96
Animalia;Chordata;Mammalia;Chiroptera;Vespertilionidae;Myotis	Myotis Bat species	13.22
Animalia;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens	Human	96.69
Animalia;Chordata;Mammalia;Primates	Primates	73.55
Animalia;Chordata;Mammalia;Primates;Hominidae;Pan	Chimpanzees	12.4
Animalia;Chordata;Mammalia;Primates;Hominidae;Pan;Pan paniscus	Bonobo	47.93
Animalia;Chordata;Mammalia;Primates;Hylobatidae;Nomascus;Nomascus leucogenys	Nordlicher Wei 3 wangengibbon	7.44
Animalia;Chordata;Mammalia;Primates;Cheirogaleidae	Dwarf lemurs	4.13
Animalia;Chordata;Mammalia;Primates;Lemuridae	Bamboo lemurs	3.31
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;Bos taurus	Aurochs	17.36
Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Sus;Sus scrofa	Wild Boar/Pig	15.7
Animalia;Chordata	Chordates	97.52
Animalia;Chordata;Actinopteri;Perciformes;Cyclopteridae	Lumpfishes	3.31
Animalia;Chordata;Actinopteri;Perciformes;Liparidae;Paraliparis;Paraliparis copei	Wilson’s Paraliparis	4.13
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae	Bovine	34.71
Animalia;Chordata;Actinopteri;Uranoscopiformes;Ammodytidae;Ammodytes;Ammodytes marinus	Launce	9.09
Animalia;Chordata;Actinopteri;NA;Embiotocidae	Surf perches	9.92
Animalia;Chordata;Actinopteri;Perciformes	Perch-like fishes	19.01
Animalia;Chordata;Mammalia;Rodentia;Muridae	Small Mouse	4.13
Animalia;Chordata;Aves;Passeriformes;Paridae	Chickadees	4.96
Animalia;Chordata;Mammalia;Carnivora;Felidae;Panthera	Roaring cats	4.96
