File,Foraging (Y/N),Seal_Presence,Original_Date (Do Not Use for R),Date,File_Timestamp,Time_In_1,Time_Out_1,Time_In_2,Time_Out_2,Time_In_3,Time_Out_3,Time_In_4,Time_Out_4,Time_In_5,Time_Out_5,Time_In_6,Time_Out_6,Cumulative_Time_m,Cumulative_Time_s,FGS_Status,Notes,
May_08_2023_135727_417,NA,N," _May _10, _2023",5/10/23,__12:01:24 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_418,NA,N," _May _10, _2023",5/10/23,12:06:02 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_419,NA,N," _May _10, _2023",5/10/23, __12:10:42 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_420,NA,N," _May _10, _2023",5/10/23,__12:15:34 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_421,N,Y," _May _10, _2023",5/10/23,12:20:38 AM,20:13.2,20:22.1,,,,,,,,,,,00:08.9,8.90,ON,Swims across FOV away from transducer,
May_08_2023_135727_422,NA,N," _May _10, _2023",5/10/23,__12:25:42 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_423,NA,N," _May _10, _2023",5/10/23,__12:30:46 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_424,NA,N," _May _10, _2023",5/10/23,__12:35:58 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_425,NA,N," _May _10, _2023",5/10/23,12:41:12 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_426,NA,N," _May _10, _2023",5/10/23,12:46:26 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_427,NA,N," _May _10, _2023",5/10/23,__12:51:44 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_428,NA,N," _May _10, _2023",5/10/23,__12:57:02 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_429,NA,N," _May _10, _2023",5/10/23,__1:02:20 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_430,NA,N," _May _10, _2023",5/10/23,__1:07:36 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_431,NA,N," _May _10, _2023",5/10/23,1:12:48 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_432,NA,N," _May _10, _2023",5/10/23,__1:18:00 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_433,NA,N," _May _10, _2023",5/10/23,__1:23:20 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_434,NA,N," _May _10, _2023",5/10/23,__1:28:40 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_435,NA,N," _May _10, _2023",5/10/23,1:33:56 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_436,NA,N," _May _10, _2023",5/10/23,__1:39:10 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_437,NA,N," _May _10, _2023",5/10/23,__1:44:16 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
