File,Date,Time_In_1,Time_Out_1,Time_In_2,Time_Out_2,Time_In_3,Time_Out_3,Time_In_4,Time_Out_4,Time_In_5,Time_Out_5,Time_In_6,Time_Out_6,Cumulative_Time_m,Cumulative_Time_s,Tast_Status,Seal_Presence,Notes
May_24_2023_144714_1079,5/30/2023,11:52:43 AM,11:54:01 AM,,,,,,,,,,,01:18,77.70,Off,Y,Seal scares school of fish then sits around a while
May_24_2023_144714_1082,5/30/2023,12:22:22 PM,12:22:27 PM,,,,,,,,,,,00:06,5.70,Off,Y,Swims toward school of fish and dips out of view
May_24_2023_144714_1100,5/30/2023,2:35:56 PM,2:36:06 PM,,,,,,,,,,,00:10,9.60,Off,U,Looks like a large fish to me
May_24_2023_144714_1105,5/30/2023,3:17:36 PM,3:17:59 PM,,,,,,,,,,,00:23,23.30,Off,Y,"Could be Seal, could be Porpoise"
May_24_2023_144714_1108,5/30/2023,3:38:41 PM,3:39:46 PM,,,,,,,,,,,01:06,65.70,Off,Y,Slowly drifts in then accelerates
May_24_2023_144714_1341,5/31/2023,10:17:34 PM,10:17:57 PM,,,,,,,,,,,00:23,23.00,OFF,Y,Foraging but signal is a little bit broken up. Movent looks like seal
May_24_2023_144714_1344,5/31/2023,10:47:07 PM,10:47:50 PM,,,,,,,,,,,00:43,43.00,OFF,Y,Not many fish. Seal swims across frame
May_24_2023_144714_1357,5/31/2023,12:29:11 AM,12:29:32 AM,,,,,,,,,,,00:21,21.40,OFF,Y,Appears to be chasing
May_24_2023_144714_1368,5/31/2023,1:56:50 AM,1:57:46 AM,,,,,,,,,,,00:56,56.20,OFF,Y,Swims at a school of fish then drifts
May_24_2023_144714_1380,5/31/2023,3:27:33 AM,3:27:50 AM,,,,,,,,,,,00:17,16.90,OFF,Y,Swims into large school of fish clearly feeding. End of file cuts off seal while still in frame.
May_24_2023_144714_1381,5/31/2023,3:27:51 AM,3:27:55 AM,,,,,,,,,,,00:05,4.80,OFF,Y,Continuation of the previous file.
May_24_2023_144714_1384,5/31/2023,3:51:02 AM,3:51:16 AM,,,,,,,,,,,00:13,13.30,OFF,Y,Quick Swim through
May_24_2023_144714_2458,6/6/2023,10:20:26 PM,10:21:15 PM,,,,,,,,,,,00:49,48.90,OFF,U,Looks like something floating through the frame
May_24_2023_144714_2459,6/6/2023,10:27:43 PM,10:27:47 PM,,,,,,,,,,,00:05,4.70,OFF,Y,Faint and quick swim through
May_24_2023_144714_2460,6/6/2023,10:34:36 PM,10:35:05 PM,,,,,,,,,,,00:29,28.60,OFF,U,"Large S shaped, looks like it moves but it floats mostly unchanged through view"
May_24_2023_144714_2463,6/6/2023,10:56:15 PM,10:57:00 PM,,,,,,,,,,,00:45,44.90,OFF,Y,Small but veers a few times
May_24_2023_144714_2464,6/6/2023,11:05:42 PM,11:05:58 PM,,,,,,,,,,,00:16,16.20,OFF,U,I don't think it's a seal
May_24_2023_144714_2470,6/6/2023,11:47:08 PM,11:47:53 PM,,,,,,,,,,,00:45,45.00,OFF,U,Looks like a large fish or very small seal
May_24_2023_144714_2476,6/6/2023,12:39:44 AM,12:39:56 AM,,,,,,,,,,,00:12,12.10,OFF,Y,Large seal in for small amount of time but looks like smaller seals are in for larger duration; interesting mom and babies?
May_24_2023_144714_2477,6/6/2023,12:45:53 AM,12:45:58 AM,12:52:34 AM,12:53:13 AM,,,,,,,,,00:43,43.30,OFF,Y,Swims toward school in T1 but just floats a bit in T2
May_24_2023_144714_2478,6/6/2023,12:53:26 AM,12:53:41 AM,,,,,,,,,,,00:16,15.60,OFF,Y,Swims through frame
May_24_2023_144714_2486,6/6/2023,2:06:31 AM,2:06:57 AM,,,,,,,,,,,00:27,26.90,OFF,Y,Single turn then floats
May_24_2023_144714_2487,6/6/2023,2:07:19 AM,2:07:25 AM,2:11:05 AM,2:12:02 AM,,,,,,,,,01:04,63.70,OFF,Y,T1 is continuation of previous file
May_24_2023_144714_2488,6/6/2023,2:16:14 AM,2:16:22 AM,2:17:21 AM,2:17:28 AM,,,,,,,,,00:15,14.70,OFF,Y,Both just swim through
May_24_2023_144714_2489,6/6/2023,2:28:21 AM,2:28:28 AM,,,,,,,,,,,00:07,6.80,OFF,Y,Swim through
May_24_2023_144714_2490,6/6/2023,2:33:11 AM,2:33:21 AM,,,,,,,,,,,00:09,9.40,OFF,Y,Small and just a swim through
May_24_2023_144714_2491,6/6/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present. Weird flash at 02:45:39.2
May_24_2023_144714_2493,6/6/2023,3:00:47 AM,3:01:00 AM,3:02:50 AM,3:03:09 AM,,,,,,,,,00:33,33.00,OFF,Y,Swims through in opposite directions
May_24_2023_144714_2495,6/6/2023,3:23:52 AM,3:24:04 AM,,,,,,,,,,,00:12,12.30,OFF,Y,Swims through
May_24_2023_144714_2572,6/7/2023,2:04:27 PM,2:04:46 PM,,,,,,,,,,,00:19,18.80,OFF,Y,Swipes by school of fish
May_24_2023_144714_2574,6/7/2023,2:24:43 PM,2:24:55 PM,,,,,,,,,,,00:11,11.30,OFF,Y,Swims into school and dives. A lot of fish activity
May_24_2023_144714_2576,6/7/2023,2:43:33 PM,2:43:54 PM,2:43:56 PM,2:44:07 PM,,,,,,,,,00:31,31.40,OFF,Y,Swims into school twice turning the whole time
