"","Filename","Date","File timestamp","TAST status","Seal present?","# of seals","Fish present?","Processer initials","Foraging? (Yes, No, Maybe, or NA (no seals present))","Notes","...11"
"1","May_24_2023_144714_1156",2023-05-30,15:07:00,"ON","No",0,"Yes","KW","No",NA,NA
"2","May_24_2023_144714_1157",2023-05-30,15:16:00,"ON","No",0,"Yes","KW","No",NA,NA
"3","May_24_2023_144714_1158",2023-05-30,15:25:00,"ON","No",0,"Yes","KW","No",NA,NA
"4","May_24_2023_144714_1159",2023-05-30,15:33:00,"ON","No",0,"Yes","KW","No",NA,NA
"5","May_24_2023_144714_1160",2023-05-30,15:42:00,"ON","No",0,"Yes","KW","No",NA,NA
"6","May_24_2023_144714_1161",2023-05-30,15:50:00,"ON","No",0,"Yes","KW","No",NA,NA
"7","May_24_2023_144714_1162",2023-05-30,15:59:00,"ON","No",0,"Yes","KW","No",NA,NA
"8","May_24_2023_144714_1163",2023-05-30,16:08:00,"ON","No",0,"Yes","KW","No",NA,NA
"9","May_24_2023_144714_1164",2023-05-30,16:16:00,"ON","No",0,"Yes","KW","No",NA,NA
"10","May_24_2023_144714_1165",2023-05-30,16:25:00,"ON","No",0,"Yes","KW","No",NA,NA
"11","May_24_2023_144714_1166",2023-05-30,16:33:00,"ON","No",0,"Yes","KW","No",NA,NA
"12","May_24_2023_144714_1167",2023-05-30,16:42:00,"ON","No",0,"Yes","KW","No",NA,NA
"13","May_24_2023_144714_1168",2023-05-30,16:50:00,"ON","No",0,"Yes","KW","No",NA,NA
"14","May_24_2023_144714_1169",2023-05-30,16:58:00,"ON","No",0,"Yes","KW","No",NA,NA
"15","May_24_2023_144714_1170",2023-05-30,17:07:00,"ON","No",0,"Yes","KW","No",NA,NA
"16","May_24_2023_144714_1171",2023-05-30,17:15:00,"ON","No",0,"Yes","KW","No","pretty sure it's a seabird",NA
"17","May_24_2023_144714_1172",2023-05-30,17:24:00,"ON","No",0,"Yes","KW","No",NA,NA
"18","May_24_2023_144714_1173",2023-05-30,17:32:00,"ON","No",0,"Yes","KW","No",NA,NA
"19","May_24_2023_144714_1174",2023-05-30,17:40:00,"ON","No",0,"Yes","KW","No",NA,NA
"20","May_24_2023_144714_1175",2023-05-30,17:49:00,"ON","No",0,"Yes","KW","No",NA,NA
"21","May_24_2023_144714_1176",2023-05-30,17:57:00,"ON","No",0,"Yes","KW","No",NA,NA
"22","May_24_2023_144714_1177",2023-05-30,18:04:00,"ON","No",0,"Yes","KW","No",NA,NA
"23","May_24_2023_144714_1178",2023-05-30,18:11:00,"ON","No",0,"Yes","KW","No",NA,NA
"24","May_24_2023_144714_1179",2023-05-30,18:18:00,"ON","No",0,"Yes","KW","No",NA,NA
"25","May_24_2023_144714_1180",2023-05-30,18:25:00,"ON","No",0,"Yes","KW","No",NA,NA
"26","May_24_2023_144714_1181",2023-05-30,18:32:00,"ON","No",0,"Yes","KW","No",NA,NA
"27","May_24_2023_144714_1182",2023-05-30,18:40:00,"ON","No",0,"Yes","KW","No","screen goes dark for part of the video",NA
"28","May_24_2023_144714_1183",2023-05-30,18:47:00,"ON","No",0,"Yes","KW","No",NA,NA
"29","May_24_2023_144714_1184",2023-05-30,18:55:00,"ON","No",0,"Yes","KW","No",NA,NA
"30","May_24_2023_144714_1185",2023-05-30,19:03:00,"ON","No",0,"Yes","KW","No",NA,NA
"31","May_24_2023_144714_1186",2023-05-30,19:11:00,"ON","No",0,"Yes","KW","No",NA,NA
"32","May_24_2023_144714_1187",2023-05-30,19:19:00,"ON","No",0,"Yes","KW","No",NA,NA
"33","May_24_2023_144714_1188",2023-05-30,19:28:00,"ON","No",0,"Yes","KW","No",NA,NA
"34","May_24_2023_144714_1189",2023-05-30,19:35:00,"ON","No",0,"Yes","KW","No",NA,NA
"35","May_24_2023_144714_1190",2023-05-30,19:42:00,"ON","No",0,"Yes","KW","No",NA,NA
"36","May_24_2023_144714_1191",2023-05-30,19:49:00,"ON","No",0,"Yes","KW","No",NA,NA
"37","May_24_2023_144714_1192",2023-05-30,19:56:00,"ON","No",0,"Yes","KW","No",NA,NA
"38","May_24_2023_144714_1193",2023-05-30,20:03:00,"ON","No",0,"Yes","KW","No",NA,NA
"39","May_24_2023_144714_1194",2023-05-30,20:10:00,"ON","No",0,"Yes","KW","No",NA,NA
"40","May_24_2023_144714_1195",2023-05-30,20:16:00,"ON","No",0,"Yes","KW","No",NA,NA
"41","May_24_2023_144714_1196",2023-05-30,20:23:00,"ON","No",0,"Yes","KW","No",NA,NA
"42","May_24_2023_144714_1197",2023-05-30,20:30:00,"ON","No",0,"Yes","KW","No",NA,NA
"43","May_24_2023_144714_1198",2023-05-30,20:37:00,"ON","No",0,"Yes","KW","No",NA,NA
"44","May_24_2023_144714_1199",2023-05-30,20:44:00,"ON","Yes",1,"Yes","KW","Yes",NA,NA
"45","May_24_2023_144714_1200",2023-05-30,20:52:00,"ON","No",0,"Yes","KW","No",NA,NA
"46","May_24_2023_144714_1201",2023-05-30,20:59:00,"ON","No",0,"Yes","KW","No",NA,NA
"47","May_24_2023_144714_1263",2023-05-31,05:07:00,"ON","No",0,"Yes","KW","No",NA,NA
"48","May_24_2023_144714_1264",2023-05-31,05:15:00,"ON","Yes",1,"Yes","KW","Maybe","pretty sure it's a seal but very tiny--could be at bottom of field of view?",NA
"49","May_24_2023_144714_1265",2023-05-31,05:22:00,"ON","No",0,"Yes","KW","No",NA,NA
"50","May_24_2023_144714_1266",2023-05-31,05:30:00,"ON","No",0,"Yes","KW","No",NA,NA
"51","May_24_2023_144714_1267",2023-05-31,05:37:00,"ON","No",0,"Yes","KW","No",NA,NA
"52","May_24_2023_144714_1268",2023-05-31,05:45:00,"ON","No",0,"Yes","KW","No",NA,NA
"53","May_24_2023_144714_1269",2023-05-31,05:53:00,"ON","No",0,"Yes","KW","No",NA,NA
"54","May_24_2023_144714_1270",2023-05-31,06:01:00,"ON","No",0,"Yes","KW","No",NA,NA
"55","May_24_2023_144714_1271",2023-05-31,06:09:00,"ON","Yes",1,"Yes","KW","Yes","pretty sure it's a seal but very tiny--could be at bottom of field of view?",NA
"56","May_24_2023_144714_1272",2023-05-31,06:17:00,"ON","No",0,"Yes","KW","No",NA,NA
"57","May_24_2023_144714_1273",2023-05-31,06:25:00,"ON","No",0,"Yes","KW","No",NA,NA
"58","May_24_2023_144714_1274",2023-05-31,06:33:00,"ON","No",0,"Yes","KW","No",NA,NA
"59","May_24_2023_144714_1275",2023-05-31,06:41:00,"ON","No",0,"Yes","KW","No",NA,NA
"60","May_24_2023_144714_1276",2023-05-31,06:48:00,"ON","No",0,"Yes","KW","No","seabird?",NA
"61","May_24_2023_144714_1277",2023-05-31,06:56:00,"ON","Yes",1,"Yes","KW","Yes",NA,NA
"62","May_24_2023_144714_1278",2023-05-31,07:04:00,"ON","Yes",1,"Yes","KW","No",NA,NA
"63","May_24_2023_144714_1279",2023-05-31,07:12:00,"ON","No",0,"Yes","KW","No",NA,NA
"64","May_24_2023_144714_1280",2023-05-31,07:20:00,"ON","No",0,"Yes","KW","No",NA,NA
"65","May_24_2023_144714_1281",2023-05-31,07:28:00,"ON","No",0,"Yes","KW","No",NA,NA
"66","May_24_2023_144714_1282",2023-05-31,07:36:00,"ON","Yes",1,"Yes","KW","No",NA,NA
"67","May_24_2023_144714_1283",2023-05-31,07:44:00,"ON","No",0,"Yes","KW","No",NA,NA
"68","May_24_2023_144714_1284",2023-05-31,07:52:00,"ON","No",0,"Yes","KW","No",NA,NA
"69","May_24_2023_144714_1285",2023-05-31,08:00:00,"ON","No",0,"Yes","KW","No","seabird?",NA
"70","May_24_2023_144714_1286",2023-05-31,08:07:00,"ON","No",0,"Yes","KW","No",NA,NA
"71","May_24_2023_144714_1287",2023-05-31,08:15:00,"ON","No",0,"Yes","KW","No",NA,NA
"72","May_24_2023_144714_1288",2023-05-31,08:24:00,"ON","No",0,"Yes","KW","No",NA,NA
"73","May_24_2023_144714_1289",2023-05-31,08:32:00,"ON","No",0,"Yes","KW","No",NA,NA
"74","May_24_2023_144714_1290",2023-05-31,08:40:00,"ON","No",0,"Yes","KW","No",NA,NA
"75","May_24_2023_144714_1291",2023-05-31,08:48:00,"ON","No",0,"Yes","KW","No",NA,NA
"76","May_24_2023_144714_1292",2023-05-31,08:56:00,"ON","No",0,"Yes","KW","No",NA,NA
"77","May_24_2023_144714_1293",2023-05-31,09:03:00,"ON","No",0,"Yes","KW","No",NA,NA
"78","May_24_2023_144714_1294",2023-05-31,09:11:00,"ON","No",0,"Yes","KW","No",NA,NA
"79","May_24_2023_144714_1295",2023-05-31,09:19:00,"ON","No",0,"Yes","KW","No",NA,NA
"80","May_24_2023_144714_1296",2023-05-31,09:27:00,"ON","No",0,"Yes","KW","No",NA,NA
"81","May_24_2023_144714_1297",2023-05-31,09:35:00,"ON","No",0,"Yes","KW","No",NA,NA
"82","May_24_2023_144714_1298",2023-05-31,09:44:00,"ON","No",0,"Yes","KW","No",NA,NA
"83","May_24_2023_144714_1299",2023-05-31,09:52:00,"ON","No",0,"No","KW","No",NA,NA
"84","May_24_2023_144714_1300",2023-05-31,09:59:00,"ON","No",0,"No","KW","No",NA,NA
"85","May_24_2023_144714_2264",2023-06-05,15:06:00,"ON","no",0,"yes","MS",NA,NA,NA
"86","May_24_2023_144714_2265",2023-06-05,15:12:00,"ON","no",0,"no","MS",NA,NA,NA
"87","May_24_2023_144714_2266",2023-06-05,15:19:00,"ON","no",0,"yes","MS",NA,NA,NA
"88","May_24_2023_144714_2267",2023-06-05,15:26:00,"ON","no",0,"yes","MS",NA,NA,NA
"89","May_24_2023_144714_2268",2023-06-05,15:33:00,"ON","no",0,"yes","MS",NA,NA,NA
"90","May_24_2023_144714_2269",2023-06-05,15:39:00,"ON","no",0,"no","MS",NA,NA,NA
"91","May_24_2023_144714_2270",2023-06-05,15:46:00,"ON","no",0,"no","MS",NA,NA,NA
"92","May_24_2023_144714_2271",2023-06-05,15:53:00,"ON","no",0,"no","MS",NA,NA,NA
"93","May_24_2023_144714_2272",2023-06-05,16:00:00,"ON","no",0,"no","MS",NA,NA,NA
"94","May_24_2023_144714_2273",2023-06-05,16:07:00,"ON","no",0,"no","MS",NA,NA,NA
"95","May_24_2023_144714_2274",2023-06-05,16:13:00,"ON","no",0,"yes","MS",NA,NA,NA
"96","May_24_2023_144714_2275",2023-06-05,16:20:00,"ON","no",0,"yes","MS",NA,NA,NA
"97","May_24_2023_144714_2276",2023-06-05,16:26:00,"ON","no",0,"no","MS",NA,NA,NA
"98","May_24_2023_144714_2277",2023-06-05,16:33:00,"ON","no",0,"no","MS",NA,NA,NA
"99","May_24_2023_144714_2278",2023-06-05,16:39:00,"ON","yes",1,"no","MS",NA,NA,NA
"100","May_24_2023_144714_2279",2023-06-05,16:46:00,"ON","no",0,"no","MS",NA,NA,NA
"101","May_24_2023_144714_2280",2023-06-05,16:52:00,"ON","yes",1,"yes","MS","no",NA,NA
"102","May_24_2023_144714_2281",2023-06-05,16:59:00,"ON","no",0,"no","MS",NA,NA,NA
"103","May_24_2023_144714_2282",2023-06-05,17:05:00,"ON","no",0,"no","MS",NA,NA,NA
"104","May_24_2023_144714_2283",2023-06-05,17:12:00,"ON","no",0,"yes","MS",NA,NA,NA
"105","May_24_2023_144714_2284",2023-06-05,17:19:00,"ON","no",0,"no","MS",NA,NA,NA
"106","May_24_2023_144714_2285",2023-06-05,17:25:00,"ON","no",0,"yes","MS",NA,NA,NA
"107","May_24_2023_144714_2286",2023-06-05,17:31:00,"ON","no",0,"no","MS",NA,NA,NA
"108","May_24_2023_144714_2287",2023-06-05,17:38:00,"ON","no",0,"yes","MS",NA,NA,NA
"109","May_24_2023_144714_2288",2023-06-05,17:44:00,"ON","no",0,"yes","MS",NA,NA,NA
"110","May_24_2023_144714_2289",2023-06-05,17:51:00,"ON","no",0,"no","MS",NA,NA,NA
"111","May_24_2023_144714_2290",2023-06-05,17:57:00,"ON","no",0,"no","MS",NA,NA,NA
"112","May_24_2023_144714_2291",2023-06-05,18:04:00,"ON","yes",1,"yes","MS","no",NA,NA
"113","May_24_2023_144714_2292",2023-06-05,18:10:00,"ON","no",0,"yes","MS",NA,NA,NA
"114","May_24_2023_144714_2293",2023-06-05,18:17:00,"ON","no",0,"yes","MS",NA,NA,NA
"115","May_24_2023_144714_2294",2023-06-05,18:24:00,"ON","no",0,"yes","MS",NA,NA,NA
"116","May_24_2023_144714_2295",2023-06-05,18:31:00,"ON","yes",1,"yes","MS","no",NA,NA
"117","May_24_2023_144714_2296",2023-06-05,18:39:00,"ON","no",0,"yes","MS",NA,NA,NA
"118","May_24_2023_144714_2297",2023-06-05,18:46:00,"ON","no",0,"yes","MS",NA,NA,NA
"119","May_24_2023_144714_2298",2023-06-05,18:54:00,"ON","yes",1,"yes","MS","no",NA,NA
"120","May_24_2023_144714_2299",2023-06-05,19:02:00,"ON","yes",1,"yes","MS","no",NA,NA
"121","May_24_2023_144714_2300",2023-06-05,19:10:00,"ON","no",0,"yes","MS",NA,NA,NA
"122","May_24_2023_144714_2301",2023-06-05,19:18:00,"ON","no",0,"yes","MS",NA,NA,NA
"123","May_24_2023_144714_2302",2023-06-05,19:26:00,"ON","no",0,"yes","MS",NA,NA,NA
"124","May_24_2023_144714_2303",2023-06-05,19:34:00,"ON","no",0,"yes","MS",NA,NA,NA
"125","May_24_2023_144714_2304",2023-06-05,19:42:00,"ON","no",0,"yes","MS",NA,NA,NA
"126","May_24_2023_144714_2305",2023-06-05,19:51:00,"ON","no",0,"yes","MS",NA,NA,NA
"127","May_24_2023_144714_2306",2023-06-05,19:59:00,"ON","no",0,"yes","MS",NA,NA,NA
"128","May_24_2023_144714_2307",2023-06-05,20:08:00,"ON","no",0,"no","MS",NA,NA,NA
"129","May_24_2023_144714_2308",2023-06-05,20:16:00,"ON","no",0,"yes","MS",NA,NA,NA
"130","May_24_2023_144714_2309",2023-06-05,20:25:00,"ON","no",0,"yes","MS",NA,NA,NA
"131","May_24_2023_144714_2310",2023-06-05,20:33:00,"ON","no",0,"yes","MS",NA,NA,NA
"132","May_24_2023_144714_2311",2023-06-05,20:42:00,"ON","no",0,"yes","MS",NA,NA,NA
"133","May_24_2023_144714_2312",2023-06-05,20:50:00,"ON","no",0,"yes","MS",NA,NA,NA
"134","May_24_2023_144714_2313",2023-06-05,20:59:00,"ON","no",0,"no","MS",NA,NA,NA
"135","May_24_2023_144714_2373",2023-06-06,05:05:00,"ON","no",0,"yes","MS",NA,NA,NA
"136","May_24_2023_144714_2374",2023-06-06,05:13:00,"ON","no",0,"yes","MS",NA,NA,NA
"137","May_24_2023_144714_2375",2023-06-06,05:21:00,"ON","no",0,"yes","MS",NA,NA,NA
"138","May_24_2023_144714_2376",2023-06-06,05:29:00,"ON","no",0,"yes","MS",NA,NA,NA
"139","May_24_2023_144714_2377",2023-06-06,05:37:00,"ON","yes",1,"yes","MS","yes",NA,NA
"140","May_24_2023_144714_2378",2023-06-06,05:45:00,"ON","no",0,"no","MS",NA,NA,NA
"141","May_24_2023_144714_2379",2023-06-06,05:54:00,"ON","no",0,"no","MS",NA,NA,NA
"142","May_24_2023_144714_2380",2023-06-06,06:02:00,"ON","no",0,"yes","MS",NA,NA,NA
"143","May_24_2023_144714_2381",2023-06-06,06:11:00,"ON","no",0,"yes","MS",NA,NA,NA
"144","May_24_2023_144714_2382",2023-06-06,06:19:00,"ON","no",0,"yes","MS",NA,NA,NA
"145","May_24_2023_144714_2383",2023-06-06,06:27:00,"ON","no",0,"yes","MS",NA,NA,NA
"146","May_24_2023_144714_2384",2023-06-06,06:35:00,"ON","yes",1,"yes","MS","no",NA,NA
"147","May_24_2023_144714_2385",2023-06-06,06:42:00,"ON","no",0,"no","MS",NA,NA,NA
"148","May_24_2023_144714_2386",2023-06-06,06:49:00,"ON","no",0,"yes","MS",NA,NA,NA
