File,Foraging (Y/N),Seal_Presence,Date,File_Timestamp,Time_In_1,Time_Out_1,Time_In_2,Time_Out_2,Time_In_3,Time_Out_3,Time_In_4,Time_Out_4,Time_In_5,Time_Out_5,Time_In_6,Time_Out_6,Cumulative_Time_m,Cumulative_Time_s,TAST_Status,Notes
May_23_2025_131113_1351,,N,5/31/25, 11:53:36 PM,,,,,,,,,,,,,0,0,ON,
May_23_2025_131113_1352,,N,5/31/25, 12:02:02 AM,,,,,,,,,,,,,0,0,ON,
May_23_2025_131113_1353,,N,5/31/25, 12:10:04 AM,,,,,,,,,,,,,0,0,ON,
May_23_2025_131113_1354,,N,5/31/25, 12:17:48 AM,,,,,,,,,,,,,0,0,ON,
May_23_2025_131113_1355,,N,5/31/25, 12:25:24 AM,,,,,,,,,,,,,0,0,ON,
May_23_2025_131113_1356,,N,5/31/25, 12:33:06 AM,,,,,,,,,,,,,0,0,ON,
May_23_2025_131113_1357,,N,5/31/25, 12:40:58 AM,,,,,,,,,,,,,0,0,ON,
May_23_2025_131113_1358,,N,5/31/25, 12:49:02 AM,,,,,,,,,,,,,0,0,ON,
May_23_2025_131113_1359,,N,5/31/25, 12:57:08 AM,,,,,,,,,,,,,0,0,ON,
May_23_2025_131113_1360,,N,5/31/25, 1:05:08 AM,,,,,,,,,,,,,0,0,ON,
May_23_2025_131113_1361,,N,5/31/25, 1:13:08 AM,,,,,,,,,,,,,0,0,ON,
May_23_2025_131113_1362,,N,5/31/25, 1:21:10 AM,,,,,,,,,,,,,0,0,ON,
May_23_2025_131113_1363,,N,5/31/25, 1:29:08 AM,,,,,,,,,,,,,0,0,ON,
May_23_2025_131113_1364,,N,5/31/25, 1:37:04 AM,,,,,,,,,,,,,0,0,ON,
May_23_2025_131113_1365,,N,5/31/25, 1:45:04 AM,,,,,,,,,,,,,0,0,ON,
May_23_2025_131113_1366,,N,5/31/25, 1:53:04 AM,,,,,,,,,,,,,0,0,ON,
May_23_2025_131113_1367,,N,5/31/25, 2:01:04 AM,,,,,,,,,,,,,0,0,ON,
May_23_2025_131113_1368,,N,5/31/25, 2:09:08 AM,,,,,,,,,,,,,0,0,ON,
