"Region_ID","Region_name","Region_class","Process_ID","Height_mean","Ping_S","Ping_E","Dist_M","Date_M","Time_M","Lat_M","Lon_M","Standard_deviation","Num_targets","TS_mean","Target_range_mean","Speed_2D_mean_unsmoothed","Speed_4D_mean_unsmoothed","Speed_2D_max_unsmoothed","Speed_4D_max_unsmoothed","Direction_horizontal","Direction_vertical","Fish_track_change_in_range","Time_in_beam","Tortuosity_2D","Tortuosity_3D","Distance_2D_unsmoothed","Distance_3D_unsmoothed","Thickness_mean","Exclude_below_line_range_mean","Target_depth_mean","Target_depth_max","Target_depth_min","Fish_track_change_in_depth","Region_bottom_altitude_min","Region_bottom_altitude_max","Region_bottom_altitude_mean","Region_top_altitude_min","Region_top_altitude_max","Region_top_altitude_mean"
2,"Region 2","Unclassified regions",340,0.342239,3365,3410,0,20230622," 04:36:47.8710",999,999,20646533219.3329,44,108.19351,24.328291,0.363693,1.2532,0.99258,4.078635,0,90,-1.869745,5.141,1,1.068698,1.869745,6.4429,0.342239,-9999,19.400979,21.778341,16.79734,-4.981001,-9999,-9999,-9999,-9999,-9999,-9999
7,"Region 7","Unclassified regions",341,0.388023,1047,1186,0,20230622," 04:40:51.2190",999,999,9313386.31543498,65,72.142672,7.025719,0.717804,0.9924,2.936056,6.221987,0,-90,10.943938,16.078,1.054544,1.244714,11.540859,15.9551,0.388023,-9999,6.06747,10.00745,1.392992,8.614458,-9999,-9999,-9999,-9999,-9999,-9999
8,"Region 8","Unclassified regions",342,0.314147,389,476,0,20230622," 04:48:11.9330",999,999,29189841180.831,69,108.592876,24.647033,0.345523,1.6584,1.021796,5.571927,0,90,-3.046362,10.197,1.156559,1.045255,3.523298,16.9106,0.314147,-9999,21.759215,26.32034,16.705697,-9.614643,-9999,-9999,-9999,-9999,-9999,-9999
16,"Region 16","Unclassified regions",343,0.244381,2348,2829,0,20230622," 05:37:16.7920",999,999,15509792447.8087,58,101.173855,20.850548,0.133386,0.9389,0.738099,4.773899,0,-90,-3.724336,55.813,1.998932,5.517561,7.444695,52.405,0.244381,-9999,19.6364,20.82444,17.018351,0.540263,-9999,-9999,-9999,-9999,-9999,-9999
17,"Region 17","Unclassified regions",344,0.264016,2829,3020,0,20230622," 05:55:59.9630",999,999,279995350.882234,68,88.527606,16.137152,0.167356,2.3282,0.422145,8.07656,0,90,-1.745389,22.027,2.112055,23.520907,3.686357,51.2823,0.264016,-9999,12.796064,14.614161,11.88837,-0.770449,-9999,-9999,-9999,-9999,-9999,-9999
6,"Region 6","Unclassified regions",180,0.409588,2696,2926,0,20230530," 09:17:30.7990",999,999,16002453189.2585,193,102.015464,16.231028,0.530061,5.5028,1.223631,250.309128,0,90,-2.892778,25.043,4.588782,4.773738,13.274325,137.8071,0.409588,-9999,14.201721,19.099998,12.565156,-2.47888,-9999,-9999,-9999,-9999,-9999,-9999
10,"Region 10","Unclassified regions",181,0.371404,2836,3116,0,20230530," 09:39:53.2570",999,999,41865982706.8256,183,104.403654,19.189733,0.598576,12.6416,4.063329,195.432177,0,90,-15.268982,31.014,1.215814,23.244805,18.564247,392.0673,0.371404,-9999,16.403293,22.816854,7.700781,-15.116073,-9999,-9999,-9999,-9999,-9999,-9999
27,"Region 27","Unclassified regions",182,0.432533,1502,1824,0,20230530," 10:29:59.0230",999,999,207218342.580749,188,83.094813,9.010619,0.458423,3.9736,5.394672,112.237468,0,-90,8.62617,35.138,1.86735,15.670491,16.108082,139.6253,0.432533,-9999,8.000266,11.205304,1.514253,8.154515,-9999,-9999,-9999,-9999,-9999,-9999
30,"Region 30","Unclassified regions",183,0.352048,3183,3294,0,20230530," 17:57:03.7970",999,999,1982613256.80798,80,93.512065,11.832645,0.336431,2.3692,1.820907,20.716944,0,90,-3.301679,12.074,1.230303,1.90137,4.062065,28.6054,0.352048,-9999,9.549719,10.712653,8.286474,-0.816872,-9999,-9999,-9999,-9999,-9999,-9999
1,"Region 1","Unclassified regions",184,0.455306,188,207,0,20230531," 07:04:34.0100",999,999,9624451.60159165,17,77.275718,5.571647,1.004387,1.0171,1.597863,1.623923,0,-90,2.144366,2.135,1,1.002731,2.144366,2.1716,0.455306,-9999,5.407339,6.605039,4.449687,2.155352,-9999,-9999,-9999,-9999,-9999,-9999
3,"Region 3","Unclassified regions",184,0.478822,392,431,0,20230531," 07:04:58.6460",999,999,235324074.707767,24,84.714438,5.94996,0.283486,1.76,1.304525,7.032522,0,90,-1.223863,4.556,1.055314,2.598497,1.291561,8.0185,0.478822,-9999,5.542917,6.416132,4.58448,-1.235721,-9999,-9999,-9999,-9999,-9999,-9999
6,"Region 6","Unclassified regions",184,0.531528,2596,2671,0,20230531," 07:09:15.4080",999,999,1639252465.31303,67,93.271101,16.716786,1.06759,8.7416,6.477178,132.504557,0,90,-1.404209,8.613,6.548278,3.811502,9.195149,75.2915,0.531528,-9999,14.854273,19.177366,12.589382,-6.517798,-9999,-9999,-9999,-9999,-9999,-9999
8,"Region 8","Unclassified regions",185,0.558209,110,138,0,20230531," 07:12:31.4500",999,999,561593431.189116,29,87.514065,10.245166,0.480244,4.4135,2.389517,74.312368,0,-90,0.774841,3.209,1.988926,1.150536,1.541102,14.163,0.558209,-9999,8.223765,10.574289,6.79437,2.60676,-9999,-9999,-9999,-9999,-9999,-9999
9,"Region 9","Unclassified regions",185,0.282422,227,296,0,20230531," 07:12:47.4310",999,999,110914285.427996,46,83.211531,12.579782,0.282733,2.3844,0.821662,37.40592,0,90,-1.326669,7.93,1.689999,2.536051,2.242069,18.9085,0.282422,-9999,12.072388,13.029371,10.897934,-1.059513,-9999,-9999,-9999,-9999,-9999,-9999
10,"Region 10","Unclassified regions",185,0.506621,378,395,0,20230531," 07:13:01.8510",999,999,283939530.835542,18,85.273558,8.029827,0.712386,2.376,3.743187,14.865182,0,90,-1.013424,1.894,1.331387,3.737767,1.34926,4.5001,0.506621,-9999,8.002461,8.594792,7.465809,-1.049627,-9999,-9999,-9999,-9999,-9999,-9999
1,"Region 1","Unclassified regions",186,0.447764,2277,2298,0,20230531," 07:41:20.6820",999,999,12368566.7054701,19,73.859362,4.835385,0.854805,1.577,4.008623,5.93257,0,-90,1.467699,2.496,1.4537,2.295175,2.133593,3.9363,0.447764,-9999,4.117367,5.386916,3.0548,1.714624,-9999,-9999,-9999,-9999,-9999,-9999
8,"Region 8","Unclassified regions",187,0.335807,920,1192,0,20230531," 07:47:22.3600",999,999,1338518382.11701,134,89.078813,12.45035,0.630055,3.9618,4.194508,112.934229,0,-90,7.329891,31.223,2.683832,13.824117,19.672194,123.7006,0.335807,-9999,11.194839,16.384741,3.802145,7.446186,-9999,-9999,-9999,-9999,-9999,-9999
11,"Region 11","Unclassified regions",188,0.341342,311,436,0,20230531," 08:03:06.3530",999,999,359962106640.279,115,114.122089,23.57401,0.732642,3.0001,3.250815,39.139221,0,-90,10.462448,14.348,1.004731,2.744505,10.511947,43.0461,0.341342,-9999,20.132051,27.302847,12.409499,14.893348,-9999,-9999,-9999,-9999,-9999,-9999
12,"Region 12","Unclassified regions",188,0.530326,645,708,0,20230531," 08:03:41.6270",999,999,212683781.77393,56,84.984426,13.325518,1.175212,3.4305,6.488388,58.103574,0,90,-7.671268,7.314,1.12048,2.625424,8.595503,25.091,0.530326,-9999,13.067443,17.299268,8.376656,-8.922612,-9999,-9999,-9999,-9999,-9999,-9999
13,"Region 13","Unclassified regions",189,0.238265,1476,1534,0,20230531," 11:54:19.7330",999,999,241828165378.009,35,118.2555,28.183946,0.216416,1.0704,0.517945,6.169952,0,-90,-1.355013,6.734,1.075521,2.047248,1.457344,7.2083,0.238265,-9999,23.174089,23.5903,22.738524,0.710376,-9999,-9999,-9999,-9999,-9999,-9999
15,"Region 15","Unclassified regions",189,0.340898,1709,1751,0,20230531," 11:54:45.8320",999,999,3225010669.72887,35,96.035439,17.631607,0.299294,0.9239,1.326781,3.829922,0,-90,0.126711,4.902,11.578618,1.264065,1.46714,4.5292,0.340898,-9999,17.299124,17.6918,16.587921,0.774557,-9999,-9999,-9999,-9999,-9999,-9999
20,"Region 20","Unclassified regions",189,0.351783,3599,3653,0,20230531," 11:58:26.3410",999,999,61362324.7090129,38,79.506667,9.243643,0.366327,4.9241,1.869331,44.27074,0,90,-2.135323,6.217,1.066564,7.303814,2.277457,30.6134,0.351783,-9999,8.976575,10.254157,6.791746,-2.165276,-9999,-9999,-9999,-9999,-9999,-9999
26,"Region 26","Unclassified regions",190,0.598143,3257,3381,0,20230531," 19:00:23.6730",999,999,13971276739.3124,119,101.529315,18.205626,1.016789,1.4385,2.28939,14.35022,0,90,-14.573643,14.333,1,1.141847,14.573643,20.6173,0.598143,-9999,16.695551,25.451873,7.808067,-17.643806,-9999,-9999,-9999,-9999,-9999,-9999
27,"Region 27","Unclassified regions",191,0.428994,3638,3698,0,20230531," 20:27:27.9630",999,999,49396266340.1524,57,107.174577,21.200491,0.508454,6.6296,4.299875,121.120481,0,-90,0.897949,6.949,3.934797,30.223717,3.533248,46.0694,0.428994,-9999,17.326467,21.791838,15.15377,0.602337,-9999,-9999,-9999,-9999,-9999,-9999
29,"Region 29","Unclassified regions",192,0.25081,2534,2894,0,20230601," 04:35:25.6610",999,999,4613625919.24314,78,96.313357,16.748433,0.199468,0.6821,1.619464,27.780303,0,90,-1.753683,41.53,4.723715,16.149713,8.283901,28.3274,0.25081,-9999,13.507799,17.842715,9.878259,-1.177798,-9999,-9999,-9999,-9999,-9999,-9999
31,"Region 31","Unclassified regions",193,0.334521,799,1084,0,20230601," 04:40:35.8270",999,999,3742608931.79501,192,95.1688,15.649912,0.404553,1.0727,2.679721,13.640332,0,90,-3.602649,33.158,3.723421,1.822132,13.414179,35.5692,0.334521,-9999,14.288672,19.100745,9.767642,-2.11101,-9999,-9999,-9999,-9999,-9999,-9999
32,"Region 32","Unclassified regions",193,0.572982,2202,2243,0,20230601," 04:43:02.7920",999,999,1133430237.51927,42,89.397918,15.208204,1.082411,1.4522,2.588573,3.084047,0,90,-4.988094,4.864,1.055483,1.414903,5.264849,7.0637,0.572982,-9999,11.353151,12.843702,9.208099,-3.314502,-9999,-9999,-9999,-9999,-9999,-9999
34,"Region 34","Unclassified regions",193,0.294341,2723,2858,0,20230601," 04:44:08.5040",999,999,17580185819.4191,89,102.919552,20.483304,0.354245,1.8196,1.534102,15.934628,0,-90,4.76231,15.571,1.15825,2.254933,5.515944,28.3337,0.294341,-9999,16.524872,22.69547,13.923751,8.75734,-9999,-9999,-9999,-9999,-9999,-9999
40,"Region 40","Unclassified regions",193,0.328645,3616,3823,0,20230601," 04:45:55.1860",999,999,1227692104.79284,87,90.477986,14.216829,0.359098,0.6857,1.186269,2.825755,0,90,1.887652,23.84,4.535211,2.142902,8.560898,16.347,0.328645,-9999,12.19764,15.168625,9.872985,-1.025813,-9999,-9999,-9999,-9999,-9999,-9999
47,"Region 47","Unclassified regions",193,0.277071,3031,3189,0,20230601," 04:44:45.3450",999,999,478307314.251173,27,88.005389,15.266326,0.135132,0.686,0.814186,12.253504,0,90,-2.001035,18.123,1.223869,5.637836,2.449003,12.4331,0.277071,-9999,14.723074,15.839151,13.391442,-1.923377,-9999,-9999,-9999,-9999,-9999,-9999
48,"Region 48","Unclassified regions",194,0.165487,733,735,0,20230601," 05:13:46.9960",999,999,11828215332.392,3,114.321819,27.135401,0.740733,0.7868,0.776028,0.864164,0,90,-0.155554,0.21,1,1.045819,0.155554,0.1652,0.165487,-9999,25.794514,25.866534,25.727209,-0.139325,-9999,-9999,-9999,-9999,-9999,-9999
55,"Region 55","Unclassified regions",194,0.337198,745,949,0,20230601," 05:13:59.9430",999,999,99969510783.563,112,109.273167,23.142554,0.493812,1.2003,2.464627,17.174898,0,90,-5.427362,23.372,2.126516,2.212343,11.541374,28.0537,0.337198,-9999,22.657905,25.444071,20.330356,-4.607349,-9999,-9999,-9999,-9999,-9999,-9999
60,"Region 60","Unclassified regions",194,0.266194,1748,1995,0,20230601," 05:15:57.7790",999,999,397835397100.81,109,114.255721,25.580751,0.447914,4.0818,1.789093,96.268868,0,90,5.2686,28.384,2.413086,6.205738,12.713585,115.8572,0.266194,-9999,23.566413,26.138573,17.064667,-2.175625,-9999,-9999,-9999,-9999,-9999,-9999
67,"Region 67","Unclassified regions",195,0.386378,2309,2571,0,20230601," 05:33:45.9020",999,999,133790265655.414,220,112.322403,23.23753,0.475939,1.4834,4.161599,15.028959,0,90,-5.397657,30.064,2.650898,1.304001,14.308636,44.5978,0.386378,-9999,20.829336,25.482368,16.451813,-8.437158,-9999,-9999,-9999,-9999,-9999,-9999
