Region_ID,Region_name,Region_class,Process_ID,TAST_Status,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_2D_mean_unsmoothed,Speed_4D_mean_unsmoothed,Speed_2D_max_unsmoothed,Speed_4D_max_unsmoothed,Direction_horizontal,Direction_vertical,Fish_track_change_in_range,Time_in_beam,Tortuosity_2D,Tortuosity_3D,Distance_2D_unsmoothed,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
1,Region 1,Unclassified regions,184,ON,0.455306,188,207,0,20230531, 07:04:34.0100,999,999,9624451.602,17,77.275718,5.571647,1.004387,1.0171,1.597863,1.623923,0,-90,2.144366,2.135,1,1.002731,2.144366,2.1716,0.455306,-9999,5.407339,6.605039,4.449687,2.155352,-9999,-9999,-9999,-9999,-9999,-9999
3,Region 3,Unclassified regions,184,ON,0.478822,392,431,0,20230531, 07:04:58.6460,999,999,235324074.7,24,84.714438,5.94996,0.283486,1.76,1.304525,7.032522,0,90,-1.223863,4.556,1.055314,2.598497,1.291561,8.0185,0.478822,-9999,5.542917,6.416132,4.58448,-1.235721,-9999,-9999,-9999,-9999,-9999,-9999
6,Region 6,Unclassified regions,184,ON,0.531528,2596,2671,0,20230531, 07:09:15.4080,999,999,1639252465,67,93.271101,16.716786,1.06759,8.7416,6.477178,132.504557,0,90,-1.404209,8.613,6.548278,3.811502,9.195149,75.2915,0.531528,-9999,14.854273,19.177366,12.589382,-6.517798,-9999,-9999,-9999,-9999,-9999,-9999
8,Region 8,Unclassified regions,185,ON,0.558209,110,138,0,20230531, 07:12:31.4500,999,999,561593431.2,29,87.514065,10.245166,0.480244,4.4135,2.389517,74.312368,0,-90,0.774841,3.209,1.988926,1.150536,1.541102,14.163,0.558209,-9999,8.223765,10.574289,6.79437,2.60676,-9999,-9999,-9999,-9999,-9999,-9999
9,Region 9,Unclassified regions,185,ON,0.282422,227,296,0,20230531, 07:12:47.4310,999,999,110914285.4,46,83.211531,12.579782,0.282733,2.3844,0.821662,37.40592,0,90,-1.326669,7.93,1.689999,2.536051,2.242069,18.9085,0.282422,-9999,12.072388,13.029371,10.897934,-1.059513,-9999,-9999,-9999,-9999,-9999,-9999
10,Region 10,Unclassified regions,185,ON,0.506621,378,395,0,20230531, 07:13:01.8510,999,999,283939530.8,18,85.273558,8.029827,0.712386,2.376,3.743187,14.865182,0,90,-1.013424,1.894,1.331387,3.737767,1.34926,4.5001,0.506621,-9999,8.002461,8.594792,7.465809,-1.049627,-9999,-9999,-9999,-9999,-9999,-9999
1,Region 1,Unclassified regions,186,ON,0.447764,2277,2298,0,20230531, 07:41:20.6820,999,999,12368566.71,19,73.859362,4.835385,0.854805,1.577,4.008623,5.93257,0,-90,1.467699,2.496,1.4537,2.295175,2.133593,3.9363,0.447764,-9999,4.117367,5.386916,3.0548,1.714624,-9999,-9999,-9999,-9999,-9999,-9999
8,Region 8,Unclassified regions,187,ON,0.335807,920,1192,0,20230531, 07:47:22.3600,999,999,1338518382,134,89.078813,12.45035,0.630055,3.9618,4.194508,112.934229,0,-90,7.329891,31.223,2.683832,13.824117,19.672194,123.7006,0.335807,-9999,11.194839,16.384741,3.802145,7.446186,-9999,-9999,-9999,-9999,-9999,-9999
11,Region 11,Unclassified regions,188,ON,0.341342,311,436,0,20230531, 08:03:06.3530,999,999,3.59962E+11,115,114.122089,23.57401,0.732642,3.0001,3.250815,39.139221,0,-90,10.462448,14.348,1.004731,2.744505,10.511947,43.0461,0.341342,-9999,20.132051,27.302847,12.409499,14.893348,-9999,-9999,-9999,-9999,-9999,-9999
12,Region 12,Unclassified regions,188,ON,0.530326,645,708,0,20230531, 08:03:41.6270,999,999,212683781.8,56,84.984426,13.325518,1.175212,3.4305,6.488388,58.103574,0,90,-7.671268,7.314,1.12048,2.625424,8.595503,25.091,0.530326,-9999,13.067443,17.299268,8.376656,-8.922612,-9999,-9999,-9999,-9999,-9999,-9999
13,Region 13,Unclassified regions,189,ON,0.238265,1476,1534,0,20230531, 11:54:19.7330,999,999,2.41828E+11,35,118.2555,28.183946,0.216416,1.0704,0.517945,6.169952,0,-90,-1.355013,6.734,1.075521,2.047248,1.457344,7.2083,0.238265,-9999,23.174089,23.5903,22.738524,0.710376,-9999,-9999,-9999,-9999,-9999,-9999
15,Region 15,Unclassified regions,189,ON,0.340898,1709,1751,0,20230531, 11:54:45.8320,999,999,3225010670,35,96.035439,17.631607,0.299294,0.9239,1.326781,3.829922,0,-90,0.126711,4.902,11.578618,1.264065,1.46714,4.5292,0.340898,-9999,17.299124,17.6918,16.587921,0.774557,-9999,-9999,-9999,-9999,-9999,-9999
20,Region 20,Unclassified regions,189,ON,0.351783,3599,3653,0,20230531, 11:58:26.3410,999,999,61362324.71,38,79.506667,9.243643,0.366327,4.9241,1.869331,44.27074,0,90,-2.135323,6.217,1.066564,7.303814,2.277457,30.6134,0.351783,-9999,8.976575,10.254157,6.791746,-2.165276,-9999,-9999,-9999,-9999,-9999,-9999
6,Region 6,Unclassified regions,218,ON,0.308411,2029,2136,0,20230606, 04:11:11.3280,999,999,365487987.3,68,86.063954,12.042036,0.307341,5.0546,2.023711,69.568628,0,90,-2.573524,11.723,1.400009,3.99046,3.602958,59.2556,0.308411,-9999,11.088902,12.411604,8.92369,-1.990321,-9999,-9999,-9999,-9999,-9999,-9999
9,Region 9,Unclassified regions,219,ON,0.495706,451,554,0,20230606, 05:46:01.1180,999,999,1824164202,101,95.053851,18.005844,0.700542,2.4467,2.578593,35.958706,0,90,-5.259946,11.17,1.487668,1.043251,7.825053,27.3299,0.495706,-9999,16.315752,18.614098,12.95213,-4.920213,-9999,-9999,-9999,-9999,-9999,-9999
2,Region 2,Unclassified regions,220,ON,0.238387,1134,1206,0,20230606, 06:51:59.4880,999,999,1267022278,21,96.529118,17.212595,0.295337,0.439,0.484882,1.363906,0,-90,0.940817,7.751,2.433158,3.314937,2.289156,3.4026,0.238387,-9999,12.242439,12.868893,11.849716,0.950675,-9999,-9999,-9999,-9999,-9999,-9999
3,Region 3,Unclassified regions,221,ON,0.280384,682,874,0,20230606, 07:16:48.5370,999,999,8078548065,79,97.930152,18.396556,0.219723,1.1097,5.283328,6.762833,0,-90,2.617433,20.839,1.749347,2.240457,4.578797,23.1244,0.280384,-9999,15.208379,19.114759,11.803209,7.30597,-9999,-9999,-9999,-9999,-9999,-9999
15,Region 15,Unclassified regions,221,ON,0.346802,1130,1296,0,20230606, 07:17:35.8040,999,999,2918446712,109,93.638201,15.561933,0.394343,1.4789,2.265125,60.569167,0,90,-0.813008,18.094,8.776343,3.460119,7.135238,26.7587,0.346802,-9999,15.353833,17.393358,13.773523,-1.480527,-9999,-9999,-9999,-9999,-9999,-9999
18,Region 18,Unclassified regions,222,ON,0.370167,388,489,0,20230606, 08:22:54.4050,999,999,424321405.8,86,86.130179,11.933547,0.485895,5.1224,3.59575,97.442579,0,90,-3.990807,10.966,1.335149,11.449779,5.328321,56.1724,0.370167,-9999,9.65823,12.050721,7.051664,-4.897629,-9999,-9999,-9999,-9999,-9999,-9999
19,Region 19,Unclassified regions,222,ON,0.282967,4600,4684,0,20230606, 08:30:31.6200,999,999,1219675948,56,91.883151,14.114699,0.293048,1.4488,2.241152,69.818747,0,-90,0.480938,9.119,5.556432,1.810948,2.672301,13.2113,0.282967,-9999,11.309582,14.825928,10.618824,3.153984,-9999,-9999,-9999,-9999,-9999,-9999
21,Region 21,Unclassified regions,223,ON,0.479391,88,211,0,20230606, 09:44:58.2290,999,999,239530815.9,96,83.819874,4.189653,0.293492,1.4696,1.780054,29.811594,0,-90,-0.259337,13.439,15.208923,3.454196,3.944234,19.7499,0.479391,-9999,3.642621,4.318693,3.102147,0.451404,-9999,-9999,-9999,-9999,-9999,-9999
23,Region 23,Unclassified regions,224,ON,0.348653,4080,4146,0,20230606, 10:32:57.9800,999,999,1308041637,61,93.58886,17.706889,0.26197,5.1262,1.194984,199.646281,0,-90,0.974846,7.187,1.931362,2.53447,1.88278,36.8422,0.348653,-9999,16.231564,18.263568,13.143529,5.002036,-9999,-9999,-9999,-9999,-9999,-9999
