File,Foraging (Y/N),Seal_Presence,Date,File_Timestamp,Time_In_1,Time_Out_1,Time_In_2,Time_Out_2,Time_In_3,Time_Out_3,Time_In_4,Time_Out_4,Time_In_5,Time_Out_5,Time_In_6,Time_Out_6,Cumulative_Time_m,Cumulative_Time_s,TAST_Status,Notes,,,,,
May_24_2023_144714_1040,NA,N,5/30/2023,12:02:00 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,,,,,
May_24_2023_144714_1041,NA,N,5/30/2023,12:09:00 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,,,,,
May_24_2023_144714_1042,NA,N,5/30/2023,12:16:00 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,,,,,
May_24_2023_144714_1043,NA,N,5/30/2023,12:24:00 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,,,,,
May_24_2023_144714_1044,NA,N,5/30/2023,12:31:00 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,,,,,
May_24_2023_144714_1045,NA,N,5/30/2023,12:38:00 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,,,,,
May_24_2023_144714_1046,NA,N,5/30/2023,12:46:00 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,,,,,
May_24_2023_144714_1047,NA,N,5/30/2023,12:54:00 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,,,,,
May_24_2023_144714_1048,NA,N,5/30/2023,1:02:00 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,,,,,
May_24_2023_144714_1049,NA,N,5/30/2023,1:10:00 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,,,,,
May_24_2023_144714_1050,NA,N,5/30/2023,1:18:00 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,,,,,
May_24_2023_144714_1051,NA,N,5/30/2023,1:26:00 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,,,,,
May_24_2023_144714_1052,NA,N,5/30/2023,1:34:00 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,,,,,
May_24_2023_144714_1053,NA,N,5/30/2023,1:42:00 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,,,,,
May_24_2023_144714_1054,NA,N,5/30/2023,1:50:00 AM,,,,,,,,,,,,,00:00.0,0.00,OFF,,,,,,
