Region_ID,Region_name,Region_class,TAST_Status,Process_ID,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_2D_mean_unsmoothed,Speed_4D_mean_unsmoothed,Speed_2D_max_unsmoothed,Speed_4D_max_unsmoothed,Direction_horizontal,Direction_vertical,Fish_track_change_in_range,Time_in_beam,Tortuosity_2D,Tortuosity_3D,Distance_2D_unsmoothed,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
72,Region 72,Unclassified regions,OFF,121,0.337568,2346,2450,0,6/21/2023, 23:57:28.6970,999,999,6176560835,83,101.391971,21.375746,0.3948,1.2768,1.160119,3.934768,0,90,4.337608,12.072,1.098768,1.198589,4.766026,15.413,0.337568,-9999,19.255532,19.682388,18.540637,-0.838233,-9999,-9999,-9999,-9999,-9999,-9999
73,Region 73,Unclassified regions,OFF,120,0.414339,3207,3227,0,6/22/2023, 00:23:00.0830,999,999,98941083.84,21,82.356199,7.411182,0.34797,0.5537,0.805529,1.196749,0,90,-0.797199,2.291,1,1.096229,0.797199,1.2686,0.414339,-9999,5.38942,5.974295,4.819266,-1.155029,-9999,-9999,-9999,-9999,-9999,-9999
74,Region 74,Unclassified regions,OFF,120,0.434135,3259,3319,0,6/22/2023, 00:23:08.3970,999,999,125113642.6,58,81.390657,5.636918,0.336496,0.9154,3.137265,5.364566,0,-90,0.368175,6.952,6.353826,1.661757,2.339317,6.3636,0.434135,-9999,5.051762,6.239637,3.921112,2.015622,-9999,-9999,-9999,-9999,-9999,-9999
16,Region 16,Unclassified regions,OFF,109,0.448912,2362,2379,0,6/22/2023, 01:50:40.3150,999,999,38751904.81,18,76.805776,6.615264,0.477175,11.0318,2.78788,48.920754,0,-90,0.321034,1.976,2.937067,7.263239,0.942898,21.7988,0.448912,-9999,6.337368,6.537182,5.4213,0.074651,-9999,-9999,-9999,-9999,-9999,-9999
75,Region 75,Unclassified regions,OFF,119,0.416935,2598,2620,0,6/22/2023, 01:59:09.8640,999,999,122026158.4,20,84.252676,11.525084,0.488074,1.3857,0.982415,10.242708,0,90,-1.1379,2.582,1.107485,1.186255,1.260207,3.578,0.416935,-9999,11.102931,11.840991,9.930452,-1.910539,-9999,-9999,-9999,-9999,-9999,-9999
76,Region 76,Unclassified regions,OFF,119,0.35928,2797,2832,0,6/22/2023, 01:59:33.7110,999,999,74181544.26,29,81.687484,10.111878,0.135926,0.6645,0.606971,2.266418,0,90,0.006502,4.081,85.311768,1.065805,0.554713,2.7117,0.35928,-9999,8.049891,8.629677,7.082146,-1.547531,-9999,-9999,-9999,-9999,-9999,-9999
4,Region 4,Unclassified regions,OFF,171,0.44375,3793,3821,0,6/21/2023, 22:26:43.7190,999,999,8714710.297,24,76.60267,8.336203,0.896138,1.6233,1.987059,7.936327,0,-90,2.877499,3.211,1,1.342134,2.877499,5.2124,0.44375,-9999,7.423418,9.287412,5.545806,3.741606,-9999,-9999,-9999,-9999,-9999,-9999
2,Region 2,Unclassified regions,OFF,118,0.364104,670,799,0,6/22/2023, 02:41:47.7620,999,999,377337268.7,90,86.612807,12.724075,0.451188,2.0189,1.316565,52.103771,0,-90,1.90527,14.882,3.524214,4.74509,6.714581,30.0449,0.364104,-9999,10.792859,13.618563,7.594759,4.288009,-9999,-9999,-9999,-9999,-9999,-9999
3,Region 3,Unclassified regions,OFF,117,0.502992,3348,3403,0,6/22/2023, 02:54:42.3910,999,999,21483104.65,55,75.301115,9.249097,0.915373,2.4832,1.757921,46.870289,0,90,-5.889511,6.434,1,2.699775,5.889511,15.9767,0.502992,-9999,9.136143,12.423117,5.652467,-5.779828,-9999,-9999,-9999,-9999,-9999,-9999
4,Region 4,Unclassified regions,OFF,116,0.400603,150,238,0,6/22/2023, 03:12:46.5760,999,999,11171218.03,67,74.088119,8.620036,0.625246,0.9253,1.602204,7.169454,0,-90,6.355623,10.165,1,1.110135,6.355623,9.4057,0.400603,-9999,7.864483,12.214584,4.147973,8.046516,-9999,-9999,-9999,-9999,-9999,-9999
5,Region 5,Unclassified regions,OFF,115,0.329949,2311,2361,0,6/22/2023, 03:25:10.8910,999,999,1417758514,42,96.001962,18.597425,0.349374,1.2349,1.922305,7.606791,0,-90,0.996313,5.809,2.037025,1.695343,2.029514,7.1738,0.329949,-9999,18.128287,19.138154,17.312016,1.826137,-9999,-9999,-9999,-9999,-9999,-9999
7,Region 7,Unclassified regions,OFF,115,0.250209,2448,2480,0,6/22/2023, 03:25:25.5780,999,999,15895233530,14,106.125994,24.39417,0.235509,1.0048,1.099213,2.232031,0,90,0.29205,3.692,2.977227,1.241021,0.869499,3.7098,0.250209,-9999,23.871962,24.15516,23.53637,-0.319411,-9999,-9999,-9999,-9999,-9999,-9999
8,Region 8,Unclassified regions,OFF,115,0.309199,2623,2658,0,6/22/2023, 03:25:46.0600,999,999,475881650.5,18,91.208598,17.992463,0.143514,0.7652,0.437471,1.375251,0,-90,0.520483,4.168,1.14925,1.051314,0.598165,3.1894,0.309199,-9999,17.547767,18.109811,16.932982,1.17683,-9999,-9999,-9999,-9999,-9999,-9999
71,Region 71,Unclassified regions,OFF,122,0.436735,1412,1439,0,6/21/2023, 23:04:16.7020,999,999,270511909.4,27,88.992703,16.115895,0.922766,1.7489,4.105068,6.161614,0,-90,2.406794,3.115,1.194293,1.208449,2.874417,5.4478,0.436735,-9999,12.790938,14.931269,10.700905,4.230364,-9999,-9999,-9999,-9999,-9999,-9999
5,Region 5,Unclassified regions,OFF,172,0.386716,2738,2767,0,6/21/2023, 23:15:08.2200,999,999,99659390.74,30,82.919239,9.18676,0.365807,1.7533,1.200735,4.079958,0,90,-0.228817,3.332,5.326835,1.012185,1.21887,5.8421,0.386716,-9999,7.747317,9.477428,6.54797,-2.929458,-9999,-9999,-9999,-9999,-9999,-9999
70,Region 70,Unclassified regions,OFF,123,0.441515,3161,3267,0,6/21/2023, 22:00:23.6540,999,999,1254432099,90,89.838525,14.278382,0.824836,1.5167,1.906192,6.272425,0,90,-10.045679,12.179,1,1.023139,10.045679,18.4724,0.441515,-9999,13.417843,19.335304,7.020773,-12.314532,-9999,-9999,-9999,-9999,-9999,-9999
16,Region 16,Unclassified regions,OFF,166,0.11163,739,782,0,5/30/2023, 11:53:58.2330,47.854321,-122.614846,1297552165,38,93.832318,14.815224,0.545835,3.7616,3.230803,27.673974,243.437343,-6.816203,1.45541,4.73,1.773931,3.396402,2.581797,17.7922,0.431305,-9999,3.790046,4.041495,3.419758,0.621737,-9999,-9999,-9999,-9999,-9999,-9999
18,Region 18,Unclassified regions,OFF,166,0.086361,465,514,0,5/30/2023, 11:53:28.4260,47.854321,-122.614846,734752176.1,36,93.910895,11.816319,0.381106,1.3085,2.680215,9.459432,262.738308,-1.934115,-0.331803,5.361,6.157612,9.539847,2.043112,7.0147,0.333673,-9999,2.537027,2.689099,2.449555,0.024817,-9999,-9999,-9999,-9999,-9999,-9999
10,Region 10,Unclassified regions,OFF,165,0.109095,3711,3729,0,5/30/2023, 12:22:23.6680,47.854321,-122.614846,48074654.41,10,81.242793,1.688519,0.330407,0.684,0.789311,1.498965,44.441856,10.814412,-0.334653,2.001,1.975611,3.379038,0.661145,1.3687,0.42151,-9999,0.428663,0.486673,0.374146,-0.075997,-9999,-9999,-9999,-9999,-9999,-9999
2,Region 2,Unclassified regions,OFF,168,0.35076,2984,3075,0,5/30/2023, 14:36:01.1660,999,999,983360044.6,69,93.443686,17.266448,0.342795,1.1013,2.659286,4.425693,0,-90,2.161751,9.89,1.568284,1.144308,3.390241,10.8923,0.35076,-9999,17.004065,18.043816,15.914659,2.000801,-9999,-9999,-9999,-9999,-9999,-9999
