Region_ID,Region_name,Region_class,TAST_Status,Process_ID,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_4D_mean_unsmoothed,Fish_track_change_in_range,Time_in_beam,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
72,Region 72,Unclassified regions,OFF,46,0.337568,2346,2450,0,6/21/2023, 23:57:28.6970,999,999,6176560835,83,101.391971,21.375746,1.2768,4.337608,12.072,15.413,0.337568,-9999,19.255532,19.682388,18.540637,-0.838233,-9999,-9999,-9999,-9999,-9999,-9999
73,Region 73,Unclassified regions,OFF,47,0.414339,3207,3227,0,6/22/2023, 00:23:00.0830,999,999,98941083.84,21,82.356199,7.411182,0.5537,-0.797199,2.291,1.2686,0.414339,-9999,5.38942,5.974295,4.819266,-1.155029,-9999,-9999,-9999,-9999,-9999,-9999
74,Region 74,Unclassified regions,OFF,47,0.434135,3259,3319,0,6/22/2023, 00:23:08.3970,999,999,125113642.6,58,81.390657,5.636918,0.9154,0.368175,6.952,6.3636,0.434135,-9999,5.051762,6.239637,3.921112,2.015622,-9999,-9999,-9999,-9999,-9999,-9999
16,Region 16,Unclassified regions,OFF,59,0.448912,2362,2379,0,6/22/2023, 01:50:40.3150,999,999,38751904.81,18,76.805776,6.615264,11.0318,0.321034,1.976,21.7988,0.448912,-9999,6.337368,6.537182,5.4213,0.074651,-9999,-9999,-9999,-9999,-9999,-9999
75,Region 75,Unclassified regions,OFF,48,0.416935,2598,2620,0,6/22/2023, 01:59:09.8640,999,999,122026158.4,20,84.252676,11.525084,1.3857,-1.1379,2.582,3.578,0.416935,-9999,11.102931,11.840991,9.930452,-1.910539,-9999,-9999,-9999,-9999,-9999,-9999
76,Region 76,Unclassified regions,OFF,48,0.35928,2797,2832,0,6/22/2023, 01:59:33.7110,999,999,74181544.26,29,81.687484,10.111878,0.6645,0.006502,4.081,2.7117,0.35928,-9999,8.049891,8.629677,7.082146,-1.547531,-9999,-9999,-9999,-9999,-9999,-9999
2,Region 2,Unclassified regions,OFF,49,0.364104,670,799,0,6/22/2023, 02:41:47.7620,999,999,377337268.7,90,86.612807,12.724075,2.0189,1.90527,14.882,30.0449,0.364104,-9999,10.792859,13.618563,7.594759,4.288009,-9999,-9999,-9999,-9999,-9999,-9999
3,Region 3,Unclassified regions,OFF,50,0.502992,3348,3403,0,6/22/2023, 02:54:42.3910,999,999,21483104.65,55,75.301115,9.249097,2.4832,-5.889511,6.434,15.9767,0.502992,-9999,9.136143,12.423117,5.652467,-5.779828,-9999,-9999,-9999,-9999,-9999,-9999
4,Region 4,Unclassified regions,OFF,51,0.400603,150,238,0,6/22/2023, 03:12:46.5760,999,999,11171218.03,67,74.088119,8.620036,0.9253,6.355623,10.165,9.4057,0.400603,-9999,7.864483,12.214584,4.147973,8.046516,-9999,-9999,-9999,-9999,-9999,-9999
5,Region 5,Unclassified regions,OFF,52,0.329949,2311,2361,0,6/22/2023, 03:25:10.8910,999,999,1417758514,42,96.001962,18.597425,1.2349,0.996313,5.809,7.1738,0.329949,-9999,18.128287,19.138154,17.312016,1.826137,-9999,-9999,-9999,-9999,-9999,-9999
7,Region 7,Unclassified regions,OFF,52,0.250209,2448,2480,0,6/22/2023, 03:25:25.5780,999,999,15895233530,14,106.125994,24.39417,1.0048,0.29205,3.692,3.7098,0.250209,-9999,23.871962,24.15516,23.53637,-0.319411,-9999,-9999,-9999,-9999,-9999,-9999
8,Region 8,Unclassified regions,OFF,52,0.309199,2623,2658,0,6/22/2023, 03:25:46.0600,999,999,475881650.5,18,91.208598,17.992463,0.7652,0.520483,4.168,3.1894,0.309199,-9999,17.547767,18.109811,16.932982,1.17683,-9999,-9999,-9999,-9999,-9999,-9999
