Region_ID,Region_name,Region_class,Process_ID,TAST_Status,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_2D_mean_unsmoothed,Speed_4D_mean_unsmoothed,Speed_2D_max_unsmoothed,Speed_4D_max_unsmoothed,Direction_horizontal,Direction_vertical,Fish_track_change_in_range,Time_in_beam,Tortuosity_2D,Tortuosity_3D,Distance_2D_unsmoothed,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
2,Region 2,Unclassified regions,340,OFF,0.342239,3365,3410,0,6/22/2023, 04:36:47.8710,999,999,20646533219,44,108.19351,24.328291,0.363693,1.2532,0.99258,4.078635,0,90,-1.869745,5.141,1,1.068698,1.869745,6.4429,0.342239,-9999,19.400979,21.778341,16.79734,-4.981001,-9999,-9999,-9999,-9999,-9999,-9999
7,Region 7,Unclassified regions,341,OFF,0.388023,1047,1186,0,6/22/2023, 04:40:51.2190,999,999,9313386.315,65,72.142672,7.025719,0.717804,0.9924,2.936056,6.221987,0,-90,10.943938,16.078,1.054544,1.244714,11.540859,15.9551,0.388023,-9999,6.06747,10.00745,1.392992,8.614458,-9999,-9999,-9999,-9999,-9999,-9999
8,Region 8,Unclassified regions,342,OFF,0.314147,389,476,0,6/22/2023, 04:48:11.9330,999,999,29189841181,69,108.592876,24.647033,0.345523,1.6584,1.021796,5.571927,0,90,-3.046362,10.197,1.156559,1.045255,3.523298,16.9106,0.314147,-9999,21.759215,26.32034,16.705697,-9.614643,-9999,-9999,-9999,-9999,-9999,-9999
16,Region 16,Unclassified regions,343,OFF,0.244381,2348,2829,0,6/22/2023, 05:37:16.7920,999,999,15509792448,58,101.173855,20.850548,0.133386,0.9389,0.738099,4.773899,0,-90,-3.724336,55.813,1.998932,5.517561,7.444695,52.405,0.244381,-9999,19.6364,20.82444,17.018351,0.540263,-9999,-9999,-9999,-9999,-9999,-9999
17,Region 17,Unclassified regions,344,OFF,0.264016,2829,3020,0,6/22/2023, 05:55:59.9630,999,999,279995350.9,68,88.527606,16.137152,0.167356,2.3282,0.422145,8.07656,0,90,-1.745389,22.027,2.112055,23.520907,3.686357,51.2823,0.264016,-9999,12.796064,14.614161,11.88837,-0.770449,-9999,-9999,-9999,-9999,-9999,-9999
6,Region 6,Unclassified regions,180,OFF,0.409588,2696,2926,0,5/30/2023, 09:17:30.7990,999,999,16002453189,193,102.015464,16.231028,0.530061,5.5028,1.223631,250.309128,0,90,-2.892778,25.043,4.588782,4.773738,13.274325,137.8071,0.409588,-9999,14.201721,19.099998,12.565156,-2.47888,-9999,-9999,-9999,-9999,-9999,-9999
10,Region 10,Unclassified regions,181,OFF,0.371404,2836,3116,0,5/30/2023, 09:39:53.2570,999,999,41865982707,183,104.403654,19.189733,0.598576,12.6416,4.063329,195.432177,0,90,-15.268982,31.014,1.215814,23.244805,18.564247,392.0673,0.371404,-9999,16.403293,22.816854,7.700781,-15.116073,-9999,-9999,-9999,-9999,-9999,-9999
27,Region 27,Unclassified regions,182,OFF,0.432533,1502,1824,0,5/30/2023, 10:29:59.0230,999,999,207218342.6,188,83.094813,9.010619,0.458423,3.9736,5.394672,112.237468,0,-90,8.62617,35.138,1.86735,15.670491,16.108082,139.6253,0.432533,-9999,8.000266,11.205304,1.514253,8.154515,-9999,-9999,-9999,-9999,-9999,-9999
30,Region 30,Unclassified regions,183,OFF,0.352048,3183,3294,0,5/30/2023, 17:57:03.7970,999,999,1982613257,80,93.512065,11.832645,0.336431,2.3692,1.820907,20.716944,0,90,-3.301679,12.074,1.230303,1.90137,4.062065,28.6054,0.352048,-9999,9.549719,10.712653,8.286474,-0.816872,-9999,-9999,-9999,-9999,-9999,-9999
26,Region 26,Unclassified regions,190,OFF,0.598143,3257,3381,0,5/31/2023, 19:00:23.6730,999,999,13971276739,119,101.529315,18.205626,1.016789,1.4385,2.28939,14.35022,0,90,-14.573643,14.333,1,1.141847,14.573643,20.6173,0.598143,-9999,16.695551,25.451873,7.808067,-17.643806,-9999,-9999,-9999,-9999,-9999,-9999
27,Region 27,Unclassified regions,191,OFF,0.428994,3638,3698,0,5/31/2023, 20:27:27.9630,999,999,49396266340,57,107.174577,21.200491,0.508454,6.6296,4.299875,121.120481,0,-90,0.897949,6.949,3.934797,30.223717,3.533248,46.0694,0.428994,-9999,17.326467,21.791838,15.15377,0.602337,-9999,-9999,-9999,-9999,-9999,-9999
29,Region 29,Unclassified regions,192,OFF,0.25081,2534,2894,0,6/1/2023, 04:35:25.6610,999,999,4613625919,78,96.313357,16.748433,0.199468,0.6821,1.619464,27.780303,0,90,-1.753683,41.53,4.723715,16.149713,8.283901,28.3274,0.25081,-9999,13.507799,17.842715,9.878259,-1.177798,-9999,-9999,-9999,-9999,-9999,-9999
31,Region 31,Unclassified regions,193,OFF,0.334521,799,1084,0,6/1/2023, 04:40:35.8270,999,999,3742608932,192,95.1688,15.649912,0.404553,1.0727,2.679721,13.640332,0,90,-3.602649,33.158,3.723421,1.822132,13.414179,35.5692,0.334521,-9999,14.288672,19.100745,9.767642,-2.11101,-9999,-9999,-9999,-9999,-9999,-9999
32,Region 32,Unclassified regions,193,OFF,0.572982,2202,2243,0,6/1/2023, 04:43:02.7920,999,999,1133430238,42,89.397918,15.208204,1.082411,1.4522,2.588573,3.084047,0,90,-4.988094,4.864,1.055483,1.414903,5.264849,7.0637,0.572982,-9999,11.353151,12.843702,9.208099,-3.314502,-9999,-9999,-9999,-9999,-9999,-9999
34,Region 34,Unclassified regions,193,OFF,0.294341,2723,2858,0,6/1/2023, 04:44:08.5040,999,999,17580185819,89,102.919552,20.483304,0.354245,1.8196,1.534102,15.934628,0,-90,4.76231,15.571,1.15825,2.254933,5.515944,28.3337,0.294341,-9999,16.524872,22.69547,13.923751,8.75734,-9999,-9999,-9999,-9999,-9999,-9999
40,Region 40,Unclassified regions,193,OFF,0.328645,3616,3823,0,6/1/2023, 04:45:55.1860,999,999,1227692105,87,90.477986,14.216829,0.359098,0.6857,1.186269,2.825755,0,90,1.887652,23.84,4.535211,2.142902,8.560898,16.347,0.328645,-9999,12.19764,15.168625,9.872985,-1.025813,-9999,-9999,-9999,-9999,-9999,-9999
47,Region 47,Unclassified regions,193,OFF,0.277071,3031,3189,0,6/1/2023, 04:44:45.3450,999,999,478307314.3,27,88.005389,15.266326,0.135132,0.686,0.814186,12.253504,0,90,-2.001035,18.123,1.223869,5.637836,2.449003,12.4331,0.277071,-9999,14.723074,15.839151,13.391442,-1.923377,-9999,-9999,-9999,-9999,-9999,-9999
48,Region 48,Unclassified regions,194,OFF,0.165487,733,735,0,6/1/2023, 05:13:46.9960,999,999,11828215332,3,114.321819,27.135401,0.740733,0.7868,0.776028,0.864164,0,90,-0.155554,0.21,1,1.045819,0.155554,0.1652,0.165487,-9999,25.794514,25.866534,25.727209,-0.139325,-9999,-9999,-9999,-9999,-9999,-9999
55,Region 55,Unclassified regions,194,OFF,0.337198,745,949,0,6/1/2023, 05:13:59.9430,999,999,99969510784,112,109.273167,23.142554,0.493812,1.2003,2.464627,17.174898,0,90,-5.427362,23.372,2.126516,2.212343,11.541374,28.0537,0.337198,-9999,22.657905,25.444071,20.330356,-4.607349,-9999,-9999,-9999,-9999,-9999,-9999
60,Region 60,Unclassified regions,194,OFF,0.266194,1748,1995,0,6/1/2023, 05:15:57.7790,999,999,3.97835E+11,109,114.255721,25.580751,0.447914,4.0818,1.789093,96.268868,0,90,5.2686,28.384,2.413086,6.205738,12.713585,115.8572,0.266194,-9999,23.566413,26.138573,17.064667,-2.175625,-9999,-9999,-9999,-9999,-9999,-9999
67,Region 67,Unclassified regions,195,OFF,0.386378,2309,2571,0,6/1/2023, 05:33:45.9020,999,999,1.3379E+11,220,112.322403,23.23753,0.475939,1.4834,4.161599,15.028959,0,90,-5.397657,30.064,2.650898,1.304001,14.308636,44.5978,0.386378,-9999,20.829336,25.482368,16.451813,-8.437158,-9999,-9999,-9999,-9999,-9999,-9999
71,Region 71,Unclassified regions,196,OFF,0.455481,732,958,0,6/5/2023, 07:04:21.7510,999,999,1296236325,215,92.634855,13.414815,0.407652,1.6319,1.746417,41.06356,0,90,-5.034177,25.98,2.103779,1.849601,10.590796,42.3974,0.455481,-9999,11.691924,13.420988,9.26044,-4.131857,-9999,-9999,-9999,-9999,-9999,-9999
72,Region 72,Unclassified regions,197,OFF,0.304844,1805,1807,0,6/5/2023, 07:33:07.6810,999,999,2.65147E+11,3,122.794468,31.05176,0.18879,0.257,0.2228,0.367222,0,-90,0.043422,0.23,1,1.122883,0.043422,0.0591,0.304844,-9999,30.077209,30.093917,30.059259,0.034658,-9999,-9999,-9999,-9999,-9999,-9999
73,Region 73,Unclassified regions,197,OFF,0.317396,1773,1891,0,6/5/2023, 07:33:10.6780,999,999,2.22028E+12,82,125.152783,30.060867,0.225452,1.5261,0.905472,9.78012,0,90,-2.483846,13.608,1.235159,1.164107,3.067946,20.7678,0.317396,-9999,27.218502,31.225995,21.718707,-9.507289,-9999,-9999,-9999,-9999,-9999,-9999
78,Region 78,Unclassified regions,197,OFF,0.468602,2051,2239,0,6/5/2023, 07:33:47.0240,999,999,19370615292,160,104.918164,20.935859,0.467741,1.2482,2.236611,5.922703,0,90,-6.582095,21.874,1.554423,1.096227,10.23136,27.304,0.468602,-9999,19.261367,25.137695,13.756845,-11.38085,-9999,-9999,-9999,-9999,-9999,-9999
82,Region 82,Unclassified regions,198,OFF,0.209709,2721,2914,0,6/5/2023, 08:09:57.9850,999,999,1.22572E+11,50,114.311854,26.805363,0.133351,1.1831,0.656082,5.156071,0,90,2.511346,22.13,1.175092,1.243626,2.951062,26.1823,0.209709,-9999,23.443446,25.676683,21.946246,-3.15988,-9999,-9999,-9999,-9999,-9999,-9999
83,Region 83,Unclassified regions,198,OFF,0.210463,3328,3446,0,6/5/2023, 08:11:03.6160,999,999,38751427629,21,111.060277,25.539383,0.108688,1.8699,0.824497,5.857964,0,-90,0.387071,13.616,3.823331,1.077579,1.4799,25.4611,0.210463,-9999,20.878994,24.944849,18.973461,5.944223,-9999,-9999,-9999,-9999,-9999,-9999
85,Region 85,Unclassified regions,199,OFF,0.417229,2988,3080,0,6/5/2023, 08:36:58.6440,999,999,49863886.01,82,78.116244,6.250423,0.40028,0.9326,3.032965,6.687538,0,-90,3.816097,10.531,1.104624,2.055038,4.215351,9.8214,0.417229,-9999,5.004363,5.666993,4.066806,1.510072,-9999,-9999,-9999,-9999,-9999,-9999
86,Region 86,Unclassified regions,199,OFF,0.384476,3134,3175,0,6/5/2023, 08:37:12.4890,999,999,146822773.5,14,82.589886,4.758137,0.063333,0.7352,0.731274,6.153587,0,-90,-0.077413,4.838,3.958084,1.819353,0.306406,3.5567,0.384476,-9999,3.913278,4.432137,3.454506,0.971545,-9999,-9999,-9999,-9999,-9999,-9999
93,Region 93,Unclassified regions,200,OFF,0.397275,1601,1978,0,6/5/2023, 08:52:03.8360,999,999,159982117,188,80.967263,7.068679,0.1505,1.2063,2.18369,57.156036,0,-90,0.248702,43.184,26.132367,4.652409,6.499172,52.0939,0.397275,-9999,6.045334,7.837154,5.009192,0.201472,-9999,-9999,-9999,-9999,-9999,-9999
97,Region 97,Unclassified regions,201,OFF,0.307127,3322,3817,0,6/5/2023, 10:13:57.1640,999,999,266130410.1,102,84.658263,6.466337,0.057918,0.1661,1.796611,4.164329,0,90,-2.351963,56.959,1.402627,4.022586,3.298925,9.4618,0.307127,-9999,5.34614,6.721029,3.469306,-1.605561,-9999,-9999,-9999,-9999,-9999,-9999
98,Region 98,Unclassified regions,202,OFF,0.431136,239,277,0,6/5/2023, 10:33:22.1470,999,999,36290344168,38,109.316927,25.111237,0.598132,1.2305,1.479799,3.483975,0,90,-1.885708,4.366,1.384862,1.11017,2.611445,5.3725,0.431136,-9999,24.760763,26.534295,23.817157,-2.595703,-9999,-9999,-9999,-9999,-9999,-9999
