Region_ID,Region_name,Region_class,TAST_Status,Process_ID,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_2D_mean_unsmoothed,Speed_4D_mean_unsmoothed,Speed_2D_max_unsmoothed,Speed_4D_max_unsmoothed,Direction_horizontal,Direction_vertical,Fish_track_change_in_range,Time_in_beam,Tortuosity_2D,Tortuosity_3D,Distance_2D_unsmoothed,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
7,Region 7,Unclassified regions,ON,90,0.58736,3601,3745,0,5/31/2023, 00:14:16.4460,999,999,539660146.6,141,87.421509,12.846239,0.820007,1.8768,4.645123,19.999773,0,-90,1.616875,16.593,8.415226,1.386634,13.606368,31.1425,0.58736,-9999,10.991854,12.479982,10.274399,0.970457,-9999,-9999,-9999,-9999,-9999,-9999
17,Region 17,Unclassified regions,ON,108,0.408524,3147,3198,0,5/31/2023, 03:43:47.7450,999,999,167437623.3,40,81.520728,7.059139,0.729115,0.9099,1.523368,1.581706,0,-90,4.313873,5.923,1.001084,1.213991,4.318551,5.3896,0.408524,-9999,5.418476,7.06847,3.102276,3.966194,-9999,-9999,-9999,-9999,-9999,-9999
18,Region 18,Unclassified regions,ON,107,0.371256,460,483,0,5/31/2023, 12:08:01.6170,999,999,25638803.28,23,77.158258,2.825555,0.170901,0.7627,0.568169,3.016697,0,90,-0.43636,2.579,1.010068,1.03061,0.440753,1.967,0.371256,-9999,2.49606,3.030602,1.852603,-1.177319,-9999,-9999,-9999,-9999,-9999,-9999
20,Region 20,Unclassified regions,ON,106,0.337997,2802,2832,0,5/31/2023, 13:07:00.4250,999,999,112249898.5,24,85.037127,6.796891,0.14736,0.4669,0.437662,1.0416,0,90,-0.429735,3.53,1.210473,1.177403,0.520182,1.6481,0.337997,-9999,6.722323,6.85602,6.540079,-0.218773,-9999,-9999,-9999,-9999,-9999,-9999
21,Region 21,Unclassified regions,ON,105,0.431136,2058,2087,0,5/31/2023, 13:52:24.7960,999,999,267610024.4,26,86.034476,6.811914,0.317736,1.2799,0.582265,8.904109,0,-90,1.054247,3.318,1,1.833364,1.054247,4.2468,0.431136,-9999,6.434323,7.205722,5.469573,1.736148,-9999,-9999,-9999,-9999,-9999,-9999
23,Region 23,Unclassified regions,ON,105,0.513435,2500,2564,0,5/31/2023, 13:53:17.9800,999,999,3551496384,62,98.107792,16.726556,0.600228,2.3872,1.235985,21.905265,0,90,-4.453094,7.419,1,1.464719,4.453094,17.7107,0.513435,-9999,14.871609,19.1422,10.275108,-8.867092,-9999,-9999,-9999,-9999,-9999,-9999
24,Region 24,Unclassified regions,ON,104,0.335218,2763,2801,0,5/31/2023, 14:01:47.3240,999,999,1.00682E+12,36,123.518467,31.612265,0.909246,1.7186,2.275637,3.841519,0,90,-4.041598,4.445,1,1.03963,4.041598,7.6394,0.335218,-9999,25.156887,28.308436,21.354608,-6.953828,-9999,-9999,-9999,-9999,-9999,-9999
28,Region 28,Unclassified regions,ON,103,0.282065,1298,1523,0,5/31/2023, 14:31:01.4320,999,999,2913793012,123,96.00648,18.974337,0.304713,4.3771,3.82488,163.629485,0,-90,-1.280849,26.114,6.212511,6.213501,7.957287,114.3046,0.282065,-9999,17.653568,19.343955,14.309582,1.513911,-9999,-9999,-9999,-9999,-9999,-9999
8,Region 8,Unclassified regions,ON,89,0.350178,1159,1219,0,5/31/2023, 14:54:52.0150,999,999,1022020580,52,91.455277,15.918276,0.655487,10.8437,2.168176,122.961951,0,90,-1.347885,7.04,3.423609,54.899642,4.61463,76.3399,0.350178,-9999,14.923078,16.841958,12.102877,-1.38982,-9999,-9999,-9999,-9999,-9999,-9999
33,Region 33,Unclassified regions,ON,102,0.321154,2948,3155,0,6/5/2023, 23:39:01.1490,999,999,1079872119,139,92.287461,13.537402,0.316464,2.922,2.752533,175.756052,0,-90,3.482089,22.948,2.08559,19.239763,7.26221,67.0552,0.321154,-9999,11.746271,13.558596,9.163425,2.852106,-9999,-9999,-9999,-9999,-9999,-9999
