taxonomic_path	common_name	% samples positive in project
Animalia;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens	Human	95.93
Animalia;Chordata;Actinopteri;Perciformes	Perch-like fishes	17.07
Animalia;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sprattus;Sprattus sprattus	Brisling	19.51
Animalia;Chordata;Mammalia;Primates	Primates	22.76
Animalia;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Lepidopsetta	Right-eye flounders	6.5
Animalia;Chordata;Actinopteri;Pleuronectiformes;Cyclopsettidae;Citharichthys	Sanddabs	4.07
Animalia;Chordata;Amphibia;Anura	Frogs	7.32
Animalia;Chordata;Actinopteri	Chordates	22.76
Animalia;Chordata;Chondrichthyes;Rajiformes;Rajidae;Beringraja	Skates and rays	2.44
Animalia;Chordata;Chondrichthyes;Chimaeriformes;Chimaeridae;Hydrolagus;Hydrolagus colliei	White-spotted Ratfish	7.32
Animalia;Chordata;Actinopteri;Galaxiiformes;Galaxiidae;Galaxias;Galaxias aff. paucispondylus Southland	Galaxiids	2.44
Animalia;Chordata;Actinopteri;Clupeiformes;Clupeidae	Hering	22.76
Animalia;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae	Right-eye flounders	11.38
Animalia;Chordata;Aves;Galliformes	Fowls	4.07
Animalia;Chordata	Chordates	93.5
Animalia;Chordata;Actinopteri;Pleuronectiformes;Cyclopsettidae	Flatfishes	3.25
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;Bos taurus	Aurochs	9.76
Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae;Lumpenus	Oarfishes	5.69
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Artedius	Bullheads	4.88
Animalia;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii	Pacific herring	16.26
Animalia;Chordata;Actinopteri;NA;Embiotocidae	Surf perches	8.13
Animalia;Chordata;Aves	Birds	3.25
Animalia;Chordata;Actinopteri;Clupeiformes;Engraulidae	Anchovies	0.81
Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Sus;Sus scrofa	Wild Boar/Pig	17.89
Animalia;Chordata;Chondrichthyes;Hexanchiformes;Hexanchidae	Cow sharks	0.81
Animalia;Chordata;Mammalia	Mammals	23.58
Animalia;Chordata;Actinopteri;Perciformes;Psychrolutidae	Fathead sculpins	0.81
Animalia;Chordata;Actinopteri;Syngnathiformes;Syngnathidae	Pipe fish	3.25
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae	Bovine	11.38
Animalia;Chordata;Chondrichthyes;Squaliformes;Squalidae;Squalus	Spiny dogfish	8.94
Eukaryota	""	38.21
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Myoxocephalus;Myoxocephalus stelleri	Steller's sculpin	4.88
Animalia;Chordata;Mammalia;Artiodactyla;Suidae	Hogs	15.45
Animalia;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea harengus	Atlantic herring	15.45
Animalia;Chordata;Actinopteri;Cypriniformes;Nemacheilidae;Barbatula	Minnows	0.81
Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Sus	Palawan Bearded Pig	14.63
Animalia;Chordata;Mammalia;Artiodactyla	Artiodactyls	15.45
Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae;Lumpenus;Lumpenus sagitta	Snake prickleback	6.5
Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus keta	Keta salmon	5.69
Animalia;Chordata;Aves;Galliformes;Phasianidae;Meleagris	Turkeys	4.07
Animalia;Chordata;Actinopteri;Gadiformes;Gadidae	Codfishes	1.63
Animalia;Chordata;Actinopteri;Perciformes;Pholidae;Pholis;Pholis laeta	Crescent gunnel	5.69
Animalia;Chordata;Actinopteri;Centrarchiformes;Percichthyidae	Temperate basses	3.25
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Chitonotus;Chitonotus pugetensis	Roughback sculpin	0.81
Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus tshawytscha	Chinook salmon	1.63
Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus	Pacific salmon	10.57
Animalia;Chordata;Actinopteri;Perciformes;Cottidae	Bullheads	12.2
Animalia;Chordata;Actinopteri;Uranoscopiformes;Ammodytidae	Sand-eels	8.13
Animalia;Chordata;Aves;Galliformes;Phasianidae;Gallus;Gallus gallus	Chicken	4.07
Animalia;Chordata;Mammalia;Artiodactyla;Phocoenidae;Phocoena;Phocoena phocoena	Eastern Pacific Harbor Porpoise	4.07
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Cottus	Bullhead	2.44
Animalia;Chordata;Actinopteri;Perciformes;Liparidae	Sea snails	2.44
Animalia;Chordata;Actinopteri;Perciformes;Pholidae;Pholis;Pholis ornata	Saddled Blenny	5.69
Animalia;Chordata;Actinopteri;Perciformes;Rhamphocottidae;Rhamphocottus;Rhamphocottus richardsonii	Grunt sculpin	1.63
Animalia;Chordata;Aves;Galliformes;Phasianidae;Pternistis	Grouse	1.63
Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae	Salmonids	7.32
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Hemilepidotus;Hemilepidotus hemilepidotus	Bullhead	0.81
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bos	Cattle	11.38
Animalia;Chordata;Actinopteri;Gadiformes;Gadidae;Gadus	Common codfishes	1.63
