taxonomic_path	sample_id	reason	reads
Animalia;Chordata;Amphibia;Anura;Dendrobatidae	JDFB_01_062425	Taxon had fewer than 5 total project-wide reads	4
Animalia;Chordata;Mammalia;Chiroptera;Megadermatidae	JDFB_12_062525	Taxon had fewer than 5 total project-wide reads	3
Animalia;Chordata;Aves;Apodiformes;Trochilidae	JDFB_16_062625	Taxon had fewer than 5 total project-wide reads	2
Animalia;Chordata;Aves;Apodiformes;Trochilidae;Oreotrochilus;Oreotrochilus melanogaster	JDFB_31_072425	Taxon had fewer than 5 total project-wide reads	2
Animalia;Chordata;Actinopteri;Anabantiformes;Badidae;Dario;Dario dario	JDFB_37_073025	Taxon had fewer than 5 total project-wide reads	2
Animalia;Chordata;Mammalia;Primates;Hominidae;Pan;Pan troglodytes	JDFB_71_092325	Taxon had fewer than 5 total project-wide reads	2
Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus	JDFB_BK1_01_062525	Decontaminated read was in sample with fewer than 1 reads	1501
Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus kisutch	JDFB_BK1_01_062525	Decontaminated read was in sample with fewer than 1 reads	19
Animalia;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens	JDFB_BK1_01_062525	Decontaminated read was in sample with fewer than 1 reads	6005
Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus keta	JDFB_BK1_01_062525	Decontaminated read was in sample with fewer than 1 reads	10134
Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae	JDFB_BK1_01_062525	Decontaminated read was in sample with fewer than 1 reads	19
Eukaryota	JDFB_BK1_01_062525	Decontaminated read was in sample with fewer than 1 reads	9
Animalia;Chordata;Amphibia;Anura	JDFB_BK1_01_062525	Decontaminated read was in sample with fewer than 1 reads	3
Animalia;Chordata	JDFB_BK1_01_062525	Decontaminated read was in sample with fewer than 1 reads	242
Animalia;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens	JDFB_BK1_03_062625	Decontaminated read was in sample with fewer than 1 reads	9118
Animalia;Chordata	JDFB_BK1_03_062625	Decontaminated read was in sample with fewer than 1 reads	2662
Animalia;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens	JDFB_BK1_05_072425	Decontaminated read was in sample with fewer than 1 reads	53
Eukaryota	JDFB_BK1_05_072425	Decontaminated read was in sample with fewer than 1 reads	100
Animalia;Chordata	JDFB_BK1_05_072425	Decontaminated read was in sample with fewer than 1 reads	3
Animalia;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens	JDFB_BK1_06_073025	Decontaminated read was in sample with fewer than 1 reads	10789
Animalia;Chordata;Aves	JDFB_BK1_06_073025	Decontaminated read was in sample with fewer than 1 reads	42
Animalia;Chordata	JDFB_BK1_06_073025	Decontaminated read was in sample with fewer than 1 reads	118
Animalia;Chordata;Aves;Galliformes;Phasianidae;Meleagris;Meleagris gallopavo	JDFB_BK1_06_073025	Decontaminated read was in sample with fewer than 1 reads	20265
Eukaryota	JDFB_BK1_06_073025	Decontaminated read was in sample with fewer than 1 reads	21
Animalia;Chordata;Mammalia;Rodentia	JDFB_BK1_06_073025	Decontaminated read was in sample with fewer than 1 reads	2
Animalia;Chordata;Mammalia	JDFB_BK1_06_073025	Decontaminated read was in sample with fewer than 1 reads	3
Animalia;Chordata;Aves;Galliformes;Phasianidae;Meleagris	JDFB_BK1_06_073025	Decontaminated read was in sample with fewer than 1 reads	3533
Animalia;Chordata;Actinopteri;Perciformes;Zoarcidae;Zoarchias	JDFB_BK1_06_073025	Taxon had fewer than 5 total project-wide reads	3
Animalia;Chordata;Aves;Galliformes;Phasianidae	JDFB_BK1_06_073025	Decontaminated read was in sample with fewer than 1 reads	19
Animalia;Chordata;Aves;Galliformes;Odontophoridae;Odontophorus	JDFB_BK1_06_073025	Taxon had fewer than 5 total project-wide reads	2
Animalia;Chordata;Aves;Galliformes;Phasianidae;Pternistis	JDFB_BK1_06_073025	Decontaminated read was in sample with fewer than 1 reads	16
Animalia;Chordata;Aves;Galliformes	JDFB_BK1_06_073025	Decontaminated read was in sample with fewer than 1 reads	62
Animalia;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens	JDFB_BK1_08_082625	Decontaminated read was in sample with fewer than 1 reads	12701
Animalia;Chordata	JDFB_BK1_08_082625	Decontaminated read was in sample with fewer than 1 reads	8
Animalia;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens	JDFB_BK1_10_082725	Decontaminated read was in sample with fewer than 1 reads	3042
Animalia;Chordata	JDFB_BK1_10_082725	Decontaminated read was in sample with fewer than 1 reads	9
Animalia;Chordata;Aves;Galliformes;Phasianidae;Gallus;Gallus gallus	JDFB_BK1_12_082825	Decontaminated read was in sample with fewer than 1 reads	52
Animalia;Chordata;Actinopteri	JDFB_BK1_12_082825	Decontaminated read was in sample with fewer than 1 reads	47
Eukaryota	JDFB_BK1_12_082825	Decontaminated read was in sample with fewer than 1 reads	33
Animalia;Chordata	JDFB_BK1_12_082825	Decontaminated read was in sample with fewer than 1 reads	1475
Animalia;Chordata;Actinopteri;Tetraodontiformes;Diodontidae	JDFB_BK1_12_082825	Decontaminated read was in sample with fewer than 1 reads	3
Animalia;Chordata;Actinopteri;Uranoscopiformes;Ammodytidae	JDFB_BK1_12_082825	Decontaminated read was in sample with fewer than 1 reads	11640
Animalia;Chordata;Aves;Galliformes;Phasianidae	JDFB_BK1_12_082825	Decontaminated read was in sample with fewer than 1 reads	2
Animalia;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens	JDFB_BK1_12_082825	Decontaminated read was in sample with fewer than 1 reads	12881
Animalia;Chordata;Actinopteri;Centrarchiformes;Percichthyidae	JDFB_BK1_12_082825	Decontaminated read was in sample with fewer than 1 reads	2
Animalia;Chordata	JDFB_BK1_14_092425	Decontaminated read was in sample with fewer than 1 reads	8
