"sample_id"	"reads"	"percentage of overall results"	"notes"
"JDFB_01_062425"	36564	0.006339209058668024	""
"JDFB_01_062425"	4	6.934918563251312e-7	"sample did not have any recorded observations for any assignments"
"JDFB_02_062425"	842	0.0001459800357564401	""
"JDFB_03_062525"	39230	0.006801421380908724	""
"JDFB_04_062525"	26715	0.0046316587354314695	""
"JDFB_05_062525"	30740	0.005329484915858633	""
"JDFB_06_062525"	35397	0.006136882809585167	""
"JDFB_07_062525"	52416	0.009087517285284518	""
"JDFB_08_062525"	50778	0.008803532370119377	""
"JDFB_09_062525"	23078	0.004001101265067844	""
"JDFB_10_062525"	51070	0.008854157275631111	""
"JDFB_11_062525"	63704	0.01104455130383404	""
"JDFB_12_062525"	59234	0.010269574154390705	""
"JDFB_12_062525"	3	5.201188922438483e-7	"sample did not have any recorded observations for any assignments"
"JDFB_13_062525"	61871	0.010726758660673047	""
"JDFB_14_062525"	71921	0.01246915694968994	""
"JDFB_15_062625"	33535	0.005814062350465819	""
"JDFB_16_062625"	45514	0.007890897087195505	""
"JDFB_16_062625"	2	3.467459281625656e-7	"sample did not have any recorded observations for any assignments"
"JDFB_17_062625"	29192	0.0050611035674608075	""
"JDFB_18_062625"	28879	0.005006837829703366	""
"JDFB_19_062625"	46271	0.008022140421005037	""
"JDFB_20_062625"	47023	0.00815251688999416	""
"JDFB_21_062625"	17251	0.0029908570033662096	""
"JDFB_22_062625"	41494	0.007193937771588748	""
"JDFB_23_062625"	42111	0.0073009088904269	""
"JDFB_24_062625"	46473	0.008057161759749455	""
"JDFB_25_062625"	20698	0.0035884736105543913	""
"JDFB_26_062625"	33257	0.005765864666451222	""
"JDFB_27_062625"	30805	0.005340754158523917	""
"JDFB_28_062625"	30817	0.005342834634092892	""
"JDFB_29_062625"	45979	0.007971515515493301	""
"JDFB_30_072425"	39098	0.006778536149649995	""
"JDFB_31_072425"	49835	0.008640041664990728	""
"JDFB_31_072425"	2	3.467459281625656e-7	"sample did not have any recorded observations for any assignments"
"JDFB_32_073025"	49763	0.008627558811576876	""
"JDFB_33_073025"	47520	0.008238683253142559	""
"JDFB_34_073025"	34471	0.0059763394448458995	""
"JDFB_35_073025"	57427	0.009956289208295827	""
"JDFB_36_073025"	49123	0.008516600114564855	""
"JDFB_37_073025"	61878	0.010727972271421617	""
"JDFB_37_073025"	2	3.467459281625656e-7	"sample did not have any recorded observations for any assignments"
"JDFB_38_082625"	53030	0.009193968285230426	""
"JDFB_39_082625"	52210	0.009051802454683774	""
"JDFB_40_082625"	61081	0.010589794019048835	""
"JDFB_41_082625"	15931	0.002762004690778916	""
"JDFB_42_082625"	47868	0.008299017044642846	""
"JDFB_43_082625"	66545	0.011537103894788963	""
"JDFB_44_082625"	45939	0.00796458059693005	""
"JDFB_45_082725"	60993	0.010574537198209681	""
"JDFB_46_082725"	10325	0.001790075854139245	""
"JDFB_47_082725"	35563	0.00616566272162266	""
"JDFB_48_082725"	47823	0.008291215261259187	""
"JDFB_49_082725"	60640	0.010513336541888988	""
"JDFB_50_082725"	26630	0.0046169220334845605	""
"JDFB_51_082725"	40930	0.0070961554198469045	""
"JDFB_52_082725"	5995	0.0010393709196672904	""
"JDFB_53_082725"	81732	0.014170119100291406	""
"JDFB_54_082725"	76982	0.013346597520905312	""
"JDFB_55_082725"	63549	0.01101767849440144	""
"JDFB_56_082735"	42942	0.007444981823578446	""
"JDFB_57_082825"	34265	0.005940624614245155	""
"JDFB_58_082825"	48829	0.008465628463124958	""
"JDFB_59_082825"	56023	0.009712873566725707	""
"JDFB_60_082825"	45678	0.007919330253304836	""
"JDFB_61_082825"	61309	0.010629323054859367	""
"JDFB_62_082825"	45963	0.007968741548068	""
"JDFB_63_082825"	56405	0.009779102039004756	""
"JDFB_64_082825"	72748	0.01261253639098516	""
"JDFB_65_082825"	58405	0.010125847967167322	""
"JDFB_66_082825"	26257	0.0045522539178822425	""
"JDFB_67_082825"	42379	0.007347372844800684	""
"JDFB_68_082825"	37468	0.006495938218197504	""
"JDFB_69_082825"	57246	0.009924908701797115	""
"JDFB_70_082825"	53333	0.009246500293347054	""
"JDFB_71_092325"	43125	0.007476709076005321	""
"JDFB_71_092325"	2	3.467459281625656e-7	"sample did not have any recorded observations for any assignments"
"JDFB_72_092325"	38743	0.006716988747401139	""
"JDFB_73_092425"	36120	0.006262231462615934	""
"JDFB_74_092425"	35536	0.006160981651592465	""
"JDFB_75_092425"	39354	0.006822919628454803	""
"JDFB_76_092425"	70004	0.01213680097754612	""
"JDFB_77_092425"	25337	0.004392750790927462	""
"JDFB_78_092425"	70629	0.012245159080096922	""
"JDFB_79_092525"	41249	0.007151461395388834	""
"JDFB_80_092525"	48058	0.008331957907818289	""
"JDFB_81_092525"	59928	0.010389894991463115	""
"JDFB_82_092525"	26562	0.004605132671927034	""
"JDFB_83_092525"	41713	0.007231906450722549	""
"JDFB_84_092525"	22272	0.0038613626560183305	""
"JDFB_85_092525"	48187	0.008354323020184774	""
"JDFB_86_092525"	38753	0.006718722477041952	""
"JDFB_87_092525"	52742	0.009144036871575017	""
"JDFB_88_092525"	40084	0.006949481892234139	""
"JDFB_89_092525"	22551	0.003909733712997008	""
"JDFB_90_092525"	48942	0.008485219608066143	""
"JDFB_BK1_01_062525"	17932	0.003108923991905563	"Decontaminated read was in sample with fewer than 1 reads"
