taxonomic_path	common_name	% samples positive in project
Animalia;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens	Human	96.75
Animalia;Chordata;Actinopteri;Gadiformes;Gadidae;Gadus;Gadus morhua	Arctic Cod	1.63
Animalia;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii	Pacific herring	18.7
Animalia;Chordata;Mammalia;Primates;Hominidae	""	72.36
Animalia;Chordata;Actinopteri	Chordates	27.64
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Artedius;Artedius fenestralis	Padded sculpin	2.44
Animalia;Chordata;Chondrichthyes;Chimaeriformes;Chimaeridae	Rabbitfishes	5.69
Animalia;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae	Right-eye flounders	11.38
Animalia;Chordata	Chordates	95.93
Animalia;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes	Rockcod	1.63
Animalia;Chordata;Aves;Galliformes;Phasianidae;Gallus;Gallus gallus	Chicken	5.69
Animalia;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea harengus	Atlantic herring	17.89
Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae;Lumpenus;Lumpenus sagitta	Snake prickleback	6.5
Animalia;Chordata;Mammalia;Primates;Hominidae;Pan	""	1.63
Animalia;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Embassichthys;Embassichthys bathybius	""	1.63
Animalia;Chordata;Actinopteri;Perciformes	Perch-like fishes	20.33
Animalia;Chordata;Mammalia;Primates;Hominidae;Homo	""	71.54
Animalia;Chordata;Actinopteri;Centrarchiformes;Percichthyidae	Temperate basses	4.88
Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Sus;Sus scrofa	Wild Boar/Pig	21.14
Animalia;Chordata;Chondrichthyes;Squaliformes;Squalidae;Squalus	Spiny dogfish	8.94
Animalia;Chordata;Mammalia	Mammals	40.65
Animalia;Chordata;Mammalia;Primates	Primates	29.27
Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae;Leptoclinus;Leptoclinus maculatus	Daubed shanny	2.44
Animalia;Chordata;Aves;Galliformes	Fowls	4.88
Animalia;Chordata;Actinopteri;Perciformes;Pholidae	Gunnels	6.5
Animalia;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sprattus;Sprattus sprattus	Brisling	21.14
Animalia;Chordata;Actinopteri;Perciformes;Pholidae;Pholis	Gunnels	6.5
Animalia;Chordata;Aves;Galliformes;Phasianidae;Meleagris;Meleagris gallopavo	Domestic Turkey	4.88
Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Sus	Palawan Bearded Pig	14.63
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Icelinus;Icelinus borealis	Northern sculpin	4.88
Plantae;Chordata;Actinopteri;Perciformes;Liparidae;Liparis	Twayblade	2.44
Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae	Pricklebacks	6.5
Animalia;Chordata;Actinopteri;Spariformes;Lethrinidae	""	1.63
Animalia;Chordata;Mammalia;Artiodactyla;Suidae	Hogs	17.89
Animalia;Chordata;Actinopteri;Esociformes;Umbridae;Dallia;Dallia pectoralis	""	0.81
Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus	Pacific salmon	10.57
Animalia;Chordata;Actinopteri;Gadiformes	Cods	2.44
Animalia;Chordata;Chondrichthyes;Chimaeriformes;Chimaeridae;Hydrolagus;Hydrolagus colliei	White-spotted Ratfish	7.32
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Myoxocephalus	Daddy sculpins	4.88
Animalia;Chordata;Mammalia;Artiodactyla	Artiodactyls	18.7
Animalia;Chordata;Aves;Galliformes;Phasianidae;Meleagris	Turkeys	4.07
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;Bos taurus	Aurochs	9.76
Animalia;Chordata;Actinopteri;Clupeiformes;Clupeidae	Hering	24.39
