"sample_id"	"reads"	"percentage of overall results"	"notes"
"JDFB_01_062425"	36564	0.005653048114452425	""
"JDFB_02_062425"	842	0.0001301790425656094	""
"JDFB_03_062525"	39230	0.006065230213597217	""
"JDFB_04_062525"	26715	0.004130324373088189	""
"JDFB_05_062525"	30740	0.004752617302217141	""
"JDFB_06_062525"	35397	0.005472621816739757	""
"JDFB_07_062525"	52416	0.008103877310117556	""
"JDFB_08_062525"	50778	0.007850631144176383	""
"JDFB_09_062525"	23078	0.0035680189362578786	""
"JDFB_10_062525"	51070	0.007895776370339277	""
"JDFB_11_062525"	63704	0.009849080436579075	""
"JDFB_12_062525"	59234	0.009157987419633381	""
"JDFB_13_062525"	61871	0.009565685917549666	""
"JDFB_14_062525"	71921	0.011119485653635621	""
"JDFB_15_062625"	33535	0.005184743696481842	""
"JDFB_16_062625"	45514	0.007036780217732953	""
"JDFB_17_062625"	29192	0.00451328576077823	""
"JDFB_18_062625"	28879	0.00446489378889814	""
"JDFB_19_062625"	46271	0.007153817670490869	""
"JDFB_20_062625"	47023	0.007270082088554217	""
"JDFB_21_062625"	17251	0.0026671243032058522	""
"JDFB_22_062625"	41494	0.00641526032329857	""
"JDFB_23_062625"	42111	0.006510652804608524	""
"JDFB_24_062625"	46473	0.007185048272151503	""
"JDFB_25_062625"	20698	0.0032000544216424977	""
"JDFB_26_062625"	33257	0.005141762967463743	""
"JDFB_27_062625"	30805	0.004762666753246552	""
"JDFB_28_062625"	30817	0.004764522036513521	""
"JDFB_29_062625"	45979	0.0071086724443279745	""
"JDFB_30_072425"	39098	0.0060448220976605654	""
"JDFB_31_072425"	49835	0.007704836800780456	""
"JDFB_32_073025"	49763	0.0076937051011786465	""
"JDFB_33_073025"	47520	0.007346921737194487	""
"JDFB_34_073025"	34471	0.00532945579130537	""
"JDFB_35_073025"	57427	0.008878612681015738	""
"JDFB_36_073025"	49123	0.00759475666027367	""
"JDFB_37_073025"	61878	0.009566768166122064	""
"JDFB_38_082625"	53030	0.008198805970610767	""
"JDFB_39_082625"	52210	0.008072028280701266	""
"JDFB_40_082625"	61081	0.009443546435807587	""
"JDFB_41_082625"	15931	0.0024630431438393387	""
"JDFB_42_082625"	47868	0.007400724951936569	""
