taxonomic_path	common_name	% samples positive in project
Chromista;NA;Dinophyceae;Peridiniales;Pyrophaceae;Pyrophacus;Pyrophacus steinii	Dinoflagellates	6.5
Plantae;Streptophyta;Magnoliopsida	Dicots	99.19
Animalia;Cnidaria;Hydrozoa;Leptothecata;Sertulariidae	Hydralike animals	4.07
Chromista;Cercozoa;Thecofilosea;Cryomonadida;Protaspidae;Cryothecomonas;Cryothecomonas longipes	Chromists	63.41
Chromista;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula	Diatoms	92.68
Plantae;Streptophyta;Magnoliopsida;Ericales;Sapotaceae	Sapodillas	52.03
Animalia;Cnidaria;Anthozoa;Pennatulacea	Anthozoans	5.69
Chromista;Bacillariophyta	Diatoms	98.37
Chromista;Ciliophora;Spirotrichea;Euplotida;Aspidiscidae;Aspidisca;Aspidisca steini	Ciliates	8.94
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira oceanica	Diatoms	56.1
Animalia;Arthropoda;Ostracoda;Podocopida;Schizocytheridae;Neomonoceratina;Neomonoceratina sp. QY-2003	Ostracods	10.57
Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Vanrija;Vanrija nantouana	Basidio's	13.01
Chromista;Bacillariophyta;Bacillariophyceae;Naviculales;Pleurosigmataceae;Gyrosigma;Gyrosigma acuminatum	Diatoms	24.39
Chromista;Ciliophora;Spirotrichea	Ciliates	94.31
Chromista;Cercozoa;Imbricatea;Thaumatomonadida;Thaumatomastigidae;Protaspis	Chromists	29.27
Chromista;Bacillariophyta;Coscinodiscophyceae;Coscinodiscales;Heliopeltaceae;Actinoptychus;Actinoptychus sinensis	Diatoms	39.02
Chromista;Apicomplexa;Conoidasida;Eugregarinorida;Porosporidae;Thiriotia;Thiriotia pugettiae	Chromists	60.16
Protozoa;Euglenozoa;Euglenida;Petalomonadida;Scytomonadidae;Notosolenus;Notosolenus urceolatus	Euglenoids	32.52
Chromista;Ciliophora;Oligohymenophorea;Philasterida;Philasteridae;Miamiensis;Miamiensis avidus	Ciliates	1.63
Animalia;Annelida;Polychaeta;Eunicida	Paddle-footed annelids	25.2
Chromista;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae	Ciliates	53.66
Chromista;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros socialis	Diatoms	63.41
Protozoa;NA;NA;Rotosphaerida;Nucleariidae;Nuclearia;Nuclearia delicatula	Protozoans	5.69
Chromista;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium thulesense	Dinoflagellates	71.54
Chromista;Ciliophora;Spirotrichea;Tintinnida;Codonellidae;Tintinnopsis;Tintinnopsis parvula	Tintinnids	2.44
Chromista;Ciliophora;Heterotrichea;Heterotrichida	Ciliates	60.16
Animalia;Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;Alcyonidium gelatinosum	Gelatinous bryozoan	65.04
Animalia;Annelida;Polychaeta	Paddle-footed annelids	26.83
Chromista;NA;Dinophyceae;Peridiniales	Dinoflagellates	74.8
Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Nannochloris	Green algae	45.53
Protozoa;NA;Ichthyosporea;Ichthyophonida;NA;Creolimax;Creolimax fragrantissima	Protozoans	20.33
Chromista;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium;Gyrodinium rubrum	Dinoflagellates	42.28
Chromista;NA;Dinophyceae;Suessiales;Suessiaceae;Piscinoodinium;Piscinoodinium sp. RWL-2007	Dinoflagellates	25.2
Chromista;NA;Phaeophyceae	Brown algae	70.73
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus	Diatoms	84.55
Protozoa;Cercozoa;Thecofilosea;NA;Ebriacea;Ebria;Ebria tripartita	Protozoans	31.71
Chromista;Bacillariophyta;Mediophyceae;Anaulales;Anaulaceae;Eunotogramma;Eunotogramma laevis	Diatoms	74.8
Chromista;Apicomplexa;Conoidasida	Chromists	24.39
Chromista;NA;Dinophyceae;Amphidiniales;Amphidiniaceae;Amphidinium;Amphidinium carterae	Dinoflagellates	34.15
Animalia;Arthropoda;Hexanauplia;Calanoida;Paracalanidae;Paracalanus;Paracalanus parvus	Calanoid Copepods	94.31
