taxonomic_path	common_name	JDFB_01_062425	JDFB_02_062425	JDFB_03_062525	JDFB_04_062525	JDFB_05_062525	JDFB_06_062525	JDFB_07_062525	JDFB_08_062525	JDFB_09_062525	JDFB_10_062525	JDFB_11_062525	JDFB_12_062525	JDFB_13_062525	JDFB_14_062525	JDFB_15_062625	JDFB_16_062625	JDFB_17_062625	JDFB_18_062625	JDFB_19_062625	JDFB_20_062625	JDFB_21_062625	JDFB_22_062625	JDFB_23_062625	JDFB_24_062625	JDFB_25_062625	JDFB_26_062625	JDFB_27_062625	JDFB_28_062625	JDFB_29_062625	JDFB_30_072425	JDFB_31_072425	JDFB_32_073025	JDFB_33_073025	JDFB_34_073025	JDFB_35_073025	JDFB_36_073025	JDFB_37_073025	JDFB_38_082625	JDFB_39_082625	JDFB_40_082625	JDFB_41_082625	JDFB_42_082625	JDFB_43_082625	JDFB_44_082625	JDFB_45_082725	JDFB_46_082725	JDFB_47_082725	JDFB_48_082725	JDFB_49_082725	JDFB_50_082725	JDFB_51_082725	JDFB_52_082725	JDFB_53_082725	JDFB_54_082725	JDFB_55_082725	JDFB_56_082735	JDFB_57_082825	JDFB_58_082825	JDFB_59_082825	JDFB_60_082825	JDFB_61_082825	JDFB_62_082825	JDFB_63_082825	JDFB_64_082825	JDFB_65_082825	JDFB_66_082825	JDFB_67_082825	JDFB_68_082825	JDFB_69_082825	JDFB_70_082825	JDFB_71_092325	JDFB_72_092325	JDFB_73_092425	JDFB_74_092425	JDFB_75_092425	JDFB_76_092425	JDFB_77_092425	JDFB_78_092425	JDFB_79_092525	JDFB_80_092525	JDFB_81_092525	JDFB_82_092525	JDFB_83_092525	JDFB_84_092525	JDFB_85_092525	JDFB_86_092525	JDFB_87_092525	JDFB_88_092525	JDFB_89_092525	JDFB_90_092525	OAK_01_072825	OAK_02_072825	OAK_03_072825	OAK_04_072825	OAK_05_072825	OAK_06_072825	OAK_07_072825	OAK_08_072825	PBN_TOW_BTM_15m_092425	PBN_TOW_BTM_3m_092425	PBN_TOW_PORT_15m_092425	PBN_TOW_PORT_3m_092425	PBN_TOW_STBD_15m_092425	PBN_TOW_STBD_3m_092425	PTBAY_TOW_BTM_8m_092225	PTBAY_TOW_PORT_8m_092225	PTBAY_TOW_STBD_8m_092225	SJI_01_072125	SJI_02_072125	SJI_03_072125	SJI_04_072125	SJI_05_072125	SJI_06_072125	SJI_07_072125	SJI_08_072125	SQU_01_072925	SQU_02_072925	SQU_03_072925	SQU_04_072925	SQU_05_072925	SQU_06_072925	SQU_07_072925	SQU_08_072925
Animalia;Annelida;Polychaeta	Paddle-footed annelids	0.0	0.0	0.0	0.0037525564290673023	0.0	0.0	0.0027632706070905523	0.0	0.0	0.0	0.0	0.0	0.0016007939938209351	0.0	0.0	0.0	0.022808051242088456	0.0	0.0	0.00862453104112464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038943204410830316	0.0	0.0	0.0	0.0	0.0	0.007044025157232704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003992685400346564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007661500957687619	0.0	0.0	0.36664198004955606	0.0	0.0	0.0	0.0	0.0	0.022970903522205207	0.0	0.0	0.03607433262484644	0.0	0.0	0.0	0.0	0.0	0.007784870659934607	0.0	0.0	0.0	0.02612232712617084	0.030489782679208564	0.010877295736936786	0.005232930833736705	0.003506126956857108	0.0	0.0	0.0	0.0062217590468265135	0.011042326618218457	0.008173559702015365	0.0	0.0	0.0	0.010179930267477667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007384842610541863	0.0	0.14859553254721503	0.0	0.0	0.006231435515028146	0.0	0.0	0.0017949454336588168	0.003374046831770025	0.004996951859365786	0.0042506163393692085	0.0	0.0	0.0	0.03185161591395619	0.002612944527187688	0.0037097767456354476	0.003908845717859516	0.0	0.0	0.0	0.0
Animalia;Annelida;Polychaeta;Eunicida	Paddle-footed annelids	0.0	0.0	0.0	1.7768354691633677	0.0	0.25615648832741456	0.008289811821271658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01688951442646024	0.0	0.0	0.0	0.00287484368037488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036226415094339624	0.0	0.0	0.0	0.0	0.0	0.004683895595967166	0.008306395232129138	0.0	0.0	0.0	0.0	0.0033507292024426817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.999451408508655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003506126956857108	0.0	0.0	0.0	0.0	0.0013802908272773072	0.0	0.0	1.5996737209407714	0.0	0.00763494770060825	0.0	0.007291924922340999	0.0	0.0	0.0	0.0	0.0	0.03138558109480291	0.0	0.06231425558431598	0.0	0.0	0.004154290343352097	0.014440954547095564	0.00805376334463843	0.0026924181504882254	0.003374046831770025	0.001998780743746315	0.0	0.037716872014080964	0.0016727629583370505	0.0	0.002222205761438804	0.008709815090625626	0.01632301768079597	0.008794902865183911	0.0033201082355284787	0.0018469096584140586	0.0	0.0
Animalia;Annelida;Polychaeta;Eunicida;Eunicidae	Paddle-footed annelids	0.0	0.0	0.0	0.06004090286507684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002012578616352201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4622614769911584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Animalia;Annelida;Polychaeta;Eunicida;Onuphidae;Nothria;Nothria conchylega	Beachworms	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02285797880608205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Animalia;Annelida;Polychaeta;NA;Chaetopteridae	Chaetopterid worms	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0029249458885010626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003506126956857108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002222205761438804	0.0	0.002967821396508358	0.0	0.0	0.0	0.0	0.0
Animalia;Annelida;Polychaeta;NA;Maldanidae	Bamboo worms	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00287484368037488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002684443649053734	0.0	0.0	0.0	0.0	0.0	0.0	0.0031941483202772517	0.0	0.00997496284326341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002014179825974863	0.0	0.0	0.0	0.0	0.3295439034377864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004478113221629287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29603956821545907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017419630181251251	0.0	0.0	0.0	0.0	0.0	0.0
Animalia;Annelida;Polychaeta;NA;Maldanidae;Metasychis	Bamboo worms	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0071871092009372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3477565665035196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00763494770060825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005225889054375376	0.0	0.0	0.0	0.0	0.0	0.0
Animalia;Annelida;Polychaeta;NA;Orbiniidae;Scoloplos;Scoloplos armiger	Armored bristleworm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005629838142153413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036924213052709313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037036762690646737	0.002612944527187688	0.0	0.0	0.0	0.0	0.0	0.0
Animalia;Annelida;Polychaeta;NA;Scalibregmatidae;Scalibregma;Scalibregma inflatum	Paddle-footed annelids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07040257472273272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004154290343352097	0.010830715910321673	0.0	0.0	0.007872775940796726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Animalia;Annelida;Polychaeta;Phyllodocida	Scale Worm	0.0	0.0	0.0	0.0	0.0	0.0029108691855388017	0.0	0.0	0.00951927653498334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00287484368037488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004845397218741997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005153804243789666	0.0	0.00389992785133475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004154290343352097	0.0	0.0	0.0	0.0	0.0	0.02550369803621525	0.0	0.0	0.0	0.0	0.002612944527187688	0.0	0.0	0.0	0.0	0.0	0.0
