"sample_id"	"reads"	"percentage of overall results"	"notes"
"JDFB_01_062425"	55341	0.003898735589768561	""
"JDFB_02_062425"	32403	0.002282769182256748	""
"JDFB_03_062525"	62163	0.004379340822659205	""
"JDFB_04_062525"	53297	0.00375473718812264	""
"JDFB_05_062525"	71059	0.0050060579366719826	""
"JDFB_06_062525"	68708	0.004840431595052824	""
"JDFB_07_062525"	72378	0.005098980584309444	""
"JDFB_08_062525"	30727	0.002164696128852362	""
"JDFB_09_062525"	105050	0.007400700632536228	""
"JDFB_10_062525"	164625	0.011597718625714197	""
"JDFB_11_062525"	116181	0.00818487196752681	""
"JDFB_12_062525"	116639	0.008217137754196982	""
"JDFB_13_062525"	124938	0.008801796626633138	""
"JDFB_14_062525"	115240	0.008118579161289623	""
"JDFB_15_062625"	51917	0.003657517132216881	""
"JDFB_16_062625"	35525	0.0025027119464145595	""
"JDFB_17_062625"	52613	0.0037065498560650027	""
"JDFB_18_062625"	49889	0.003514645919624939	""
"JDFB_19_062625"	61580	0.0043382688715048155	""
"JDFB_20_062625"	69569	0.004901088456020113	""
"JDFB_21_062625"	28328	0.0019956882200712635	""
"JDFB_22_062625"	24423	0.001720583641584315	""
"JDFB_23_062625"	53340	0.003757766508705211	""
"JDFB_24_062625"	66662	0.004696292294775154	""
"JDFB_25_062625"	28285	0.001992658899488693	""
"JDFB_26_062625"	46355	0.003265678037327147	""
"JDFB_27_062625"	45269	0.003189170080288267	""
"JDFB_28_062625"	54460	0.0038366697424837976	""
"JDFB_29_062625"	64877	0.004570540265940531	""
"JDFB_30_072425"	89957	0.006337409108053893	""
"JDFB_31_072425"	113348	0.00798528905565651	""
"JDFB_32_073025"	97578	0.006874303344327653	""
"JDFB_33_073025"	122544	0.008633140964431409	""
"JDFB_34_073025"	147904	0.010419735614989416	""
"JDFB_35_073025"	166121	0.01170311080226131	""
"JDFB_36_073025"	121120	0.008532821138627205	""
"JDFB_37_073025"	123669	0.008712396444789364	""
"JDFB_38_082625"	99375	0.007000900764952762	""
"JDFB_39_082625"	111755	0.007873063295469645	""
"JDFB_40_082625"	126933	0.008942343011801246	""
"JDFB_41_082625"	115719	0.008152324383593144	""
"JDFB_42_082625"	128603	0.00905999336931039	""
"JDFB_43_082625"	95713	0.006742915370223131	""
"JDFB_44_082625"	85399	0.006016301126301393	""
"JDFB_45_082725"	144467	0.010177601316331377	""
"JDFB_46_082725"	125229	0.008822297377552397	""
"JDFB_47_082725"	90457	0.006372633765990762	""
"JDFB_48_082725"	100251	0.007062614365658157	""
"JDFB_49_082725"	120488	0.008488297170995002	""
"JDFB_50_082725"	119377	0.00841002798105928	""
"JDFB_51_082725"	116259	0.008190367014164961	""
"JDFB_52_082725"	144571	0.010184928045182246	""
