taxonomic_path	common_name	% samples positive in project
Animalia;Arthropoda;Maxillopoda;Sessilia	Arthropod	21.14
Chromista;NA;Dinophyceae	Dinoflagellates	97.56
Plantae;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus prasinos	Green algae	38.21
Chromista;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Attheyaceae;Attheya;Attheya longicornis	Diatoms	21.14
Chromista;NA;Dinophyceae;Peridiniales;Pfiesteriaceae	Dinoflagellates	81.3
Animalia;Annelida;Polychaeta;Phyllodocida;Glyceridae;Glycera;Glycera robusta	Glycerine worm	3.25
Chromista;Bacillariophyta;Fragilariophyceae;Thalassionemales;Thalassionemataceae;Thalassionema;Thalassionema nitzschioides	Diatoms	30.08
Eukaryota	""	99.19
Protozoa;NA;NA;NA;Paramoebidae	Protozoans	9.76
Animalia;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Clytia	Hydralike animals	20.33
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira	Diatoms	10.57
Chromista;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium cf. depressum	Dinoflagellates	88.62
Plantae;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla	Green algae	53.66
Animalia;Arthropoda;Maxillopoda;Calanoida;Acartiidae;Acartia;Acartia californiensis	Calanoid Copepods	18.7
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema	Diatoms	23.58
Animalia;Cnidaria;Hydrozoa;Anthoathecata;Corynidae;Coryne;Coryne eximia	Flowerhead polyps	4.88
Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula;Rhodotorula taiwanensis	Basidio's	8.94
Animalia;Annelida;Polychaeta;Eunicida;Onuphidae;Diopatra;Diopatra cf. ornata JZ-2010	Beachworms	19.51
Chromista;NA;Dinophyceae;Peridiniales	Dinoflagellates	8.94
Chromista;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia delicatissima	Diatoms	14.63
Animalia;Cnidaria;Hydrozoa;Siphonophorae;Diphyidae;Muggiaea;Muggiaea atlantica	Siphonophores	6.5
Animalia;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae	Hydralike animals	9.76
Animalia;Porifera;Demospongiae;Clionaida;Clionaidae;Cliona;Cliona chilensis	Boring sponges	13.01
Chromista;NA;NA;Isochrysidales;Noelaerhabdaceae;Emiliania;Emiliania huxleyi	Chromists	30.89
Animalia;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Obelia	Bushy wineglass hydroids	5.69
Animalia;Annelida;Polychaeta;Phyllodocida;Hesionidae;Micropodarke;Micropodarke dubia	Scale Worm	10.57
Chromista;Bacillariophyta;Coscinodiscophyceae;Coscinodiscales;Coscinodiscaceae;Coscinodiscus;Coscinodiscus wailesii	Diatom	15.45
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira nordenskioeldii	Diatoms	30.89
Animalia;Arthropoda;Maxillopoda;Poecilostomatoida;Splanchnotrophidae;Ismaila;Ismaila chaihuiensis	Arthropod	0.81
Chromista;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa triquetra	Dinoflagellates	32.52
Animalia;Arthropoda;Maxillopoda;Calanoida;Clausocalanidae;Pseudocalanus;Pseudocalanus newmani	Calanoid Copepods	32.52
Animalia;Annelida;Polychaeta;Terebellida;Pectinariidae;Pectinaria;Pectinaria granulata CMC01	Comb worms	0.81
Animalia;Chordata;Actinopteri;Clupeiformes;Clupeidae	Hering	6.5
Chromista;NA;NA;Isochrysidales;Noelaerhabdaceae	Chromists	17.07
Chromista;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros socialis	Diatoms	37.4
Chromista;NA;Dinophyceae;Peridiniales;Pfiesteriaceae;NA;Pfiesteriaceae sp. CCMP1970	Dinoflagellates	25.2
Chromista;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa rotundata	Dinoflagellates	26.02
Animalia;Arthropoda;Insecta;Hemiptera;Aphididae;Schizaphis;Schizaphis graminum	Greenbug	0.81
