taxonomy,number_of_samples_observed,total_reads_observed_across_dataset
Animalia;Arthropoda;Arachnida;Oribatida;Brachychthoniidae,1,1
Chromista;Phaeophyceae;NA;Laminariales;Laminariaceae;Nereocystis;Nereocystis luetkeana,6,6
Animalia;Arthropoda;Pycnogonida,1,1
Chromista;NA;Dinophyceae;Peridiniales;Thoracosphaeraceae;Scrippsiella;Scrippsiella trochoidea,11,11
Animalia;Annelida;Polychaeta;Spionida;Chaetopteridae;Phyllochaetopterus;Phyllochaetopterus prolifica,1,1
Animalia;Cnidaria;Anthozoa;Pennatulacea;Pennatulidae;Ptilosarcus;Ptilosarcus gurneyi,1,1
Animalia;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens,113,125115
Animalia;Annelida;Polychaeta;Terebellida;Terebellidae;Eupolymnia;Eupolymnia heterobranchia,1,1
Animalia;Chordata;Aves;Charadriiformes;Scolopacidae;Gallinago,1,1
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium,2,2
Chromista;NA;Katablepharidophyta;NA;Katablepharidaceae;Leucocryptos;Leucocryptos marina,1,1
Animalia;Arthropoda;Malacostraca;Decapoda;Hymenosomatidae,1,1
Animalia;Arthropoda;Insecta;Lepidoptera;Geometridae,1,1
Animalia;Arthropoda;Malacostraca;Decapoda,7,7
Animalia;Arthropoda;Arachnida;Mesostigmata;Digamasellidae;NA;Digamasellidae sp. BOLD:ACO1017,1,1
Plantae;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla,2,2
Plantae;NA;Florideophyceae;Ceramiales;Ceramiaceae;Pterothamnion;Pterothamnion sp. 4GWS,3,3
Animalia;Porifera;Homoscleromorpha;Homosclerophorida;Plakinidae;Oscarella;Oscarella pearsei,1,1
Animalia;Arthropoda;Insecta;Plecoptera;Chloroperlidae;Chloroperla;Chloroperla kosarovi,1,1
Animalia;Arthropoda;Insecta;Trichoptera;Hydropsychidae;Cheumatopsyche;Cheumatopsyche sp. XZ CN1,1,1
Chromista;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum micans,6,6
Animalia;Porifera;Homoscleromorpha;Homosclerophorida;Plakinidae,7,7
NA;Eustigmatophyceae,3,3
