taxonomic_path	sample_id	reason	reads
Chromista;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum mexicanum	JDFB_03_062525	Taxon had fewer than 5 total project-wide reads	2
Fungi;Basidiomycota;Pucciniomycetes;Pucciniales;Melampsoraceae;Melampsora	JDFB_03_062525	Taxon had fewer than 5 total project-wide reads	4
Fungi;Basidiomycota;Agaricomycetes;Boletales;Boletaceae	JDFB_03_062525	Taxon had fewer than 5 total project-wide reads	3
Animalia;Arthropoda;Insecta;Lepidoptera;Hesperiidae	JDFB_03_062525	Taxon had fewer than 5 total project-wide reads	3
Chromista;Phaeophyceae;NA;Laminariales;Laminariaceae	JDFB_05_062525	Taxon had fewer than 5 total project-wide reads	2
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Psathyrella	JDFB_08_062525	Taxon had fewer than 5 total project-wide reads	2
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium oxysporum	JDFB_08_062525	Taxon had fewer than 5 total project-wide reads	2
Animalia;Arthropoda;Insecta;Hymenoptera;Braconidae	JDFB_08_062525	Taxon had fewer than 5 total project-wide reads	2
Animalia;Arthropoda;Arachnida;Trombidiformes	JDFB_10_062525	Taxon had fewer than 5 total project-wide reads	2
Chromista;NA;Dinophyceae;Gonyaulacales;Goniodomataceae;Gambierdiscus;Gambierdiscus toxicus	JDFB_11_062525	Taxon had fewer than 5 total project-wide reads	2
Animalia;Mollusca;Gastropoda;Stylommatophora;Hygromiidae;Trochulus	JDFB_12_062525	Taxon had fewer than 5 total project-wide reads	2
Chromista;NA;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Alexandrium;Alexandrium catenella	JDFB_14_062525	Taxon had fewer than 5 total project-wide reads	2
Chromista;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Mayamaea;Mayamaea permitis	JDFB_15_062625	Taxon had fewer than 5 total project-wide reads	4
Animalia;Arthropoda;Malacostraca;Decapoda;Xanthidae	JDFB_15_062625	Taxon had fewer than 5 total project-wide reads	2
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus terreus	JDFB_16_062625	Taxon had fewer than 5 total project-wide reads	3
Animalia;Arthropoda;Insecta;Hymenoptera;Figitidae	JDFB_18_062625	Taxon had fewer than 5 total project-wide reads	3
Animalia;Arthropoda;Maxillopoda	JDFB_18_062625	Taxon had fewer than 5 total project-wide reads	2
Animalia;Arthropoda;Insecta;Lepidoptera;Pyralidae	JDFB_20_062625	Taxon had fewer than 5 total project-wide reads	2
Plantae;NA;Florideophyceae;Corallinales;Corallinaceae	JDFB_21_062625	Taxon had fewer than 5 total project-wide reads	3
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Thelonectria;Thelonectria veuillotiana	JDFB_26_062625	Taxon had fewer than 5 total project-wide reads	3
Chromista;NA;Dinophyceae;Peridiniales;Peridiniaceae;Peridinium;Peridinium sp. ES18-126	JDFB_28_062625	Taxon had fewer than 5 total project-wide reads	2
Animalia;Chordata;Mammalia;NA;Bovidae;Bos;Bos taurus	JDFB_32_073025	Taxon had fewer than 5 total project-wide reads	2
Chromista;NA;Dinophyceae;Peridiniales;Peridiniaceae;Peridinium	JDFB_35_073025	Taxon had fewer than 5 total project-wide reads	3
Animalia;Arthropoda;Insecta;Diptera;Cecidomyiidae	JDFB_35_073025	Taxon had fewer than 5 total project-wide reads	2
Chromista;NA;Chrysophyceae	JDFB_38_082625	Taxon had fewer than 5 total project-wide reads	3
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae	JDFB_38_082625	Taxon had fewer than 5 total project-wide reads	4
Animalia;Arthropoda;Arachnida;Araneae;Linyphiidae	JDFB_44_082625	Taxon had fewer than 5 total project-wide reads	2
Plantae;NA;Florideophyceae;Gigartinales;Kallymeniaceae;Austrokallymenia;Austrokallymenia rosea	JDFB_45_082725	Taxon had fewer than 5 total project-wide reads	2
Animalia;Rotifera;Monogononta;Ploima;Trichocercidae;Trichocerca	JDFB_45_082725	Taxon had fewer than 5 total project-wide reads	2
Plantae;NA;Florideophyceae;Nemastomatales;Schizymeniaceae;Schizymenia	JDFB_45_082725	Taxon had fewer than 5 total project-wide reads	2
Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Photobacterium;Photobacterium profundum	JDFB_45_082725	Taxon had fewer than 5 total project-wide reads	4
Animalia;Arthropoda;Insecta;Lepidoptera;Noctuidae	JDFB_46_082725	Taxon had fewer than 5 total project-wide reads	2
Animalia;Arthropoda;Malacostraca;Amphipoda;Phoxocephalidae	JDFB_49_082725	Taxon had fewer than 5 total project-wide reads	2
Animalia;Arthropoda;Insecta;Lepidoptera;Geometridae;Hydriomena	JDFB_51_082725	Taxon had fewer than 5 total project-wide reads	2
Animalia;Arthropoda;Insecta;Diptera;Chironomidae;NA;Chironomidae sp. BOLD-2016	JDFB_51_082725	Taxon had fewer than 5 total project-wide reads	4
Chromista;NA;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;Symbiodinium sp. clade D	JDFB_56_082735	Taxon had fewer than 5 total project-wide reads	4
Chromista;Phaeophyceae;NA;Ectocarpales;Chordariaceae;Laminariocolax	JDFB_59_082825	Taxon had fewer than 5 total project-wide reads	3
Animalia;Annelida;Clitellata;Haplotaxida;Megascolecidae;Amynthas	JDFB_60_082825	Taxon had fewer than 5 total project-wide reads	2
Animalia;Arthropoda;Insecta;Lepidoptera;Tortricidae;Lobesia;Lobesia sp. BOLD:ACO0243	JDFB_60_082825	Taxon had fewer than 5 total project-wide reads	2
Animalia;Arthropoda;Arachnida;Trombidiformes;Tetranychidae	JDFB_63_082825	Taxon had fewer than 5 total project-wide reads	2
Plantae;NA;Florideophyceae;Palmariales;Rhodothamniellaceae;Rhodothamniella;Rhodothamniella floridula	JDFB_63_082825	Taxon had fewer than 5 total project-wide reads	2
Animalia;Arthropoda;Malacostraca;Amphipoda	JDFB_64_082825	Taxon had fewer than 5 total project-wide reads	2
Animalia;Arthropoda;Insecta;Diptera;Tabanidae	JDFB_69_082825	Taxon had fewer than 5 total project-wide reads	2
Animalia;Echinodermata;Ophiuroidea;Ophiurida;Ophiuridae	JDFB_81_092525	Taxon had fewer than 5 total project-wide reads	3
Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus tshawytscha	JDFB_82_092525	Taxon had fewer than 5 total project-wide reads	3
Animalia;Mollusca;Gastropoda;NA;Limapontiidae;Alderia;Alderia modesta	JDFB_82_092525	Taxon had fewer than 5 total project-wide reads	3
Chromista;NA;Dinophyceae;Peridiniales;Peridiniaceae;Peridinium;Peridinium sp. ES18-122	JDFB_84_092525	Taxon had fewer than 5 total project-wide reads	2
Chromista;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum sp. ES5-50	JDFB_85_092525	Taxon had fewer than 5 total project-wide reads	2
Animalia;Arthropoda;Maxillopoda;Calanoida;Clausocalanidae	JDFB_86_092525	Taxon had fewer than 5 total project-wide reads	2
Animalia;Arthropoda;Maxillopoda;Calanoida;Paracalanidae;Paracalanus;Paracalanus sp. B AC-2013	JDFB_86_092525	Taxon had fewer than 5 total project-wide reads	2
Plantae;NA;Florideophyceae;Gigartinales;Kallymeniaceae;Austrokallymenia;Austrokallymenia rosea	JDFB_87_092525	Taxon had fewer than 5 total project-wide reads	2
Chromista;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia lundholmiae	JDFB_89_092525	Taxon had fewer than 5 total project-wide reads	2
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium	JDFB_BK1_01_062525	Decontaminated read was in sample with fewer than 1 reads	222
Eukaryota	JDFB_BK1_01_062525	Decontaminated read was in sample with fewer than 1 reads	1245
Fungi;Ascomycota;Eurotiomycetes;Eurotiales	JDFB_BK1_01_062525	Decontaminated read was in sample with fewer than 1 reads	2
Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula;Rhodotorula taiwanensis	JDFB_BK1_01_062525	Decontaminated read was in sample with fewer than 1 reads	2027
Fungi;Basidiomycota;Agaricomycetes;Agaricales	JDFB_BK1_01_062525	Decontaminated read was in sample with fewer than 1 reads	50
Eukaryota	JDFB_BK1_03_062625	Decontaminated read was in sample with fewer than 1 reads	1073
Protozoa;NA;Heterolobosea;Schizopyrenida;Vahlkampfiidae;Naegleria;Naegleria clarki	JDFB_BK1_03_062625	Decontaminated read was in sample with fewer than 1 reads	289
Fungi;Ascomycota;Leotiomycetes	JDFB_BK1_03_062625	Decontaminated read was in sample with fewer than 1 reads	7
Animalia;Arthropoda	JDFB_BK1_03_062625	Decontaminated read was in sample with fewer than 1 reads	182
Protozoa;NA;Heterolobosea;Schizopyrenida;Vahlkampfiidae;Naegleria	JDFB_BK1_03_062625	Decontaminated read was in sample with fewer than 1 reads	38
Chromista;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium cf. depressum	JDFB_BK1_03_062625	Decontaminated read was in sample with fewer than 1 reads	39
Animalia;Nemertea;Anopla;Heteronemertea;Lineidae;Maculaura;Maculaura alaskensis	JDFB_BK1_03_062625	Decontaminated read was in sample with fewer than 1 reads	781
Fungi;Basidiomycota;Agaricomycetes;Boletales;Boletaceae;Boletus	JDFB_BK1_03_062625	Decontaminated read was in sample with fewer than 1 reads	16
Eukaryota	JDFB_BK1_05_072425	Decontaminated read was in sample with fewer than 1 reads	5
Eukaryota	JDFB_BK1_06_073025	Decontaminated read was in sample with fewer than 1 reads	13
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium	JDFB_BK1_08_082625	Decontaminated read was in sample with fewer than 1 reads	25
Animalia;Arthropoda;Insecta	JDFB_BK1_08_082625	Decontaminated read was in sample with fewer than 1 reads	3
Animalia;Arthropoda;Arachnida;Trombidiformes;Demodicidae;Demodex;Demodex folliculorum	JDFB_BK1_08_082625	Decontaminated read was in sample with fewer than 1 reads	8
Eukaryota	JDFB_BK1_08_082625	Decontaminated read was in sample with fewer than 1 reads	213
Chromista;NA;Dinophyceae	JDFB_BK1_10_082725	Decontaminated read was in sample with fewer than 1 reads	3
Chromista;Bacillariophyta;Mediophyceae;Cymatosirales;Cymatosiraceae;Minutocellus;Minutocellus polymorphus	JDFB_BK1_10_082725	Decontaminated read was in sample with fewer than 1 reads	20
