"sample_id"	"reads"	"percentage of overall results"	"notes"
"JDFB_01_062425"	11219	0.0033232963995894382	""
"JDFB_02_062425"	22822	0.006760341423605505	""
"JDFB_03_062525"	14870	0.004404796992770741	""
"JDFB_04_062525"	18802	0.005569535511639239	""
"JDFB_05_062525"	14527	0.004303193403764664	""
"JDFB_06_062525"	13311	0.003942989426413674	""
"JDFB_07_062525"	15692	0.004648290141933993	""
"JDFB_08_062525"	34794	0.010306691766406535	""
"JDFB_09_062525"	21376	0.006332006759748983	""
"JDFB_10_062525"	19740	0.005847390224431368	""
"JDFB_11_062525"	24254	0.007184529002196473	""
"JDFB_12_062525"	34434	0.010200052431006572	""
"JDFB_13_062525"	18427	0.0054584528705976096	""
"JDFB_14_062525"	14691	0.004351773545446871	""
"JDFB_15_062625"	13818	0.004093173157101958	""
"JDFB_16_062625"	23032	0.006822547702588818	""
"JDFB_17_062625"	26540	0.007861688781986245	""
"JDFB_18_062625"	31742	0.009402627178515728	""
"JDFB_19_062625"	16481	0.004882008018685581	""
"JDFB_20_062625"	19932	0.005904264536644682	""
"JDFB_21_062625"	15188	0.004498995072374043	""
"JDFB_22_062625"	20204	0.005984836478946877	""
"JDFB_23_062625"	48358	0.014324624947976296	""
"JDFB_24_062625"	24638	0.007298277626623102	""
"JDFB_25_062625"	24603	0.007287909913459217	""
"JDFB_26_062625"	20232	0.0059931306494779854	""
"JDFB_27_062625"	19941	0.005906930520029681	""
"JDFB_28_062625"	24511	0.007260657638857004	""
"JDFB_29_062625"	14277	0.004229138309736912	""
"JDFB_30_072425"	22285	0.006601271081633892	""
"JDFB_31_072425"	24628	0.007295315422861992	""
"JDFB_32_073025"	17912	0.005305899376900438	""
"JDFB_33_073025"	8014	0.0023739100941536466	""
"JDFB_34_073025"	20206	0.005985428919699099	""
"JDFB_35_073025"	25865	0.007661740028111313	""
"JDFB_36_073025"	16424	0.004865123457247254	""
"JDFB_37_073025"	25119	0.007440759627532499	""
"JDFB_38_082625"	21189	0.006276613549416223	""
"JDFB_39_082625"	30588	0.00906078886448362	""
"JDFB_40_082625"	5696	0.0016872712623283218	""
"JDFB_41_082625"	14870	0.004404796992770741	""
"JDFB_42_082625"	20139	0.005965582154499661	""
"JDFB_43_082625"	23364	0.006920892867457673	""
"JDFB_44_082625"	22033	0.006526623546853917	""
"JDFB_45_082725"	34948	0.010352309704327631	""
"JDFB_46_082725"	20746	0.006145387922799045	""
"JDFB_47_082725"	35859	0.010622166466964763	""
"JDFB_48_082725"	22475	0.006657552953094984	""
"JDFB_49_082725"	23361	0.00692000420632934	""
"JDFB_50_082725"	36684	0.010866548277256347	""
"JDFB_51_082725"	15356	0.004548760095560693	""
"JDFB_52_082725"	17785	0.00526827938913434	""
"JDFB_53_082725"	54920	0.016268423056016754	""
"JDFB_54_082725"	16441	0.00487015920364114	""
"JDFB_55_082725"	17876	0.005295235443360442	""
"JDFB_56_082735"	23122	0.006849207536438809	""
"JDFB_57_082825"	20787	0.006157532958219597	""
"JDFB_58_082825"	29950	0.008871800264524795	""
"JDFB_59_082825"	30320	0.00898140180368587	""
"JDFB_60_082825"	17176	0.005087881180082734	""
"JDFB_61_082825"	28277	0.008376223575291074	""
"JDFB_62_082825"	28445	0.008425988598477723	""
"JDFB_63_082825"	36931	0.010939714710155767	""
"JDFB_64_082825"	17779	0.005266502066877674	""
"JDFB_65_082825"	20116	0.005958769085849108	""
"JDFB_66_082825"	33595	0.009951523535449432	""
"JDFB_67_082825"	19903	0.005895674145737462	""
"JDFB_68_082825"	26074	0.007723650086718515	""
"JDFB_69_082825"	17721	0.0052493212850632355	""
"JDFB_70_082825"	15374	0.004554092062330691	""
"JDFB_71_092325"	19285	0.005712609953300857	""
"JDFB_72_092325"	4759	0.0014097127699123039	""
"JDFB_73_092425"	17095	0.005063887329617742	""
"JDFB_74_092425"	24258	0.007185713883700918	""
"JDFB_75_092425"	26072	0.007723057645966293	""
"JDFB_76_092425"	15353	0.00454787143443236	""
"JDFB_77_092425"	23853	0.007065744631375958	""
"JDFB_78_092425"	21699	0.006427685941232839	""
"JDFB_79_092525"	30645	0.009077673425921948	""
"JDFB_80_092525"	16027	0.004747523967931181	""
"JDFB_81_092525"	27725	0.008212709927677794	""
"JDFB_82_092525"	15383	0.00455675804571569	""
"JDFB_83_092525"	17678	0.005236583808890462	""
"JDFB_84_092525"	16674	0.004939178551275006	""
"JDFB_85_092525"	16836	0.00498716625220499	""
"JDFB_86_092525"	19931	0.005903968316268571	""
"JDFB_87_092525"	35147	0.010411257559173723	""
"JDFB_88_092525"	24408	0.0072301469401175695	""
"JDFB_89_092525"	22448	0.0066495550029399865	""
"JDFB_90_092525"	23413	0.006935407665887113	""
"JDFB_BK1_01_062525"	16242	0.004811211348795049	""
"JDFB_BK1_03_062625"	20379	0.006036675044766304	""
"JDFB_BK1_05_072425"	12630	0.003741263350282076	""
"JDFB_BK1_06_073025"	8721	0.0025833379000641315	""
"JDFB_BK1_08_082625"	3494	0.0010349939941318744	""
"JDFB_BK1_10_082725"	18247	0.005405133202897627	""
"JDFB_BK1_12_082825"	18191	0.005388544861835411	""
"JDFB_BK1_14_092425"	23001	0.006813364870929376	""
"JDFB_BK1_16_092525"	19540	0.005788146149209165	""
"JDFB_BK2_02_062525"	4162	0.00123286920537403	""
"JDFB_BK2_04_062625"	16082	0.004763816088617288	""
"JDFB_BK2_07_073025"	5318	0.0015752999601583593	""
"JDFB_BK2_09_082625"	31467	0.0093211665750852	""
"JDFB_BK2_11_082725"	22653	0.0067102801800427445	""
"JDFB_BK2_13_082825"	17448	0.005168453122384929	""
"JDFB_BK2_15_092425"	50227	0.014878260830927777	""
"JDFB_BK2_17_092525"	23066	0.006832619195376592	""
"OAK_01_072825"	4028	0.0011931756749751544	""
"OAK_02_072825"	33224	0.009841625775912247	""
"OAK_03_072825"	33712	0.009986181319454421	""
"OAK_04_072825"	23437	0.0069425169549137775	""
"OAK_05_072825"	21282	0.006304162044394547	""
"OAK_06_072825"	42359	0.012547598911686338	""
"OAK_07_072825"	21654	0.0064143560243078435	""
"OAK_08_072825"	18821	0.005575163698785348	""
"OAK_BK1_01_072825"	24700	0.007316643289941985	""
"OAK_BK2_02_072825"	25489	0.007550361166693573	""
"PBN_TOW_BTM_15m_092425"	20769	0.006152200991449599	""
"PBN_TOW_BTM_3m_092425"	26032	0.007711208830921852	""
"PBN_TOW_PORT_15m_092425"	19583	0.005800883625381939	""
"PBN_TOW_PORT_3m_092425"	24655	0.007303313373016989	""
"PBN_TOW_STBD_15m_092425"	28601	0.00847219897715104	""
"PBN_TOW_STBD_3m_092425"	19305	0.005718534360823078	""
"PG_PCR_Blank_2"	1783	0.0005281609306059335	""
"PG_ext_blank_1"	6073	0.001798946344122173	""
"PG_ext_blank_2"	22910	0.006786408816703274	""
"PTBAY_TOW_BTM_8m_092225"	24166	0.007158461609098704	""
"PTBAY_TOW_PORT_8m_092225"	22694	0.006722425215463295	""
"PTBAY_TOW_STBD_8m_092225"	32515	0.00963160552924954	""
"SJI_01_072125"	38408	0.01137723220567173	""
"SJI_02_072125"	23918	0.0070849989558231736	""
"SJI_03_072125"	28591	0.00846923677338993	""
"SJI_04_072125"	30838	0.009134843958511373	""
"SJI_05_072125"	41172	0.012195985325242567	""
"SJI_06_072125"	28469	0.008433097887504386	""
"SJI_07_072125"	18606	0.00551147631792148	""
"SJI_08_072125"	20958	0.0062081866425345794	""
"SJI_BK1_01_072125"	17367	0.005144459271919938	""
"SJI_BK2_02_072125"	27597	0.008174793719535585	""
"SQU_01_072925"	25602	0.007583834069194117	""
"SQU_02_072925"	27800	0.00823492645588612	""
"SQU_03_072925"	43189	0.012793461823858477	""
"SQU_04_072925"	37496	0.011107079222658488	""
"SQU_05_072925"	30252	0.00896125881811032	""
"SQU_06_072925"	23985	0.007104845721022612	""
"SQU_07_072925"	26870	0.00795944150610288	""
"SQU_08_072925"	30938	0.009164465996122475	""
"SQU_BK1_01_072925"	23896	0.007078482107548732	""
"SQU_BK2_02_072925"	19755	0.005851833530073033	""
