taxonomy,number_of_samples_observed,total_reads_observed_across_dataset
Animalia;Chordata;Actinopteri;Argentiniformes,1,1
Animalia;Chordata;Mammalia;Eulipotyphla;Soricidae;Chodsigoa;Chodsigoa sodalis,1,1
Animalia;Chordata;Mammalia;Rodentia;Cricetidae;Neotoma,1,1
Animalia;Chordata;Aves;Apodiformes;Apodidae,3,3
Animalia;Chordata;Aves;Charadriiformes;Scolopacidae,4,4
Animalia;Chordata;Actinopteri;Syngnathiformes,1,1
Animalia;Chordata;Aves;Anseriformes;Anatidae;Nomonyx;Nomonyx dominicus,1,1
Animalia;Chordata;Mammalia,3,3
Animalia;Chordata;Mammalia;Lagomorpha;Ochotonidae;Ochotona,5,5
Animalia;Chordata;Actinopteri;Anguilliformes;Nemichthyidae;Nemichthys;Nemichthys scolopaceus,1,1
Animalia;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus guttatus,2,2
Animalia;Chordata;Actinopteri;Perciformes;Serranidae;Variola,1,1
Animalia;Chordata;Aves;Gruiformes;Rallidae;Porphyrio;Porphyrio flavirostris,1,1
Animalia;Chordata;Amphibia;Caudata;Salamandridae;Lyciasalamandra;Lyciasalamandra helverseni,5,5
Animalia;Chordata;Actinopteri;Cichliformes;Cichlidae;Andinoacara,1,1
Animalia;Chordata;Mammalia;Primates;Cercopithecidae;Theropithecus;Theropithecus gelada,18,18
Animalia;Chordata;Aves;Anseriformes;Anatidae,2,2
Animalia;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Hippoglossoides,2,2
Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salmo,3,3
Animalia;Chordata;Mammalia;Rodentia;Gliridae;Eliomys,3,3
Animalia;Chordata;Amphibia;Caudata;Proteidae;Necturus;Necturus maculosus,1,1
Animalia;Chordata;Actinopteri;Uranoscopiformes;Ammodytidae;Hyperoplus;Hyperoplus immaculatus,1,1
Animalia;Chordata;Mammalia;Rodentia;Cricetidae;Microtus;Microtus californicus,1,1
Animalia;Chordata;Aves;Passeriformes;Timaliidae;Illadopsis,2,2
Animalia;Chordata;Mammalia;Rodentia;Cricetidae;Oecomys;Oecomys bicolor,1,1
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Gazella,1,1
Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae;Dictyosoma;Dictyosoma rubrimaculatum,1,1
Animalia;Chordata;Actinopteri;Perciformes;Triglidae,2,2
Animalia;Chordata;Actinopteri;Perciformes;Serranidae,4,4
Animalia;Chordata;Actinopteri;Cypriniformes,1,1
Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Thymallus,3,3
Animalia;Chordata;Aves;Trogoniformes;Trogonidae,1,1
Animalia;Chordata;Aves,2,2
Animalia;Chordata;Amphibia;Caudata;Plethodontidae;Plethodon;Plethodon shenandoah,1,1
Animalia;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Lutjanus;Lutjanus biguttatus,1,1
Animalia;Chordata;Actinopteri;Cichliformes;Cichlidae,3,3
Animalia;Chordata;Aves;Charadriiformes;Charadriidae;Vanellus;Vanellus chilensis,1,1
Animalia;Chordata;Aves;Passeriformes;Dendrocolaptidae,2,2
Animalia;Chordata;Aves;Passeriformes;Hirundinidae;Tachycineta;Tachycineta bicolor,1,1
Animalia;Chordata;Actinopteri;Anabantiformes;Channidae;Channa,1,1
Animalia;Chordata;Actinopteri;Gobiiformes;Gobiidae;Trimma;Trimma benjamini,3,3
Animalia;Chordata;Actinopteri;Gadiformes,1,1
Animalia;Chordata;Actinopteri;Perciformes;Hexagrammidae,1,1
Animalia;Chordata;Mammalia;Chiroptera;Pteropodidae;Eonycteris;Eonycteris spelaea,3,3
Animalia;Chordata;Actinopteri;NA;Pomacanthidae;Holacanthus;Holacanthus africanus,1,1
Animalia;Chordata;Mammalia;Lagomorpha;Leporidae;Oryctolagus;Oryctolagus cuniculus,2,2
Animalia;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis,1,1
Animalia;Chordata;Mammalia;Lagomorpha;Leporidae;Lepus,9,9
Animalia;Chordata;Actinopteri;Gadiformes;Gadidae;Boreogadus;Boreogadus saida,2,2
Animalia;Chordata;Mammalia;Chiroptera;Vespertilionidae;Myotis,3,3
Animalia;Chordata;Mammalia;Carnivora;Herpestidae,1,1
Animalia;Chordata;Mammalia;Chiroptera;Pteropodidae;Balionycteris;Balionycteris maculata,16,16
Animalia;Chordata;Mammalia;Eulipotyphla;Talpidae;Talpa,6,6
Animalia;Chordata;Mammalia;Didelphimorphia,1,1
Animalia;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Lutjanus;Lutjanus bengalensis,2,2
Animalia;Chordata;Actinopteri;Pleuronectiformes,1,1
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Muntiacus;Muntiacus sp. BOR5,1,1
Animalia;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera leo,1,1
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Martes;Martes foina,6,6
Animalia;Chordata;Mammalia;Perissodactyla;Equidae,1,1
Animalia;Chordata;Lepidosauria;Squamata;Scincidae;Sphenomorphus;Sphenomorphus sp. steerei 5 CWL-2011,1,1
Animalia;Chordata;Chondrichthyes;Chimaeriformes;Chimaeridae,1,1
Animalia;Chordata;Aves;Passeriformes;Vangidae;Tylas;Tylas eduardi,1,1
Animalia;Chordata;Mammalia;Didelphimorphia;Didelphidae,2,2
Animalia;Chordata;Aves;Charadriiformes,9,9
Animalia;Chordata;Actinopteri;Perciformes;Percidae;Perca;Perca flavescens,1,1
Animalia;Chordata;Mammalia;Artiodactyla;Phocoenidae;Phocoena;Phocoena phocoena,2,2
Animalia;Chordata;Mammalia;Carnivora;Canidae;Canis;Canis lupus,4,4
Animalia;Chordata;Actinopteri;Perciformes;Percidae,2,2
Animalia;Chordata;Actinopteri;Anabantiformes;Osphronemidae,1,1
Animalia;Chordata;Actinopteri;Pempheriformes;Pentacerotidae;Histiopterus;Histiopterus typus,4,4
Animalia;Chordata;Actinopteri;Perciformes;Pholidae;Pholis;Pholis gunnellus,2,2
Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes,1,1
Animalia;Chordata;Aves;Passeriformes;Cardinalidae;Cardinalis;Cardinalis cardinalis,1,1
Animalia;Chordata;Actinopteri;Clupeiformes;Clupeidae,3,3
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae,6,6
Animalia;Chordata;Mammalia;Primates;Tarsiidae;Carlito;Carlito syrichta,1,1
Animalia;Chordata;Mammalia;Didelphimorphia;Didelphidae;Didelphis;Didelphis marsupialis,1,1
Animalia;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens,2,2
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Artedius,1,1
Animalia;Chordata;Aves;Sphenisciformes;Spheniscidae;Eudyptula,2,2
Animalia;Chordata;Aves;Charadriiformes;Alcidae;Uria;Uria aalge,1,1
Animalia;Chordata;Aves;Gruiformes;Rallidae;Porzana,1,1
Animalia;Chordata;Actinopteri;Siluriformes;Loricariidae,3,3
Animalia;Chordata;Aves;Charadriiformes;Alcidae,4,4
Animalia;Chordata;Actinopteri;Siluriformes;Trichomycteridae,1,1
Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae;Lumpenus;Lumpenus sagitta,1,1
Animalia;Chordata;Mammalia;Primates;Galagidae;Galago;Galago senegalensis,8,8
Animalia;Chordata;Mammalia;Chiroptera;Pteropodidae;Pteropus,1,1
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Mazama;Mazama nemorivaga,2,2
Animalia;Chordata;Actinopteri;Labriformes,2,2
Animalia;Chordata;Actinopteri;Characiformes,3,3
Animalia;Chordata;Mammalia;Eulipotyphla;Talpidae,4,4
Animalia;Chordata;Actinopteri;Perciformes;Percidae;Etheostoma,3,3
Animalia;Chordata;Aves;Columbiformes;Columbidae;Streptopelia;Streptopelia orientalis,1,1
Animalia;Chordata;Aves;Pelecaniformes;Phalacrocoracidae;Phalacrocorax;Phalacrocorax featherstoni,1,1
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Rupicapra,1,1
Animalia;Chordata;Actinopteri;Centrarchiformes;Sinipercidae;Siniperca,5,5
Animalia;Chordata;Mammalia;Rodentia;Bathyergidae,1,1
Animalia;Chordata;Mammalia;Primates;Hylobatidae;Nomascus,4,4
Animalia;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Aphareus;Aphareus furca,2,2
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Hemilepidotus;Hemilepidotus hemilepidotus,2,2
Animalia;Chordata;Aves;Galliformes;Numididae;Guttera;Guttera pucherani,1,1
Animalia;Chordata;Actinopteri;Cichliformes;Cichlidae;Sarotherodon;Sarotherodon mvogoi,1,1
Animalia;Chordata;Actinopteri;Perciformes;Gasterosteidae,1,1
Animalia;Chordata;Mammalia;Cingulata;Chlamyphoridae,1,1
Animalia;Chordata;Actinopteri;Cyprinodontiformes,2,2
Animalia;Chordata;Aves;Psittaciformes;Psittacidae;Triclaria;Triclaria malachitacea,1,1
Animalia;Chordata;Actinopteri;Perciformes;Peristediidae,3,3
Animalia;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea,1,1
Animalia;Chordata;Actinopteri;Perciformes;Zoarcidae;Lycozoarces;Lycozoarces regani,3,3
Animalia;Chordata;Actinopteri;NA;Embiotocidae,2,2
Animalia;Chordata;Mammalia;Primates;Lemuridae;Eulemur,11,11
Animalia;Chordata;Aves;Psittaciformes;Psittacidae,3,3
Animalia;Chordata;Mammalia;Rodentia;Heteromyidae;Chaetodipus;Chaetodipus californicus,3,3
Animalia;Chordata;Actinopteri;Uranoscopiformes;Ammodytidae,1,1
Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae;Stichaeus,1,1
Animalia;Chordata;Mammalia;Chiroptera;Vespertilionidae;Pipistrellus;Pipistrellus kuhlii,1,1
Animalia;Chordata;Actinopteri;Cypriniformes;Cyprinidae,1,1
Animalia;Chordata;Actinopteri;Gobiiformes;Eleotridae;Philypnodon,1,1
Animalia;Chordata;Actinopteri;Siluriformes;Ariidae,2,2
Animalia;Chordata;Mammalia;Rodentia;Gliridae;Dryomys,2,2
