"sample_id"	"reads"	"percentage of overall results"	"notes"
"JDFB_01_062425"	38302	0.006018891733177448	""
"JDFB_02_062425"	22875	0.003594646451789309	""
"JDFB_03_062525"	40116	0.006303949161092019	""
"JDFB_04_062525"	29360	0.004613718899433185	""
"JDFB_04_062525"	6	9.428580857152287e-7	"sample did not have any recorded observations for any assignments"
"JDFB_05_062525"	45491	0.007148592862878578	""
"JDFB_06_062525"	26178	0.0041136898279755425	""
"JDFB_07_062525"	4951	0.0007780150637293496	""
"JDFB_08_062525"	53380	0.008388294102579817	""
"JDFB_08_062525"	11	1.7285731571445858e-6	"sample did not have any recorded observations for any assignments"
"JDFB_09_062525"	58034	0.009119637691066263	""
"JDFB_09_062525"	2	3.142860285717429e-7	"sample did not have any recorded observations for any assignments"
"JDFB_10_062525"	75051	0.011793740365168937	""
"JDFB_10_062525"	7	1.1000011000011001e-6	"sample did not have any recorded observations for any assignments"
"JDFB_11_062525"	64627	0.010155681584253014	""
"JDFB_12_062525"	61792	0.009710181138752568	""
"JDFB_13_062525"	74021	0.01163188306045449	""
"JDFB_14_062525"	54990	0.008641294355580071	""
"JDFB_15_062625"	32861	0.005163876592448022	""
"JDFB_16_062625"	71781	0.011279882708454137	""
"JDFB_16_062625"	7	1.1000011000011001e-6	"sample did not have any recorded observations for any assignments"
"JDFB_17_062625"	34724	0.0054566340280626	""
"JDFB_18_062625"	26261	0.00412673269816127	""
"JDFB_19_062625"	4134	0.0006496292210577925	""
"JDFB_20_062625"	43454	0.0068284925427782575	""
"JDFB_21_062625"	19835	0.00311693168836026	""
"JDFB_22_062625"	44368	0.006972121257835544	""
"JDFB_22_062625"	6	9.428580857152287e-7	"sample did not have any recorded observations for any assignments"
"JDFB_23_062625"	37351	0.005869448726591584	""
"JDFB_24_062625"	33611	0.005281733853162425	""
"JDFB_24_062625"	2	3.142860285717429e-7	"sample did not have any recorded observations for any assignments"
"JDFB_25_062625"	53974	0.008481637053065625	""
"JDFB_26_062625"	26537	0.00417010417010417	""
"JDFB_27_062625"	30798	0.004839690553976268	""
"JDFB_28_062625"	44503	0.006993335564764136	""
"JDFB_29_062625"	41886	0.006582092296378011	""
"JDFB_29_062625"	2	3.142860285717429e-7	"sample did not have any recorded observations for any assignments"
"JDFB_30_072425"	49420	0.007766007766007767	""
"JDFB_31_072425"	58796	0.009239380667952097	""
"JDFB_31_072425"	3	4.7142904285761435e-7	"sample did not have any recorded observations for any assignments"
"JDFB_32_073025"	50317	0.007906965049822193	""
"JDFB_33_073025"	46153	0.007252621538335825	""
"JDFB_34_073025"	36500	0.005735720021434307	""
"JDFB_35_073025"	1584	0.00024891453462882036	""
"JDFB_36_073025"	50166	0.007883236454665026	""
"JDFB_36_073025"	2	3.142860285717429e-7	"sample did not have any recorded observations for any assignments"
"JDFB_37_073025"	62143	0.00976533833676691	""
"JDFB_38_082625"	56573	0.008890051747194604	""
"JDFB_39_082625"	45656	0.007174521460235747	""
"JDFB_40_082625"	4563	0.0007170435741864314	""
"JDFB_41_082625"	42305	0.006647935219363792	""
"JDFB_42_082625"	59891	0.009411452268595126	""
"JDFB_43_082625"	58972	0.009267037838466411	""
"JDFB_44_082625"	46471	0.0073025930168787315	""
"JDFB_45_082725"	58449	0.0091848520419949	""
"JDFB_46_082725"	11773	0.0018500447071875645	""
"JDFB_47_082725"	43554	0.0068442068442068444	""
"JDFB_48_082725"	56584	0.008891780320351749	""
"JDFB_49_082725"	50881	0.007995593709879425	""
"JDFB_50_082725"	37049	0.005821991536277251	""
"JDFB_51_082725"	69139	0.010864710864710865	""
"JDFB_52_082725"	725	0.0001139286853572568	""
"JDFB_53_082725"	68740	0.010802010802010802	""
"JDFB_54_082725"	142906	0.022456679599536743	""
"JDFB_55_082725"	49432	0.007767893482179197	""
"JDFB_56_082735"	50844	0.007989779418350848	""
"JDFB_57_082825"	73104	0.011487782916354345	""
"JDFB_58_082825"	45108	0.007088407088407089	""
"JDFB_59_082825"	2370	0.0003724289438575153	""
"JDFB_60_082825"	40805	0.006412220697934984	""
"JDFB_61_082825"	1466	0.00023037165894308753	""
"JDFB_62_082825"	37673	0.005920048777191635	""
"JDFB_63_082825"	58502	0.009193180621752051	""
"JDFB_64_082825"	23716	0.003726803726803727	""
"JDFB_65_082825"	56497	0.008878108878108878	""
"JDFB_65_082825"	2	3.142860285717429e-7	"sample did not have any recorded observations for any assignments"
"JDFB_66_082825"	57278	0.009000837572266144	""
"JDFB_67_082825"	71647	0.011258825544539832	""
"JDFB_67_082825"	9	1.414287128572843e-6	"sample did not have any recorded observations for any assignments"
"JDFB_68_082825"	42158	0.006624835196263768	""
"JDFB_69_082825"	58022	0.009117751974894832	""
"JDFB_70_082825"	55822	0.008772037343465915	""
"JDFB_71_092325"	303	0.00004761433332861905	""
"JDFB_72_092325"	1826	0.0002869431440860013	""
"JDFB_73_092425"	10048	0.0015789730075444362	""
"JDFB_74_092425"	41554	0.006529920815635102	""
"JDFB_75_092425"	48114	0.007560778989350418	""
"JDFB_76_092425"	48209	0.007575707575707576	""
"JDFB_77_092425"	61547	0.00967168110025253	""
"JDFB_78_092425"	66276	0.010414810414810415	""
"JDFB_79_092525"	80397	0.012633826919541206	""
"JDFB_80_092525"	25849	0.004061989776275491	""
"JDFB_81_092525"	63496	0.009977952835095692	""
"JDFB_82_092525"	52794	0.008296208296208297	""
