taxonomic_path	common_name	% samples positive in project
Animalia;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens	Human	97.52
Animalia;Chordata;Actinopteri	Chordates	73.55
Animalia;Chordata;Actinopteri;Perciformes;Cottidae	Bullheads	14.88
Eukaryota	""	85.12
Animalia;Chordata;Mammalia;Rodentia;Cricetidae	Hamsters, Voles, Lemmings, And Allies	10.74
Animalia;Chordata;Mammalia;Primates;Hominidae;Pan;Pan troglodytes	Chimpanzee	56.2
Animalia;Chordata;Mammalia;Primates;Hominidae;Pan;Pan paniscus	Bonobo	64.46
Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus tshawytscha	Chinook salmon	8.26
Animalia;Chordata	Chordates	98.35
Animalia;Chordata;Actinopteri;Perciformes;Pholidae;Pholis	Gunnels	8.26
Animalia;Chordata;Amphibia;Anura;Megophryidae;Leptobrachium	""	0.83
Animalia;Chordata;Mammalia;Primates;Hominidae	Great Apes	88.43
Animalia;Chordata;Actinopteri;Perciformes;Anoplopomatidae	""	3.31
Animalia;Chordata;Mammalia;Chiroptera	Bats	15.7
Animalia;Chordata;Mammalia;Eulipotyphla;Soricidae	Shrew	11.57
Animalia;Chordata;Mammalia;Primates;Hominidae;Gorilla;Gorilla gorilla	Lowland Gorilla	28.1
Animalia;Chordata;Amphibia;Gymnophiona;Siphonopidae	Caecilians	28.93
Animalia;Chordata;Aves;Charadriiformes;Scolopacidae	Sandpiper	4.96
Animalia;Chordata;Aves;Passeriformes;Icteridae	""	0.83
Animalia;Chordata;Mammalia;Primates;Hominidae;Homo	Hominoids	28.1
Animalia;Chordata;Aves;Strigiformes;Strigidae;Ninox	Owls	3.31
Animalia;Chordata;Aves;Sphenisciformes;Spheniscidae	Penguins	6.61
Animalia;Chordata;Mammalia	Mammals	98.35
Animalia;Chordata;Mammalia;Rodentia;Cricetidae;Microtus	Meadow Mice	11.57
Animalia;Chordata;Actinopteri;Perciformes;Cyclopteridae;Lethotremus;Lethotremus awae	Coast lumpfish	3.31
Animalia;Chordata;Actinopteri;Gobiiformes;Gobiidae	Goby	10.74
Animalia;Chordata;Mammalia;Primates	Primates	83.47
Animalia;Chordata;Mammalia;Primates;Lemuridae;Eulemur	Brown lemurs	18.18
Animalia;Chordata;Mammalia;Chiroptera;Pteropodidae;Cynopterus	""	67.77
Animalia;Chordata;Mammalia;Artiodactyla	Artiodactyls	33.88
Animalia;Chordata;Mammalia;Primates;Hominidae;Pan	Chimpanzees	21.49
Animalia;Chordata;Actinopteri;Uranoscopiformes;Ammodytidae;Ammodytes;Ammodytes marinus	Launce	11.57
Animalia;Chordata;Mammalia;Artiodactyla;Giraffidae;Giraffa;Giraffa tippelskirchi	""	0.83
Animalia;Chordata;Mammalia;Primates;Hominidae;Pongo;Pongo pygmaeus	Bornean Orangutan	37.19
Animalia;Chordata;Actinopteri;Labriformes;Labridae	Wrasse	7.44
Animalia;Chordata;Mammalia;Lagomorpha;Leporidae	""	14.88
Animalia;Chordata;Actinopteri;Gobiiformes;Gobiidae;Trimma;Trimma benjamini	""	2.48
Animalia;Chordata;Aves;Passeriformes;Timaliidae;Gampsorhynchus;Gampsorhynchus rufulus	White-hooded Babbler	3.31
Animalia;Chordata;Mammalia;Chiroptera;Pteropodidae;Pteropus	Flying foxes	3.31
Animalia;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea	Hering	25.62
Animalia;Chordata;Aves	Birds	18.18
Animalia;Chordata;Actinopteri;Argentiniformes	""	0.83
Animalia;Chordata;Mammalia;Lagomorpha;Leporidae;Lepus	""	5.79
Animalia;Chordata;Actinopteri;Cichliformes;Cichlidae	""	2.48
Animalia;Chordata;Mammalia;Chiroptera;Phyllostomidae	New World leaf-nosed bats	13.22
Animalia;Chordata;Actinopteri;Perciformes	Perch-like fishes	22.31
Animalia;Chordata;Mammalia;Carnivora;Canidae;Canis;Canis lupaster	African Golden Wolf	5.79
Animalia;Chordata;Mammalia;Primates;Galagidae	""	9.09
Animalia;Chordata;Actinopteri;Gadiformes;Gadidae	""	3.31
Animalia;Chordata;Mammalia;Carnivora;Nandiniidae;Nandinia;Nandinia binotata	""	1.65
Animalia;Chordata;Mammalia;Carnivora;Odobenidae;Odobenus;Odobenus rosmarus	Atlantic Walrus	11.57
Animalia;Chordata;Aves;Gruiformes;Heliornithidae;Podica;Podica senegalensis	African Finfoot	1.65
Animalia;Chordata;Mammalia;Primates;Indriidae;Propithecus	""	0.83
Animalia;Chordata;Aves;Galliformes;Phasianidae;Lophophorus;Lophophorus impejanus	""	3.31
Animalia;Chordata;Actinopteri;NA;Pomacanthidae;Pomacanthus;Pomacanthus navarchus	""	0.83
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae	Bovine	47.11
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bos	Cattle	24.79
Animalia;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sauvagella;Sauvagella robusta	Hering	19.01
Animalia;Chordata;Mammalia;Carnivora	Carnivores	22.31
Animalia;Chordata;Aves;Gruiformes	Cranes	4.13
Animalia;Chordata;Mammalia;Rodentia;Cricetidae;Microtus;Microtus subterraneus	Common Pine Vole	8.26
Animalia;Chordata;Mammalia;Carnivora;Felidae;Panthera	Roaring cats	9.92
Animalia;Chordata;Mammalia;Lagomorpha;Leporidae;Sylvilagus;Sylvilagus bachmani	""	17.36
Animalia;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea harengus	Atlantic herring	24.79
Animalia;Chordata;Mammalia;Rodentia;Cricetidae;Euryoryzomys;Euryoryzomys sp. ALA-2015	Hamsters, Voles, Lemmings, And Allies	5.79
Animalia;Chordata;Mammalia;Artiodactyla;Suidae	Hogs	11.57
