taxonomic_path	common_name	JDFB_01_062425	JDFB_02_062425	JDFB_03_062525	JDFB_04_062525	JDFB_05_062525	JDFB_06_062525	JDFB_07_062525	JDFB_08_062525	JDFB_09_062525	JDFB_10_062525	JDFB_11_062525	JDFB_12_062525	JDFB_13_062525	JDFB_14_062525	JDFB_15_062625	JDFB_16_062625	JDFB_17_062625	JDFB_18_062625	JDFB_19_062625	JDFB_20_062625	JDFB_21_062625	JDFB_22_062625	JDFB_23_062625	JDFB_24_062625	JDFB_25_062625	JDFB_26_062625	JDFB_27_062625	JDFB_28_062625	JDFB_29_062625	JDFB_30_072425	JDFB_31_072425	JDFB_32_073025	JDFB_33_073025	JDFB_34_073025	JDFB_35_073025	JDFB_36_073025	JDFB_37_073025	JDFB_38_082625	JDFB_39_082625	JDFB_40_082625	JDFB_41_082625	JDFB_42_082625	JDFB_43_082625	JDFB_44_082625	JDFB_45_082725	JDFB_46_082725	JDFB_47_082725	JDFB_48_082725	JDFB_49_082725	JDFB_50_082725	JDFB_51_082725	JDFB_52_082725	JDFB_53_082725	JDFB_54_082725	JDFB_55_082725	JDFB_56_082735	JDFB_57_082825	JDFB_58_082825	JDFB_59_082825	JDFB_60_082825	JDFB_61_082825	JDFB_62_082825	JDFB_63_082825	JDFB_64_082825	JDFB_65_082825	JDFB_66_082825	JDFB_67_082825	JDFB_68_082825	JDFB_69_082825	JDFB_70_082825	JDFB_71_092325	JDFB_72_092325	JDFB_73_092425	JDFB_74_092425	JDFB_75_092425	JDFB_76_092425	JDFB_77_092425	JDFB_78_092425	JDFB_79_092525	JDFB_80_092525	JDFB_81_092525	JDFB_82_092525	JDFB_83_092525	JDFB_84_092525	JDFB_85_092525	JDFB_86_092525	JDFB_87_092525	JDFB_88_092525	JDFB_89_092525	JDFB_90_092525	JDFB_BK1_01_062525	JDFB_BK1_03_062625	JDFB_BK1_05_072425	JDFB_BK1_06_073025	JDFB_BK1_08_082625	JDFB_BK1_10_082725	JDFB_BK1_12_082825	JDFB_BK1_14_092425	JDFB_BK1_16_092525	JDFB_BK2_02_062525	JDFB_BK2_04_062625	JDFB_BK2_07_073025	JDFB_BK2_09_082625	JDFB_BK2_11_082725	JDFB_BK2_13_082825	JDFB_BK2_15_092425	JDFB_BK2_17_092525	OAK_01_072825	OAK_02_072825	OAK_03_072825	OAK_04_072825	OAK_05_072825	OAK_06_072825	OAK_07_072825	OAK_08_072825	OAK_BK1_01_072825	OAK_BK2_02_072825	PBN_TOW_BTM_15m_092425	PBN_TOW_BTM_3m_092425	PBN_TOW_PORT_15m_092425	PBN_TOW_PORT_3m_092425	PBN_TOW_STBD_15m_092425	PBN_TOW_STBD_3m_092425	PG_PCR_Blank_2	PG_ext_blank_1	PG_ext_blank_2	PTBAY_TOW_BTM_8m_092225	PTBAY_TOW_PORT_8m_092225	PTBAY_TOW_STBD_8m_092225	SJI_01_072125	SJI_02_072125	SJI_03_072125	SJI_04_072125	SJI_05_072125	SJI_06_072125	SJI_07_072125	SJI_08_072125	SJI_BK1_01_072125	SJI_BK2_02_072125	SQU_01_072925	SQU_02_072925	SQU_03_072925	SQU_04_072925	SQU_05_072925	SQU_06_072925	SQU_07_072925	SQU_08_072925	SQU_BK1_01_072925	SQU_BK2_02_072925
Animalia;Chordata	Chordates	1.2375332880789514	1.3989071038251366	0.014956625785222853	0.9570844686648502	1.3519157635576267	1.2262204904881964	1.171480508988083	0.035593855376545525	1.361270979081228	0.00666213641390521	1.4606898045708452	1.2444976696012429	1.4198673349454884	1.4238952536824878	1.2020328048446487	1.5003970409997074	1.2700149752332681	1.4051254712311032	0.556361877116594	0.9573341924794035	1.0184018149735317	22.86557879552831	0.7683863885839736	1.3269465353604475	6.871827176047726	0.2750876135207446	0.9123969088901877	1.390917466238231	1.222365468175524	1.79481991096722	1.4303694128852305	1.5422223105511061	0.05850107251966286	1.4328767123287671	0.12626262626262627	0.5262528405693099	1.2439051864248587	1.0976967811500185	1.4193096197652009	1.6874863028709184	0.009455147145727455	1.4008782621762867	4.7225802075561285	1.3556841901400873	1.4576810552789614	0.0	1.4350002296000368	1.3996889580093315	1.4091704172480888	1.0472617344597694	1.6199250784651211	0.0	1.9260983415769566	1.3883251927840679	1.3816960673248098	1.821257178821493	1.2584810680674108	1.5983860955927995	0.5063291139240507	1.4262957970836907	0.06821282401091405	0.18050062378892043	1.7931010905610067	1.269185360094451	0.7965024691576543	1.1417996438423128	0.42151101930297147	1.7505574268229043	1.604563786150081	1.5925620723012432	0.0	8.105147864184008	1.6520700636942676	1.2176926409009963	1.752088789125826	1.5412059988798772	1.335564690399207	1.342869213591647	0.7089816784208366	1.3114627258307865	1.5197807735920372	0.8694169792021821	0.8538798164158395	1.2979456653090453	1.3707051239449726	25.562925595281865	1.3718973198500812	5.005512382693808	1.4987187891067277	4.6747654928494535	1.2533242054819769	1.251209287326669	0.043094160741219564	0.07983844455924483	5.889778800162708	1.5809907791092697	1.9894220971420251	1.5596194970872355	1.3900623085859118	1.3771554218261775	0.6630461214233606	1.4674633134171646	1.3227513227513228	1.7475851550584645	2.0915666244127955	1.5017393999931112	1.34342940889106	1.4142438584629256	0.5490096710165125	0.5089058524173028	1.0986347847160511	1.4579624580300605	0.9849221789883268	0.8684928631402182	1.1362086988137983	0.30936391760356147	0.8005380665693335	1.3070242010287545	1.4560695436199937	1.46922024623803	1.359304932735426	0.13156563100900717	1.333919292712561	1.3464762969361312	1.5563994223672246	1.0858552486674595	0.5443256882034417	3.749191984486102	2.1750335017008555	0.3511020331878196	0.8906761494873627	0.4693954187007135	1.1003105170784393	1.1271867933830904	0.7940153553382768	0.0	4.994157701760748	0.42100846213021886	0.7369578881206788	0.4991374678317921	0.42079715055712275	0.4188788526511756	0.11844365043330635	0.4640406763048272	0.30190660584779966	1.7467411545623837	0.8016905943915202	0.04718687575695613	0.6162940979369106
Animalia;Chordata;Actinopteri	Chordates	0.0026108297216855514	0.017486338797814208	0.0	15.60967302452316	0.0021982370139148402	0.0	0.020197939810139363	0.03934057699512926	0.0017231278216218078	0.0	0.01392606805205255	0.003236664940445365	0.008105807811296793	0.005455537370430988	0.0	2.0882963458296766	0.0028798525515493605	0.003807928106317353	0.0	0.004602568233074055	0.0	0.0022538766678687344	4.200690744558378	0.005950432893993038	0.00555823174120873	0.0	0.0032469640885771805	0.006741118576275756	0.004774865110060641	0.002023472278429786	0.0017007959725151372	0.00596219965419242	0.0	0.005479452054794521	0.0	0.0	0.0016091917030075793	0.003535255333816485	0.006570877869283337	0.0	0.0	0.011687899684426708	0.0	0.004303759333778055	0.01197625280158771	0.0	0.002296000367360059	0.00530185211367171	0.003930740354945854	0.0	0.005785446708804004	0.0	0.0014547570555717196	0.005598085454774467	0.006068943194691698	0.00786720163637794	0.0027358284088421976	0.004433803316484881	0.0	0.0024506800637176815	0.0	0.0	0.0017093432703155448	0.008433125316242199	0.008850027435085048	0.00872935507524704	0.0	0.0047440580672707434	0.013787873565199407	0.0017914084052882376	0.0	0.0	0.0	0.0	0.00831358856050214	0.0	0.006499098250117796	0.00603536725209729	0.0	0.0038686216101203146	0.0062996094242156984	0.00947077319392355	2.958337780624044	0.004475674707962226	0.006645843025187745	0.005882958539849691	0.003535817834665158	0.004033450751566323	0.008938680650735952	0.0	0.010532136180520815	0.0064495324089003546	0.0	0.0	0.002805324505912221	0.009332885354836302	0.2532873987093017	0.0	0.003960291477452741	0.0	3.906946583448164	0.027499312517187072	0.0	0.006354855109303508	0.007456565505927969	0.0	0.01554381134254119	0.0	0.5616791249630475	0.11917415531291267	0.0	1.8049890709151135	0.13375486381322957	0.0	0.0022724173976275963	0.0018863653512412285	0.003280893715448088	0.004216207100092757	0.1272896615957777	27.745554035567714	0.03736920777279522	45.01568667138954	0.1654473541348913	0.01016208525989533	0.002674225811627534	0.006607638430025108	0.014175148130297962	6.257272139625081	1.896711679208329	0.013349887193453213	0.016617092341182138	0.001877581674802854	6.086584762161919	14.06178275727231	0.0	0.0	0.0060437567992263986	0.002797398419469893	0.0015713387806411063	0.014139871609965781	0.007880096452380575	0.5360959801420395	0.29808318692382096	0.016846361185983826	0.013126374167295637	0.0	0.0	0.0	0.0011966875688095352
Animalia;Chordata;Actinopteri;Acanthuriformes;Acanthuridae	""	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005336748852598997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Animalia;Chordata;Actinopteri;Alepocephaliformes	""	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027359781121751026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022501237568066245	0.003400261820160152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Animalia;Chordata;Actinopteri;Anabantiformes;Channidae;Channa	""	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005171299288946348	0.0	0.0	0.003323418468236428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019740608405551057	0.0	0.0	0.0	0.0	0.0	0.0
Animalia;Chordata;Actinopteri;Anabantiformes;Channidae;Parachanna	""	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005336748852598997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Animalia;Chordata;Actinopteri;Anabantiformes;Osphronemidae	""	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022501237568066245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Animalia;Chordata;Actinopteri;Anabantiformes;Osphronemidae;Betta	""	0.0	0.0	0.0	0.0034059945504087193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Animalia;Chordata;Actinopteri;Anabantiformes;Osphronemidae;Sphaerichthys	""	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017237812866303522	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Animalia;Chordata;Actinopteri;Anguilliformes	""	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004179378944288879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
