"sample_id"	"reads"	"percentage of overall results"	"notes"
"JDFB_01_062425"	38302	0.005739454939090031	""
"JDFB_02_062425"	22875	0.0034277591700612097	""
"JDFB_03_062525"	40116	0.006011278114368327	""
"JDFB_04_062525"	29360	0.004399519529311349	""
"JDFB_05_062525"	45491	0.006816707864710579	""
"JDFB_06_062525"	26178	0.003922705117108737	""
"JDFB_07_062525"	4951	0.0007418944546873465	""
"JDFB_08_062525"	53380	0.007998853967119886	""
"JDFB_09_062525"	58034	0.008696243745369717	""
"JDFB_10_062525"	75051	0.01124619687310443	""
"JDFB_11_062525"	64627	0.009684187623324406	""
"JDFB_12_062525"	61792	0.009259370257329936	""
"JDFB_13_062525"	74021	0.011091854055829544	""
"JDFB_14_062525"	54990	0.00824010827373403	""
"JDFB_15_062625"	32861	0.004924135260650554	""
"JDFB_16_062625"	71781	0.010756195890105517	""
"JDFB_17_062625"	34724	0.005203300958304064	""
"JDFB_18_062625"	26261	0.0039351424509279755	""
"JDFB_19_062625"	4134	0.0006194691326353243	""
"JDFB_20_062625"	43454	0.006511468720255292	""
"JDFB_21_062625"	19835	0.0029722230880071736	""
"JDFB_22_062625"	44368	0.006648429239662328	""
"JDFB_23_062625"	37351	0.005596950066052733	""
"JDFB_24_062625"	33611	0.005036520807209938	""
"JDFB_25_062625"	53974	0.008087863319994918	""
"JDFB_26_062625"	26537	0.0039765003320618286	""
"JDFB_27_062625"	30798	0.004615000083914542	""
"JDFB_28_062625"	44503	0.006668658638043018	""
"JDFB_29_062625"	41886	0.006276508004248474	""
"JDFB_30_072425"	49420	0.007405458281286338	""
"JDFB_31_072425"	58796	0.00881042746067405	""
"JDFB_32_073025"	50317	0.007539871394971362	""
"JDFB_33_073025"	46153	0.006915906840473662	""
"JDFB_34_073025"	36500	0.005469429932556685	""
"JDFB_35_073025"	1584	0.00023735827433341887	""
"JDFB_36_073025"	50166	0.007517244438264073	""
"JDFB_37_073025"	62143	0.009311966693119728	""
"JDFB_38_082625"	56573	0.008477316700672036	""
"JDFB_39_082625"	45656	0.006841432684953644	""
"JDFB_40_082625"	4563	0.0006837536652672918	""
"JDFB_41_082625"	42305	0.006339294062926317	""
"JDFB_42_082625"	59891	0.008974510358650751	""
"JDFB_43_082625"	58972	0.008836800602266652	""
"JDFB_44_082625"	46471	0.006963558312214841	""
"JDFB_45_082725"	58449	0.008758430414465909	""
"JDFB_46_082725"	11773	0.0017641533861915027	""
"JDFB_47_082725"	43554	0.0065264534597965435	""
"JDFB_48_082725"	56584	0.008478965022021574	""
"JDFB_49_082725"	50881	0.0076243853259840184	""
"JDFB_50_082725"	37049	0.005551696152638154	""
"JDFB_51_082725"	69139	0.01036029907142566	""
"JDFB_52_082725"	725	0.00010863936167407113	""
"JDFB_53_082725"	68740	0.010300509960656068	""
"JDFB_54_082725"	142906	0.021414091888820427	""
"JDFB_55_082725"	49432	0.007407256450031288	""
