ID,Date,Location,Habitat_Type,Snorklers,Video_or_Pics_Taken,Survey_Start_Time,Survey_End_Time,Number_of_Seal_Sightings,Kelp_Height_1_m,Kelp_Height_2_m,Kelp_Height_3_m,Kelp_at_Surface,Kelp_Notes,Overall_Kelp_Health,Kelp_Blades,Pneumatocyst,Sorus,Senescence,Epibiont_Epifauna_and_Epiphyte_Notes,Bryozoan_Epibiont,Filamentous_Epiphyte,Macroalgae_Epiphyte,Kelp_Crab_Epifauna,Juvenile_Salmon_Notes,Chum,Coho,Pink,Cutthroat,Chinook,Unknown_Salmon,Herring,Sand_Lance ,Surf_Smelt ,Three_Spine_Stickleback ,Anchovy ,Unknown_Forage_Fish ,Forage_Fish_Notes,Additional_Notes_From_Map
1,03/15/2024,Portage Canal,High Density Kelp,HDKH,No,11:41,12:45,0,0.15,0.7,,No,Kelp was vibrant and some were starting to divide the blade. Saw a range of size classes from 3-70cm. &0cm was only 1 individual; the majority were under 15cm.,5,5,5,1,5,"Saw no growth, grazers or macroalgal growth",5,5,5,5,Saw no salmon,No,No,No,No,No,No,No,No,No,No,No,Yes,"Very thin, clear and silver larval fish with black eyes. Could possibly be sand lance. School size was 3m^3. The school was shallow in the eddy area that is North of the navigation marker",
2,03/15/2024,Portage Canal,Low Density Kelp,HDKH,No,11:41,12:45,0,,,,No,Saw no kelp,,,,,,No kelp seen,,,,,Saw no salmon,No,No,No,No,No,No,No,No,No,No,No,No,No forage fish seen,
3,03/15/2024,Portage Canal,Sandy Area,HDKH,No,11:41,12:45,0,,,,No,Saw no kelp,,,,,,No kelp seen,,,,,Saw no salmon,No,No,No,No,No,No,No,No,No,No,No,No,No forage fish seen,
4,03/15/2024,Portage Canal,Rip Rap,HDKH,No,11:41,12:45,0,,,,No,Saw no kelp,,,,,,No kelp seen,,,,,Saw no salmon,No,No,No,No,No,No,No,No,No,No,No,No,No forage fish seen,At breakwater saw 1 copper rockfish and then saw school of black rockfish. School size ~2m^3
5,03/29/2024,Portage Canal,High Density Kelp,HD,Yes,16:05,16:43,0,0.2,1.5,,No,"Kelp not visible at surface, but two size were observed. In the current, all of the observed kelp was pushed down to a similar height off the bottom that matched other understory kelp at the site. Kelp was attached to small cobble",5,5,5,1,5,"Kelp crabs seen, but not on bull kelp",5,5,5,5,Saw no salmon,No,No,No,No,No,No,No,No,No,No,No,No,No forage fish seen,
6,03/29/2024,Portage Canal,Low Density Kelp,HD,Yes,16:05,16:43,0,0.2,1.5,,No,Kelp seemed to be attached to small cobble. One kelp had missing blades from physical damage. ,5,5,5,1,5,"Kelp crabs seen, but not on bull kelp",5,5,5,5,Saw no salmon,No,No,No,No,No,No,No,No,No,No,No,No,No forage fish seen,
7,03/29/2024,Portage Canal,Sandy Area,HD,Yes,16:05,16:43,0,0.2,1.5,,No,"Two size classes observed, but less density than the high and low density areas",5,5,5,1,5,None observed,5,5,5,5,Saw no salmon,No,No,No,No,No,No,No,No,No,No,No,No,No forage fish seen,
8,03/29/2024,Portage Canal,Rip Rap,HD,Yes,16:05,16:43,0,0.2,1.5,,No,Saw one individual only ,5,5,5,1,5,None observed,5,5,5,5,Saw no salmon,No,No,No,No,No,No,No,No,No,No,No,No,"No forage fish seen, but disperse euphasiids seen throughout the area","Euphasiids were very low density, like 1 every meter"
9,04/05/2024,Portage Canal,High Density Kelp,HDKH,Yes,15:54,16:30,1,0.5,2.0,,No,Observed many individuals that have developed sorus on tissues. More mature individuals already have damaged blade tips,4,4,5,2,5,"Saw a handful of kelp crabs on the underside of blades, there were very hard to spot",5,5,5,4,Saw no salmon,No,No,No,No,No,No,No,No,No,No,No,Yes,Large school of larval forage fish. They were too small to identify.,
10,04/05/2024,Portage Canal,Low Density Kelp,HDKH,Yes,15:54,16:30,0,0.5,2.0,,No,Some tip damage seen but not extensive. Just not as pristine as a few weeks ago,4,5,5,1,5,No growth seen,5,5,5,5,Saw no salmon,No,No,No,No,No,No,No,No,No,No,No,No,No forage fish seen,
11,04/05/2024,Portage Canal,Sandy Area,HDKH,Yes,15:54,16:30,0,0.5,2.0,,No,"Kelp was in good condition, didn't observe any damage",5,5,5,1,5,No growth seen,5,5,5,5,Saw no salmon,No,No,No,No,No,No,No,No,No,No,No,No,No forage fish seen,
12,04/05/2024,Portage Canal,Rip Rap,HDKH,Yes,15:54,16:30,0,0.5,2.0,,No,"Kelp was in good condition, no observed damage",5,5,5,1,5,No growth seen,5,5,5,5,Saw no salmon,No,No,No,No,No,No,No,No,No,No,No,No,No forage fish seen,"Saw a lot of purple pisasters around the rip rap area. Acid leaf seaweed very long along bottom. Saw small, juvenile bull kelp growing out of acid leaf seaweed (Bull kelp ~1m)"
13,04/12/2024,Portage Canal,High Density Kelp,HD,Yes,15:00,15:33,0,1.0,2.0,3.0,No,Visibility poor and current was strong. Difficult to observe in detail. Was hard to see sorus on blades. ,4,4,5,1,5,Saw no growth.,5,5,5,5,Saw no salmon,No,No,No,No,No,No,No,No,No,No,No,No,No forage fish seen,Nearshore environment was extremely turbid. Low visibility/high current = survey was rushed. Reccommend surveys done on ebb flow so the eddy forms. 
