TreeID,Species,Dia_cm,Ht_m,Live,Health
001,ABCO ,39.2,7. 5,N,NA
002,ABCO,32.9,8.0,N,
003,PIPO,94.2,4.0,Y,1
004,ABCO,22.3,4.2,Y,3
005,Quercus,30.4,1.0,N,
006,Quercus,35.7,1.0,N,NA
007,PIPO,28.2,11.0,Y,3
008,CADE,24.2,7.5,N,NA
009,CADE,20.6,5.0,N,NA
010,CADE,20.6,4.5,N,NA
011,CADE,23.6,5.0,Y,3
012,ABCO ,44.5,8.2,N,NA
013,ABCO,28.4,2.5,Y,2
014,PIPO,56.7,4.0,Y,1
015,CADE,23.8,4.0,Y,1
016,PIPO,120.2,4.5,Y,1
017,ABCO,31.1,6.0,Y,2
018,ABCO,20.0,7.0,N,NA
019,PIPO,83.5,5.0,Y,2
020,PIPO,94.0,4.5,Y,3
021,PIPO,153.5,10.0,Y,1
022,ABCO,35.7,4.0,Y,3
023,ABCO ,26.6,6.5,N,NA
024,ABCO,36.0,4.0,Y,2
025,ABCO,41.6,3.5,Y,3
026,ABCO,37.0,6.5,Y,3
027,ABCO,22.5,6.1,N,NA
028,ABCO,24.5,5.0,N,NA
029,ABCO,28.6,4.0,N,NA
030,CADE,24.0,6.0,N,NA
031,ABCO,32.1,3.0,N,NA
032,PIPO,35.2,5.0,Y,3
033,PIPO,39.0,6.0,Y,3
034,ABCO,27.2,7.5,N,NA
035,PIPO,33.7,6.5,Y,3
036,PIPO,26.1,5.5,N,NA
037,PIPO,36.7,7.0,Y,3
038,PIPO,38.5,8.0,Y,3
039,PIPO,30.2,13.5,Y,3
040,PIPO,40.9,9.0,Y,3
041,ABCO,26.5,10.0,N,NA
042,ABCO,25.1,8.5,N,NA
043,ABCO,29.4,9.0,N,NA
044,ABCO,37.4,8.0,N,NA
045,CADE,94.0,10.0,N,NA
046,PILA,137.7,2.0,Y,2
047,ABCO,34.1,5.0,N,NA
048,CADE,79.9,8.0,Y,3
049,CADE,97.1,2.2,Y,1
050,PIPO,32.2,1.8,Y,3
051,ABCO,25.4,7.0,Y,3
052,PIPO,22.6,3.7,Y,1
053,PIPO,30.7,3.5,Y,1
054,PIPO,22.3,2.0,Y,1
055,PIPO,26.2,1.6,Y,1
056,CADE,22.5,3.0,Y,2
057,CADE,21.0,2.5,Y,2
058,ABCO,48.2,2.5,Y,1
059,PIPO,94.0,3.0,Y,1
060,PIPO,91.6,1.2,Y,1
061,PIPO,105.3,3.0,Y,1
062,ABCO,21.4,3.0,Y,2
063,PIPO,84.4,3.0,Y,1
064,ABCO,22.4,4.0,Y,2
065,CADE,47.6,6.0,Y,1
066,PIPO,72.7,6.0,Y,1
067,PIPO,100.9,7.0,Y,1
068,PIPO,80.8,7.0,Y,3
069,ABCO,37.9,5.0,N,NA
070,CADE,30.4,12.0,N,NA
071,PILA,23.4,7.0,N,NA
072,PIPO,86.3,10.0,Y,3
073,CADE,86.9,10.0,N,NA
074,PIPO,109.4,15.0,Y,3
075,PIPO,112.0,14.0,Y,3
076,Quercus,27.3,2.0,Y,2
077,CADE,28.9,10.0,N,NA
078,CADE,29.6,11.0,N,NA
079,PIPO,90.7,7.0,Y,3
080,ABCO,22.8,4.5,N,NA
081,PIPO,122.7,16.0,Y,3
082,ABCO,33.1,6.0,N,NA
083,ABCO,34.2,10.0,N,NA
084,ABCO,46.4,4.0,N,NA
085,ABCO,54.1,3.5,Y,3
086,ABCO,45.3,8.0,Y,3
