DateTime,Temperature_C,Specific Cond_mS/cm,pH_pH,Optical DO_%,Optical DO_mg/l
2022-06-01T16:00:00Z,19.576,0.1799,8.13,115.0185,10.5424
2022-06-01T16:30:00Z,19.674,0.1798,8.137,114.1289,10.4404
2022-06-01T17:00:00Z,19.704,0.1797,8.122,112.9288,10.3244
2022-06-01T17:30:00Z,19.645,0.1797,8.08,110.7971,10.1416
2022-06-01T18:00:00Z,19.541,0.1799,8.046,108.5396,9.9555
2022-06-01T18:30:00Z,19.448,0.1805,8.009,106.4499,9.7821
2022-06-01T19:00:00Z,19.375,0.1803,7.972,104.763,9.6412
2022-06-01T19:30:00Z,19.282,0.1806,7.942,102.8831,9.4858
2022-06-01T20:00:00Z,19.149,0.1806,7.885,100.7179,9.311
2022-06-01T20:30:00Z,19.03,0.1809,7.832,98.4268,9.1212
2022-06-01T21:00:00Z,18.886,0.1808,7.783,96.312,8.9512
2022-06-01T21:30:00Z,18.732,0.1812,7.732,94.2894,8.7905
2022-06-01T22:00:00Z,18.567,0.181,7.699,92.6529,8.6669
2022-06-01T22:30:00Z,18.374,0.1814,7.663,91.3437,8.5781
2022-06-01T23:00:00Z,18.152,0.1813,7.639,90.303,8.5188
2022-06-01T23:30:00Z,17.916,0.1813,7.621,89.4302,8.4774
2022-06-02T00:00:00Z,17.666,0.1816,7.602,88.6497,8.4468
2022-06-02T00:30:00Z,17.407,0.1816,7.586,88.0371,8.4335
2022-06-02T01:00:00Z,17.163,0.1814,7.577,87.3909,8.4142
2022-06-02T01:30:00Z,16.927,0.1813,7.564,86.9377,8.4117
2022-06-02T02:00:00Z,16.692,0.1817,7.556,86.451,8.4059
2022-06-02T02:30:00Z,16.477,0.1814,7.553,85.9978,8.3997
2022-06-02T03:00:00Z,16.283,0.1813,7.549,85.6621,8.4012
2022-06-02T03:30:00Z,16.098,0.181,7.55,85.3683,8.4052
2022-06-02T04:00:00Z,15.925,0.1806,7.55,85.1669,8.4162
2022-06-02T04:30:00Z,15.757,0.1806,7.551,84.9319,8.4231
2022-06-02T05:00:00Z,15.609,0.1806,7.55,84.8648,8.443
2022-06-02T05:30:00Z,15.463,0.1806,7.552,85.1334,8.4962
2022-06-02T06:00:00Z,15.312,0.1806,7.566,85.5782,8.5683
2022-06-02T06:30:00Z,15.191,0.1804,7.595,86.8286,8.7161
2022-06-02T07:00:00Z,15.108,0.18,7.642,88.4819,8.8979
2022-06-02T07:30:00Z,15.063,0.1802,7.685,90.1939,9.0788
2022-06-02T08:00:00Z,15.127,0.1801,7.745,92.3004,9.2782
2022-06-02T08:30:00Z,15.239,0.1807,7.811,94.7342,9.4998
2022-06-02T09:00:00Z,15.365,0.1807,7.88,96.5469,9.6556
2022-06-02T09:30:00Z,15.454,0.1808,7.929,98.0659,9.7886
2022-06-02T10:00:00Z,15.535,0.181,7.974,99.5598,9.9206
2022-06-02T10:30:00Z,15.78,0.1813,8.022,101.6243,10.0734
2022-06-02T11:00:00Z,16.324,0.1814,8.083,104.57,10.2466
2022-06-02T11:30:00Z,16.893,0.1838,8.117,107.3059,10.3899
2022-06-02T12:00:00Z,17.488,0.1864,8.183,109.8488,10.5052
2022-06-02T12:30:00Z,18.04,0.1872,8.203,112.3161,10.6197
2022-06-02T13:00:00Z,18.551,0.1873,8.227,114.2715,10.6925
2022-06-02T13:30:00Z,19.046,0.1826,8.258,115.9416,10.7407
2022-06-02T14:00:00Z,19.516,0.1807,8.285,117.3431,10.7685
2022-06-02T14:30:00Z,19.909,0.1866,8.276,118.5265,10.7918
2022-06-02T15:00:00Z,20.208,0.1887,8.287,119.1307,10.7827
2022-06-02T15:30:00Z,20.503,0.19,8.284,119.4916,10.7525
2022-06-02T16:00:00Z,20.696,0.1901,8.265,119.1475,10.6809
2022-06-02T16:30:00Z,20.778,0.1911,8.236,118.0817,10.5682
2022-06-02T17:00:00Z,20.762,0.1914,8.207,116.1682,10.4003
2022-06-02T17:30:00Z,20.665,0.1917,8.159,113.6757,10.1966
2022-06-02T18:00:00Z,20.493,0.1893,8.116,110.5537,9.9502
2022-06-02T18:30:00Z,20.391,0.184,8.079,107.8682,9.7282
2022-06-02T19:00:00Z,20.251,0.1828,8.033,105.5687,9.5472
2022-06-02T19:30:00Z,20.096,0.182,7.985,103.0594,9.3489
2022-06-02T20:00:00Z,19.943,0.1822,7.931,100.8018,9.1719
2022-06-02T20:30:00Z,19.772,0.1823,7.872,98.3177,8.9764
2022-06-02T21:00:00Z,19.602,0.1824,7.816,96.1273,8.8063
2022-06-02T21:30:00Z,19.441,0.1822,7.76,94.1803,8.6558
2022-06-02T22:00:00Z,19.258,0.1858,7.722,92.6109,8.5428
2022-06-02T22:30:00Z,19.054,0.1873,7.673,91.2514,8.4519
2022-06-02T23:00:00Z,18.861,0.1876,7.655,90.1772,8.385
2022-06-02T23:30:00Z,18.654,0.1877,7.63,89.212,8.3301
2022-06-03T00:00:00Z,18.429,0.1883,7.615,88.5071,8.3022
2022-06-03T00:30:00Z,18.18,0.188,7.598,87.8441,8.282
2022-06-03T01:00:00Z,17.925,0.1882,7.583,87.3322,8.2768
2022-06-03T01:30:00Z,17.664,0.1882,7.575,86.7363,8.2648
2022-06-03T02:00:00Z,17.415,0.1878,7.561,86.2999,8.2655
2022-06-03T02:30:00Z,17.161,0.1875,7.557,85.9474,8.2753
2022-06-03T03:00:00Z,16.926,0.1876,7.551,85.5865,8.2811
2022-06-03T03:30:00Z,16.706,0.1876,7.548,85.2425,8.2858
2022-06-03T04:00:00Z,16.507,0.1877,7.549,84.9907,8.2959
2022-06-03T04:30:00Z,16.31,0.1872,7.55,84.7473,8.3067
2022-06-03T05:00:00Z,16.123,0.187,7.549,84.7305,8.3379
2022-06-03T05:30:00Z,15.957,0.1869,7.557,84.9655,8.3904
2022-06-03T06:00:00Z,15.829,0.1867,7.58,85.9138,8.5072
2022-06-03T06:30:00Z,15.739,0.1865,7.608,87.2902,8.66
2022-06-03T07:00:00Z,15.74,0.1864,7.666,89.7743,8.9063
2022-06-03T07:30:00Z,15.766,0.1862,7.73,92.0654,9.1286
2022-06-03T08:00:00Z,15.809,0.1863,7.798,94.2726,9.3389
2022-06-03T08:30:00Z,15.861,0.186,7.856,96.1945,9.5187
2022-06-03T09:00:00Z,16.093,0.1861,7.929,98.8464,9.733
2022-06-03T09:30:00Z,16.344,0.1861,8.001,101.1627,9.9084
2022-06-03T10:00:00Z,16.492,0.1862,8.053,102.8748,10.0449
2022-06-03T10:30:00Z,16.745,0.1865,8.099,104.9057,10.1888
2022-06-03T11:00:00Z,17.121,0.1868,8.141,107.2472,10.3348
2022-06-03T11:30:00Z,17.558,0.1872,8.178,109.6642,10.4723
2022-06-03T12:00:00Z,17.881,0.1876,8.216,111.5944,10.5858
2022-06-03T12:30:00Z,18.454,0.1878,8.26,114.238,10.7105
2022-06-03T13:00:00Z,18.681,0.1892,8.278,114.4142,10.6776
2022-06-03T13:30:00Z,19.055,0.1885,8.323,116.227,10.7649
2022-06-03T14:00:00Z,19.125,0.185,8.331,115.6059,10.6925
2022-06-03T14:30:00Z,19.324,0.1837,8.341,116.5962,10.7409
2022-06-03T15:00:00Z,19.478,0.1832,8.35,116.8816,10.7341
2022-06-03T15:30:00Z,19.453,0.1866,8.322,115.5388,10.6161
2022-06-03T16:00:00Z,19.385,0.1887,8.298,114.6828,10.5517
2022-06-03T16:30:00Z,19.337,0.1901,8.277,113.3568,10.4397
2022-06-03T17:00:00Z,19.346,0.1906,8.266,112.6434,10.372
2022-06-03T17:30:00Z,19.309,0.1905,8.24,111.0573,10.2337
2022-06-03T18:00:00Z,19.25,0.1909,8.211,109.3704,10.0901
2022-06-03T18:30:00Z,19.159,0.1915,8.159,107.029,9.8923
2022-06-03T19:00:00Z,19.069,0.1919,8.114,104.8386,9.7074
2022-06-03T19:30:00Z,18.959,0.1922,8.049,102.2621,9.4898
2022-06-03T20:00:00Z,18.857,0.1926,7.984,99.7444,9.2753
2022-06-03T20:30:00Z,18.754,0.1931,7.918,97.4365,9.0795
2022-06-03T21:00:00Z,18.646,0.1938,7.863,95.3049,8.9004
2022-06-03T21:30:00Z,18.525,0.1941,7.81,93.7103,8.773
2022-06-03T22:00:00Z,18.411,0.1939,7.78,92.2752,8.6588
2022-06-03T22:30:00Z,18.284,0.1937,7.746,91.1507,8.5753
2022-06-03T23:00:00Z,18.16,0.194,7.716,90.303,8.5172
2022-06-03T23:30:00Z,18.031,0.1935,7.684,89.6317,8.4763
2022-06-04T00:00:00Z,17.903,0.1944,7.668,89.0778,8.4461
2022-06-04T00:30:00Z,17.766,0.1939,7.656,88.5574,8.4203
2022-06-04T01:00:00Z,17.639,0.1938,7.644,88.2217,8.4105
2022-06-04T01:30:00Z,17.502,0.1937,7.636,87.7937,8.3933
2022-06-04T02:00:00Z,17.363,0.1942,7.626,87.4413,8.3837
2022-06-04T02:30:00Z,17.185,0.1941,7.616,87.0132,8.3737
2022-06-04T03:00:00Z,16.998,0.1944,7.611,86.644,8.3706
2022-06-04T03:30:00Z,16.826,0.1942,7.609,86.3083,8.3682
2022-06-04T04:00:00Z,16.658,0.1937,7.597,86.0397,8.3715
2022-06-04T04:30:00Z,16.485,0.1936,7.595,85.7544,8.3741
2022-06-04T05:00:00Z,16.306,0.1946,7.595,85.6117,8.3919
2022-06-04T05:30:00Z,16.158,0.195,7.6,86.0397,8.4603
2022-06-04T06:00:00Z,16.082,0.1949,7.634,87.542,8.6217
2022-06-04T06:30:00Z,16.028,0.1945,7.671,88.9938,8.7749
2022-06-04T07:00:00Z,16.013,0.1945,7.725,90.9492,8.9705
2022-06-04T07:30:00Z,16.032,0.1942,7.781,93.0809,9.177
